cell_id,crs,x_scale,x_shear,x_trans,y_shear,y_scale,y_trans,width,height,file
00122,EPSG:5070,10.0,0.0,135480.0,0.0,-10.0,2767980.0,337,337,rf_class_reviewer_bekka_grid_00122_sample_300_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
00180,EPSG:5070,10.0,0.0,135480.0,0.0,-10.0,2731030.0,337,337,rf_class_reviewer_bekka_grid_00180_sample_210_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
00193,EPSG:5070,10.0,0.0,138840.0,0.0,-10.0,2720950.0,337,337,rf_class_reviewer_bekka_grid_00193_sample_478_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
00422,EPSG:5070,10.0,0.0,135480.0,0.0,-10.0,2566390.0,337,337,rf_class_reviewer_ash_grid_00422_sample_11_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
01072,EPSG:5070,10.0,0.0,142200.0,0.0,-10.0,2613430.0,337,337,rf_class_reviewer_bekka_grid_01072_sample_495_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
01082,EPSG:5070,10.0,0.0,142200.0,0.0,-10.0,2606710.0,337,337,rf_class_reviewer_ash_grid_01082_sample_60_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
01290,EPSG:5070,10.0,0.0,142200.0,0.0,-10.0,2468940.0,337,337,rf_class_reviewer_ash_grid_01290_sample_105_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
01411,EPSG:5070,10.0,0.0,145560.0,0.0,-10.0,2388310.0,337,337,rf_class_reviewer_bekka_grid_01411_sample_433_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
01442,EPSG:5070,10.0,0.0,148920.0,0.0,-10.0,2848630.0,337,337,rf_class_reviewer_mina_grid_01442_sample_176_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
01481,EPSG:5070,10.0,0.0,152280.0,0.0,-10.0,2825100.0,337,337,rf_class_reviewer_bekka_grid_01481_sample_75_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
01762,EPSG:5070,10.0,0.0,148920.0,0.0,-10.0,2633590.0,337,337,rf_class_reviewer_bekka_grid_01762_sample_461_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
01873,EPSG:5070,10.0,0.0,152280.0,0.0,-10.0,2559670.0,337,337,rf_class_reviewer_bekka_grid_01873_sample_146_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
01941,EPSG:5070,10.0,0.0,152280.0,0.0,-10.0,2515990.0,337,337,rf_class_reviewer_bekka_grid_01941_sample_253_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
01993,EPSG:5070,10.0,0.0,152280.0,0.0,-10.0,2479020.0,337,337,rf_class_reviewer_mina_grid_01993_sample_26_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
02210,EPSG:5070,10.0,0.0,155640.0,0.0,-10.0,2818380.0,337,337,rf_class_reviewer_bekka_grid_02210_sample_206_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
