cell_id,bracket
00422,2017_2019
01442,2017_2019
01762,2017_2019
01873,2017_2019
01993,2017_2019
02210,2017_2019
02770,2017_2019
03682,2017_2019
04201,2017_2019
04363,2017_2019
04602,2017_2019
06411,2017_2019
06553,2017_2019
06600,2017_2019
07023,2017_2019
07870,2017_2019
08063,2017_2019
09883,2017_2019
10200,2017_2019
10333,2017_2019
10542,2017_2019
10662,2017_2019
10960,2017_2019
11000,2017_2019
11160,2017_2019
11510,2017_2019
11521,2017_2019
11702,2017_2019
11950,2017_2019
12123,2017_2019
12522,2017_2019
12990,2017_2019
14542,2017_2019
15751,2017_2019
20941,2017_2019
28412,2017_2019
16801,2018_2020
17602,2018_2020
17613,2018_2020
18731,2018_2020
18930,2018_2020
21050,2018_2020
21102,2018_2020
23753,2018_2020
24360,2018_2020
28522,2018_2020
29142,2018_2020
29781,2018_2020
30591,2018_2020
31320,2018_2020
32460,2018_2020
34023,2018_2020
35012,2018_2020
36361,2018_2020
36882,2018_2020
37243,2018_2020
39193,2018_2020
40890,2018_2020
42180,2018_2020
43442,2018_2020
43520,2018_2020
44751,2018_2020
44811,2018_2020
45833,2018_2020
47523,2018_2020
47893,2018_2020
47961,2018_2020
48221,2018_2020
48671,2018_2020
48800,2018_2020
49610,2018_2020
50520,2018_2020
00193,2019_2021
01411,2019_2021
01941,2019_2021
02670,2019_2021
03003,2019_2021
03693,2019_2021
03900,2019_2021
05810,2019_2021
06063,2019_2021
06143,2019_2021
06240,2019_2021
07373,2019_2021
07630,2019_2021
07690,2019_2021
07921,2019_2021
08200,2019_2021
08382,2019_2021
09520,2019_2021
11992,2019_2021
12650,2019_2021
12763,2019_2021
13541,2019_2021
13691,2019_2021
13732,2019_2021
13843,2019_2021
14620,2019_2021
14931,2019_2021
15172,2019_2021
15193,2019_2021
17012,2019_2021
17111,2019_2021
17943,2019_2021
19683,2019_2021
22691,2019_2021
25092,2019_2021
26752,2019_2021
13381,2020_2022
14062,2020_2022
14873,2020_2022
16691,2020_2022
16793,2020_2022
16920,2020_2022
17331,2020_2022
22823,2020_2022
24192,2020_2022
24381,2020_2022
26973,2020_2022
29490,2020_2022
29513,2020_2022
30392,2020_2022
32631,2020_2022
32780,2020_2022
34240,2020_2022
35493,2020_2022
39322,2020_2022
39563,2020_2022
40091,2020_2022
41261,2020_2022
42291,2020_2022
45391,2020_2022
46291,2020_2022
46571,2020_2022
48422,2020_2022
48680,2020_2022
48740,2020_2022
50721,2020_2022
50981,2020_2022
51040,2020_2022
51183,2020_2022
51391,2020_2022
52172,2020_2022
53151,2020_2022
00122,2021_2023
00180,2021_2023
01072,2021_2023
01082,2021_2023
01290,2021_2023
01481,2021_2023
04281,2021_2023
04570,2021_2023
04803,2021_2023
06200,2021_2023
06711,2021_2023
06852,2021_2023
06923,2021_2023
08021,2021_2023
08321,2021_2023
09011,2021_2023
09482,2021_2023
09920,2021_2023
11442,2021_2023
12532,2021_2023
12993,2021_2023
13120,2021_2023
13163,2021_2023
13870,2021_2023
13921,2021_2023
14441,2021_2023
15022,2021_2023
15713,2021_2023
15851,2021_2023
17731,2021_2023
17863,2021_2023
18400,2021_2023
19711,2021_2023
23240,2021_2023
25072,2021_2023
30292,2021_2023
