,Harvest,Development,Forest,Urban,Water,Agriculture,Grass/Shrub,Wetland,Beaver,Insect/Disease
Harvest,0.0,1.76447433943245,1.2526639337015586,1.8507270714948274,1.9966723381460105,1.6311932753502085,1.7033261585414876,1.7132219517040372,1.9049413712125973,1.9705969211748635
Development,1.76447433943245,0.0,1.6682886341397551,1.5593553643839613,1.9242206513774087,1.171670219113008,1.6573894009324608,1.5114566769104347,1.89516641507095,1.9237125468257392
Forest,1.2526639337015586,1.6682886341397551,0.0,1.7530137033393418,1.9679916515841689,1.6395827802364458,1.1456326578227398,1.2135760518156178,1.621207969503003,1.707432400717929
Urban,1.8507270714948274,1.5593553643839613,1.7530137033393418,0.0,1.9237721948786757,1.6392067730587034,1.6882264645558924,1.6348429804880196,1.9207754010672349,1.9631466115864904
Water,1.9966723381460105,1.9242206513774087,1.9679916515841689,1.9237721948786757,0.0,1.9962743054123402,1.9823553587440517,1.8913744157164574,1.8555855268717945,1.9171471094197945
Agriculture,1.6311932753502085,1.171670219113008,1.6395827802364458,1.6392067730587034,1.9962743054123402,0.0,1.2361171939190119,1.71613937688858,1.9642975555175968,1.993183560397002
Grass/Shrub,1.7033261585414876,1.6573894009324608,1.1456326578227398,1.6882264645558924,1.9823553587440517,1.2361171939190119,0.0,1.232069081891974,1.7409961255539526,1.9200602314220734
Wetland,1.7132219517040372,1.5114566769104347,1.2135760518156178,1.6348429804880196,1.8913744157164574,1.71613937688858,1.232069081891974,0.0,1.5451870565647545,1.757402285358705
Beaver,1.9049413712125973,1.89516641507095,1.621207969503003,1.9207754010672349,1.8555855268717945,1.9642975555175968,1.7409961255539526,1.5451870565647545,0.0,1.413821779786622
Insect/Disease,1.9705969211748635,1.9237125468257392,1.707432400717929,1.9631466115864904,1.9171471094197945,1.993183560397002,1.9200602314220734,1.757402285358705,1.413821779786622,0.0
