Source,Class,UA (precision),PA (recall),F1,IoU,Support (px),Cells present
v2,Harvest,0.123,0.116,0.119,0.063,232769,85
v2,Development,0.01,0.146,0.018,0.009,12596,54
v2,Forest,0.883,0.72,0.793,0.658,10569560,177
v2,Urban,0.352,0.687,0.466,0.303,661146,179
v2,Water,0.924,0.954,0.938,0.884,1725908,150
v2,Agriculture,0.816,0.784,0.8,0.666,3110297,96
v2,Grass/Shrub,0.27,0.227,0.246,0.141,1768935,158
v2,Wetland,0.487,0.386,0.431,0.274,2247007,139
v2,Beaver,0.002,0.351,0.004,0.002,8021,31
v2,Insect/Disease,0.008,0.097,0.016,0.008,68738,36
v3,Harvest,0.082,0.084,0.083,0.043,232769,85
v3,Development,0.004,0.075,0.007,0.004,12596,54
v3,Forest,0.893,0.673,0.767,0.623,10569560,177
v3,Urban,0.399,0.659,0.497,0.331,661146,179
v3,Water,0.921,0.955,0.938,0.883,1725908,150
v3,Agriculture,0.812,0.801,0.806,0.675,3110297,96
v3,Grass/Shrub,0.287,0.273,0.28,0.163,1768935,158
v3,Wetland,0.516,0.339,0.409,0.257,2247007,139
v3,Beaver,0.001,0.375,0.003,0.001,8021,31
v3,Insect/Disease,0.009,0.097,0.017,0.009,68738,36
v4,Harvest,0.153,0.14,0.146,0.079,232769,85
v4,Development,0.003,0.154,0.005,0.003,12596,54
v4,Forest,0.698,0.235,0.351,0.213,10569560,177
v4,Urban,0.028,0.393,0.052,0.027,661146,179
v4,Water,0.664,0.193,0.3,0.176,1725908,150
v4,Agriculture,0.473,0.481,0.477,0.313,3110297,96
v4,Grass/Shrub,0.195,0.148,0.168,0.092,1768935,158
v4,Wetland,0.275,0.059,0.097,0.051,2247007,139
v4,Beaver,0.006,0.19,0.012,0.006,8021,31
v4,Insect/Disease,0.005,0.053,0.008,0.004,68738,36
v5,Harvest,0.029,0.074,0.041,0.021,232769,85
v5,Development,0.003,0.087,0.006,0.003,12596,54
v5,Forest,0.886,0.603,0.718,0.56,10569560,177
v5,Urban,0.381,0.655,0.481,0.317,661146,179
v5,Water,0.914,0.953,0.933,0.875,1725908,150
v5,Agriculture,0.818,0.778,0.797,0.663,3110297,96
v5,Grass/Shrub,0.252,0.261,0.256,0.147,1768935,158
v5,Wetland,0.519,0.332,0.405,0.254,2247007,139
v5,Beaver,0.002,0.403,0.003,0.002,8021,31
v5,Insect/Disease,0.006,0.088,0.012,0.006,68738,36
v6,Harvest,0.013,0.115,0.023,0.012,232769,85
v6,Development,0.002,0.317,0.004,0.002,12596,54
v6,Forest,0.663,0.109,0.188,0.104,10569560,177
v6,Urban,0.027,0.084,0.041,0.021,661146,179
v6,Water,0.142,0.159,0.15,0.081,1725908,150
v6,Agriculture,0.34,0.217,0.265,0.153,3110297,96
v6,Grass/Shrub,0.086,0.118,0.099,0.052,1768935,158
v6,Wetland,0.112,0.107,0.109,0.058,2247007,139
v6,Beaver,0.001,0.121,0.001,0.001,8021,31
v6,Insect/Disease,0.003,0.094,0.006,0.003,68738,36
spec_all,Harvest,0.075,0.161,0.102,0.054,201530,80
spec_all,Development,0.004,0.369,0.007,0.004,12421,54
spec_all,Forest,0.897,0.675,0.77,0.626,9491431,165
spec_all,Urban,0.39,0.542,0.453,0.293,628665,167
spec_all,Water,0.937,0.942,0.94,0.886,1490487,138
spec_all,Agriculture,0.772,0.518,0.62,0.449,3086878,95
spec_all,Grass/Shrub,0.332,0.332,0.332,0.199,1685451,148
spec_all,Wetland,0.451,0.317,0.373,0.229,2086285,128
spec_all,Beaver,0.002,0.14,0.004,0.002,7922,30
spec_all,Insect/Disease,0.012,0.335,0.023,0.011,64989,34
