change_class,source,n_cells,mean_f1,median_f1,frac_f1_zero
harvest,v2,140,0.068,0.0,0.629
harvest,v3,145,0.034,0.0,0.71
harvest,v4,150,0.062,0.0,0.553
harvest,v5,150,0.012,0.0,0.733
harvest,v6,168,0.016,0.0,0.536
harvest,spec_all,160,0.048,0.0,0.613
development,v2,132,0.025,0.0,0.712
development,v3,110,0.003,0.0,0.836
development,v4,157,0.022,0.0,0.72
development,v5,135,0.002,0.0,0.815
development,v6,167,0.006,0.0,0.689
development,spec_all,158,0.013,0.0,0.709
insect_disease,v2,110,0.008,0.0,0.846
insect_disease,v3,84,0.009,0.0,0.833
insect_disease,v4,153,0.006,0.0,0.843
insect_disease,v5,97,0.006,0.0,0.825
insect_disease,v6,168,0.005,0.0,0.809
insect_disease,spec_all,165,0.011,0.0,0.818
beaver,v2,129,0.007,0.0,0.822
beaver,v3,121,0.006,0.0,0.818
beaver,v4,153,0.015,0.0,0.85
beaver,v5,129,0.004,0.0,0.814
beaver,v6,167,0.002,0.0,0.826
beaver,spec_all,162,0.007,0.0,0.852
