source,bracket,control,OA,kappa,n_cells,total_pixels
v2,2017_2019,False,0.651,0.541,36,4086351
v3,2017_2019,False,0.587,0.482,36,4086351
v4,2017_2019,False,0.084,0.011,36,4086351
v5,2017_2019,False,0.591,0.483,36,4086351
v6,2017_2019,False,0.165,0.061,36,4086351
spec_all,2017_2019,False,0.521,0.404,36,4086351
v2,2018_2020,True,0.717,0.589,36,4084676
v3,2018_2020,True,0.698,0.57,36,4084676
v4,2018_2020,True,0.634,0.464,36,4084676
v5,2018_2020,True,0.647,0.514,36,4084676
v6,2018_2020,True,0.193,0.082,36,4084676
spec_all,2018_2020,True,0.693,0.56,36,4084676
v2,2019_2021,False,0.608,0.497,36,4072026
v3,2019_2021,False,0.605,0.494,36,4072026
v4,2019_2021,False,0.285,0.175,36,4072026
v5,2019_2021,False,0.548,0.442,36,4072026
v6,2019_2021,False,0.071,0.015,36,4072026
spec_all,2019_2021,False,0.548,0.43,34,3745032
v2,2020_2022,False,0.601,0.462,36,4082109
v3,2020_2022,False,0.632,0.496,36,4082109
v4,2020_2022,False,0.066,0.021,36,4082109
v5,2020_2022,False,0.521,0.393,36,4082109
v6,2020_2022,False,0.141,0.038,36,4082109
spec_all,2020_2022,False,0.659,0.524,32,3493756
v2,2021_2023,False,0.72,0.588,36,4079815
v3,2021_2023,False,0.654,0.522,36,4079815
v4,2021_2023,False,0.158,0.033,36,4079815
v5,2021_2023,False,0.659,0.524,36,4079815
v6,2021_2023,False,0.079,0.006,36,4079815
spec_all,2021_2023,False,0.513,0.385,30,3346244
v2,pooled,False,0.659,0.536,180,20404977
v3,pooled,False,0.635,0.514,180,20404977
v4,pooled,False,0.245,0.123,180,20404977
v5,pooled,False,0.593,0.472,180,20404977
v6,pooled,False,0.13,0.04,180,20404977
spec_all,pooled,False,0.588,0.461,168,18756059
