Class,v2,v3,v4,v5,v6,spec_all,"Support (emb, 180)","Support (spec, 168)"
Harvest,0.119,0.083,0.146,0.041,0.023,0.102,232769,201530
Development,0.018,0.007,0.005,0.006,0.004,0.007,12596,12421
Forest,0.793,0.767,0.351,0.718,0.188,0.77,10569560,9491431
Urban,0.466,0.497,0.052,0.481,0.041,0.453,661146,628665
Water,0.938,0.938,0.3,0.933,0.15,0.94,1725908,1490487
Agriculture,0.8,0.806,0.477,0.797,0.265,0.62,3110297,3086878
Grass/Shrub,0.246,0.28,0.168,0.256,0.099,0.332,1768935,1685451
Wetland,0.431,0.409,0.097,0.405,0.109,0.373,2247007,2086285
Beaver,0.004,0.003,0.012,0.003,0.001,0.004,8021,7922
Insect/Disease,0.016,0.017,0.008,0.012,0.006,0.023,68738,64989
