Change class,Training cap,Training ceiling (px),UA (precision),PA (recall),F1,Support (px),Predicted (px)
Beaver,50,502,0.005,0.236,0.009,8021,417661
Beaver,100,502,0.003,0.301,0.005,8021,963501
Beaver,150,502,0.002,0.362,0.004,8021,1372227
Beaver,200,502,0.002,0.351,0.004,8021,1264957
Development,50,8482,0.005,0.057,0.01,12596,131906
Development,100,8482,0.006,0.171,0.012,12596,340212
Development,150,8482,0.005,0.214,0.009,12596,584544
Development,200,8482,0.01,0.146,0.018,12596,187381
Harvest,50,18807,0.487,0.501,0.494,232769,239688
Harvest,100,18807,0.292,0.646,0.402,232769,515011
Harvest,150,18807,0.249,0.67,0.364,232769,625679
Harvest,200,18807,0.123,0.116,0.119,232769,220320
Insect/Disease,50,662,0.008,0.08,0.015,68738,672730
Insect/Disease,100,662,0.008,0.083,0.014,68738,720331
Insect/Disease,150,662,0.007,0.085,0.013,68738,795788
Insect/Disease,200,662,0.008,0.097,0.016,68738,787829
