Class,N Pairs,Support (px),F1,F1 95% CI,IoU,IoU 95% CI,Reliability
Water,71,711093,0.919,0.857-0.953,0.85,0.75-0.911,High
Forest,70,4653821,0.899,0.881-0.916,0.817,0.787-0.845,High
Agriculture,48,1770644,0.779,0.724-0.819,0.639,0.568-0.693,High
Harvest,35,124714,0.747,0.628-0.821,0.597,0.458-0.696,High
Urban,72,269340,0.608,0.534-0.678,0.436,0.364-0.512,Moderate
Wetland,61,1302064,0.475,0.383-0.559,0.311,0.237-0.388,Low
Other,16,29888,0.451,0.18-0.606,0.291,0.099-0.435,Low
Grass/Shrub,69,1079543,0.289,0.215-0.36,0.169,0.12-0.22,Low
Development,27,9734,0.28,0.023-0.466,0.163,0.012-0.304,Low
Insect/Disease,19,56257,0.229,0.004-0.466,0.129,0.002-0.303,Low
Beaver,15,8828,0.077,0.0-0.209,0.04,0.0-0.117,Low
Unknown,13,5076,0.0,0.0-0.0,0.0,0.0-0.0,Low
