source,cls,f1_inside,f1_outside,diff,support_inside,support_outside,n_inside,n_outside
v2,Stable,0.949,0.932,0.017,1466301,18650530,13,167
v2,Harvest,0.135,0.118,0.017,8018,224751,13,167
v2,Development,0.018,0.018,0.0,1938,10658,13,167
v2,Insect/Disease,0.0,0.016,-0.016,318,68420,13,167
v2,Beaver,0.008,0.004,0.004,833,7188,13,167
v3,Stable,0.881,0.91,-0.029,1466301,18650530,13,167
v3,Harvest,0.076,0.084,-0.008,8018,224751,13,167
v3,Development,0.007,0.007,0.0,1938,10658,13,167
v3,Insect/Disease,0.0,0.017,-0.017,318,68420,13,167
v3,Beaver,0.003,0.003,0.0,833,7188,13,167
v4,Stable,0.952,0.947,0.005,1466301,18650530,13,167
v4,Harvest,0.139,0.146,-0.008,8018,224751,13,167
v4,Development,0.008,0.005,0.003,1938,10658,13,167
v4,Insect/Disease,0.005,0.008,-0.003,318,68420,13,167
v4,Beaver,0.035,0.01,0.025,833,7188,13,167
v5,Stable,0.883,0.887,-0.004,1466301,18650530,13,167
v5,Harvest,0.053,0.04,0.013,8018,224751,13,167
v5,Development,0.009,0.005,0.004,1938,10658,13,167
v5,Insect/Disease,0.0,0.012,-0.012,318,68420,13,167
v5,Beaver,0.003,0.003,0.0,833,7188,13,167
v6,Stable,0.803,0.745,0.058,1466301,18650530,13,167
v6,Harvest,0.013,0.023,-0.01,8018,224751,13,167
v6,Development,0.008,0.004,0.003,1938,10658,13,167
v6,Insect/Disease,0.001,0.006,-0.005,318,68420,13,167
v6,Beaver,0.002,0.001,0.001,833,7188,13,167
spec_all,Stable,0.892,0.878,0.014,1414724,17087411,13,155
spec_all,Harvest,0.138,0.101,0.037,8018,193512,13,155
spec_all,Development,0.019,0.006,0.013,1938,10483,13,155
spec_all,Insect/Disease,0.0,0.025,-0.025,75,64914,13,155
spec_all,Beaver,0.011,0.004,0.007,833,7089,13,155
