version,W,approach,oa,kappa,macro_f1
v2,1,A,0.6627,0.5368,0.3811
v2,1,B,0.6627,0.5368,0.3811
v2,1,C,0.6627,0.5368,0.3811
v2,3,A,0.6634,0.5375,0.3817
v2,3,B,0.6911,0.5692,0.3974
v2,3,C,0.6766,0.5511,0.3868
v2,5,A,0.6634,0.5376,0.3816
v2,5,B,0.7103,0.5925,0.4064
v2,5,C,0.6851,0.5591,0.3861
v2,7,A,0.6634,0.5375,0.3816
v2,7,B,0.7256,0.6102,0.4129
v2,7,C,0.6915,0.5647,0.3851
v2,9,A,0.6635,0.5376,0.3816
v2,9,B,0.7388,0.6255,0.4188
v2,9,C,0.6983,0.5709,0.3862
v3,1,A,0.6121,0.4898,0.374
v3,1,B,0.6121,0.4898,0.374
v3,1,C,0.6121,0.4898,0.374
v3,3,A,0.6127,0.4904,0.3746
v3,3,B,0.6379,0.5179,0.3913
v3,3,C,0.6237,0.501,0.3797
v3,5,A,0.6128,0.4905,0.3746
v3,5,B,0.6545,0.5369,0.4003
v3,5,C,0.6299,0.5061,0.3788
v3,7,A,0.6127,0.4904,0.3746
v3,7,B,0.6678,0.5514,0.4068
v3,7,C,0.6345,0.5093,0.3776
v3,9,A,0.6128,0.4905,0.3746
v3,9,B,0.6792,0.5636,0.4127
v3,9,C,0.6402,0.5141,0.3787
v4,1,A,0.5089,0.3233,0.2443
v4,1,B,0.5089,0.3233,0.2443
v4,1,C,0.5089,0.3233,0.2443
v4,3,A,0.5094,0.3237,0.2443
v4,3,B,0.5345,0.3465,0.2532
v4,3,C,0.5276,0.3392,0.2501
v4,5,A,0.5095,0.3238,0.2443
v4,5,B,0.5521,0.3661,0.2602
v4,5,C,0.5391,0.3496,0.2532
v4,7,A,0.5094,0.3237,0.2443
v4,7,B,0.5676,0.3827,0.2661
v4,7,C,0.5486,0.3572,0.2552
v4,9,A,0.5096,0.3239,0.2443
v4,9,B,0.5813,0.3968,0.27
v4,9,C,0.5555,0.3622,0.2563
v5,1,A,0.5719,0.4501,0.3635
v5,1,B,0.5719,0.4501,0.3635
v5,1,C,0.5719,0.4501,0.3635
v5,3,A,0.5726,0.4508,0.3641
v5,3,B,0.5964,0.4758,0.38
v5,3,C,0.5836,0.4609,0.3692
v5,5,A,0.5727,0.4508,0.3641
v5,5,B,0.613,0.4943,0.3889
v5,5,C,0.5901,0.4662,0.3684
v5,7,A,0.5726,0.4508,0.3641
v5,7,B,0.6261,0.508,0.3956
v5,7,C,0.5951,0.4698,0.3677
v5,9,A,0.5727,0.4509,0.3641
v5,9,B,0.6372,0.5194,0.4014
v5,9,C,0.6005,0.4739,0.3683
v6,1,A,0.1881,0.0595,0.1042
v6,1,B,0.1881,0.0595,0.1042
v6,1,C,0.1881,0.0595,0.1042
v6,3,A,0.1885,0.0596,0.1042
v6,3,B,0.2404,0.0841,0.1166
v6,3,C,0.2384,0.083,0.1156
v6,5,A,0.1885,0.0597,0.1042
v6,5,B,0.2403,0.0876,0.1192
v6,5,C,0.2369,0.0851,0.1179
v6,7,A,0.1885,0.0596,0.1042
v6,7,B,0.2383,0.0889,0.1203
v6,7,C,0.2325,0.084,0.1178
v6,9,A,0.1886,0.0597,0.1042
v6,9,B,0.2366,0.0908,0.1345
v6,9,C,0.2286,0.0837,0.1174
