design,version,W,n,cls,frac_absent
simple,v2,1,20,Harvest,0.65
simple,v2,1,20,Development,0.81
simple,v2,1,20,Forest,0.0
simple,v2,1,20,Urban,0.22
simple,v2,1,20,Water,0.14
simple,v2,1,20,Agriculture,0.03
simple,v2,1,20,Grass/Shrub,0.04
simple,v2,1,20,Wetland,0.03
simple,v2,1,20,Beaver,0.31
simple,v2,1,20,Insect/Disease,0.46
strat,v2,1,20,Harvest,0.0
strat,v2,1,20,Development,0.0
strat,v2,1,20,Forest,0.0
strat,v2,1,20,Urban,0.0
strat,v2,1,20,Water,0.0
strat,v2,1,20,Agriculture,0.0
strat,v2,1,20,Grass/Shrub,0.0
strat,v2,1,20,Wetland,0.0
strat,v2,1,20,Beaver,0.0
strat,v2,1,20,Insect/Disease,0.0
simple,v2,1,50,Harvest,0.38
simple,v2,1,50,Development,0.57
simple,v2,1,50,Forest,0.0
simple,v2,1,50,Urban,0.01
simple,v2,1,50,Water,0.0
simple,v2,1,50,Agriculture,0.0
simple,v2,1,50,Grass/Shrub,0.0
simple,v2,1,50,Wetland,0.0
simple,v2,1,50,Beaver,0.01
simple,v2,1,50,Insect/Disease,0.11
strat,v2,1,50,Harvest,0.0
strat,v2,1,50,Development,0.0
strat,v2,1,50,Forest,0.0
strat,v2,1,50,Urban,0.0
strat,v2,1,50,Water,0.0
strat,v2,1,50,Agriculture,0.0
strat,v2,1,50,Grass/Shrub,0.0
strat,v2,1,50,Wetland,0.0
strat,v2,1,50,Beaver,0.0
strat,v2,1,50,Insect/Disease,0.0
simple,v2,1,100,Harvest,0.11
simple,v2,1,100,Development,0.38
simple,v2,1,100,Forest,0.0
simple,v2,1,100,Urban,0.0
simple,v2,1,100,Water,0.0
simple,v2,1,100,Agriculture,0.0
simple,v2,1,100,Grass/Shrub,0.0
simple,v2,1,100,Wetland,0.0
simple,v2,1,100,Beaver,0.0
simple,v2,1,100,Insect/Disease,0.02
strat,v2,1,100,Harvest,0.0
strat,v2,1,100,Development,0.0
strat,v2,1,100,Forest,0.0
strat,v2,1,100,Urban,0.0
strat,v2,1,100,Water,0.0
strat,v2,1,100,Agriculture,0.0
strat,v2,1,100,Grass/Shrub,0.0
strat,v2,1,100,Wetland,0.0
strat,v2,1,100,Beaver,0.0
strat,v2,1,100,Insect/Disease,0.0
simple,v2,1,200,Harvest,0.0
simple,v2,1,200,Development,0.17
simple,v2,1,200,Forest,0.0
simple,v2,1,200,Urban,0.0
simple,v2,1,200,Water,0.0
simple,v2,1,200,Agriculture,0.0
simple,v2,1,200,Grass/Shrub,0.0
simple,v2,1,200,Wetland,0.0
simple,v2,1,200,Beaver,0.0
simple,v2,1,200,Insect/Disease,0.0
strat,v2,1,200,Harvest,0.0
strat,v2,1,200,Development,0.0
strat,v2,1,200,Forest,0.0
strat,v2,1,200,Urban,0.0
strat,v2,1,200,Water,0.0
strat,v2,1,200,Agriculture,0.0
strat,v2,1,200,Grass/Shrub,0.0
strat,v2,1,200,Wetland,0.0
strat,v2,1,200,Beaver,0.0
strat,v2,1,200,Insect/Disease,0.0
simple,v2,1,500,Harvest,0.0
simple,v2,1,500,Development,0.0
simple,v2,1,500,Forest,0.0
simple,v2,1,500,Urban,0.0
simple,v2,1,500,Water,0.0
simple,v2,1,500,Agriculture,0.0
simple,v2,1,500,Grass/Shrub,0.0
simple,v2,1,500,Wetland,0.0
simple,v2,1,500,Beaver,0.0
simple,v2,1,500,Insect/Disease,0.0
strat,v2,1,500,Harvest,0.0
strat,v2,1,500,Development,0.0
strat,v2,1,500,Forest,0.0
strat,v2,1,500,Urban,0.0
strat,v2,1,500,Water,0.0
strat,v2,1,500,Agriculture,0.0
strat,v2,1,500,Grass/Shrub,0.0
strat,v2,1,500,Wetland,0.0
strat,v2,1,500,Beaver,0.0
strat,v2,1,500,Insect/Disease,0.0
simple,v2,1,1000,Harvest,0.0
simple,v2,1,1000,Development,0.0
simple,v2,1,1000,Forest,0.0
simple,v2,1,1000,Urban,0.0
simple,v2,1,1000,Water,0.0
simple,v2,1,1000,Agriculture,0.0
simple,v2,1,1000,Grass/Shrub,0.0
simple,v2,1,1000,Wetland,0.0
simple,v2,1,1000,Beaver,0.0
simple,v2,1,1000,Insect/Disease,0.0
strat,v2,1,1000,Harvest,0.0
strat,v2,1,1000,Development,0.0
strat,v2,1,1000,Forest,0.0
strat,v2,1,1000,Urban,0.0
strat,v2,1,1000,Water,0.0
strat,v2,1,1000,Agriculture,0.0
strat,v2,1,1000,Grass/Shrub,0.0
strat,v2,1,1000,Wetland,0.0
strat,v2,1,1000,Beaver,0.0
