design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,1,20,Harvest,0.0725,0.6491,0.97,0.0775,-0.0055
simple,v2,1,20,Development,0.0237,-0.0646,0.98,0.0512,0.01
simple,v2,1,20,Forest,0.6309,0.6218,0.0,0.4308,-0.091
simple,v2,1,20,Urban,0.4856,0.6022,0.6,0.1839,0.0365
simple,v2,1,20,Water,0.9351,0.9618,0.23,0.0402,-0.0
simple,v2,1,20,Agriculture,0.7657,0.7562,0.08,0.1971,-0.019
simple,v2,1,20,Grass/Shrub,0.1977,0.2264,0.22,0.3521,0.006
simple,v2,1,20,Wetland,0.3394,0.3695,0.18,0.3137,-0.0325
simple,v2,1,20,Beaver,0.0206,1.0,0.99,0.2424,0.08
simple,v2,1,20,Insect/Disease,0.0202,,1.0,0.0833,0.0155
strat,v2,1,20,Harvest,0.0725,0.153,0.56,0.3306,-0.0725
strat,v2,1,20,Development,0.0237,0.3499,0.59,0.306,-0.077
strat,v2,1,20,Forest,0.6309,0.3843,0.0,0.4559,0.168
strat,v2,1,20,Urban,0.4856,0.525,0.01,0.3009,0.038
strat,v2,1,20,Water,0.9351,0.9285,0.0,0.0641,0.0065
strat,v2,1,20,Agriculture,0.7657,0.6304,0.0,0.2639,0.0405
strat,v2,1,20,Grass/Shrub,0.1977,0.2755,0.18,0.3493,-0.0115
strat,v2,1,20,Wetland,0.3394,0.278,0.08,0.3527,0.0005
strat,v2,1,20,Beaver,0.0206,0.2969,0.14,0.332,-0.0145
strat,v2,1,20,Insect/Disease,0.0202,0.1322,0.64,0.3295,-0.078
simple,v2,1,50,Harvest,0.0725,0.2037,0.79,0.1155,0.0002
simple,v2,1,50,Development,0.0237,-0.0248,0.98,0.0452,0.0058
simple,v2,1,50,Forest,0.6309,0.6435,0.0,0.4231,-0.0846
simple,v2,1,50,Urban,0.4856,0.5157,0.17,0.1987,0.0304
simple,v2,1,50,Water,0.9351,0.944,0.03,0.0567,-0.0002
simple,v2,1,50,Agriculture,0.7657,0.7347,0.0,0.2407,-0.0154
simple,v2,1,50,Grass/Shrub,0.1977,0.2136,0.02,0.3674,0.0112
simple,v2,1,50,Wetland,0.3394,0.3188,0.04,0.3311,-0.0282
simple,v2,1,50,Beaver,0.0206,0.057,0.95,0.2407,0.0606
simple,v2,1,50,Insect/Disease,0.0202,0.109,0.87,0.1319,0.0202
strat,v2,1,50,Harvest,0.0725,0.1186,0.24,0.3317,-0.0738
strat,v2,1,50,Development,0.0237,0.2038,0.32,0.3183,-0.0794
strat,v2,1,50,Forest,0.6309,0.3559,0.0,0.4652,0.1664
strat,v2,1,50,Urban,0.4856,0.454,0.0,0.3449,0.0476
strat,v2,1,50,Water,0.9351,0.9133,0.0,0.0971,0.0068
strat,v2,1,50,Agriculture,0.7657,0.6318,0.0,0.2688,0.0278
strat,v2,1,50,Grass/Shrub,0.1977,0.2282,0.0,0.3612,-0.0092
strat,v2,1,50,Wetland,0.3394,0.2309,0.0,0.3716,0.0048
strat,v2,1,50,Beaver,0.0206,0.2893,0.01,0.3454,-0.0126
strat,v2,1,50,Insect/Disease,0.0202,0.1234,0.35,0.3284,-0.0784
simple,v2,1,100,Harvest,0.0725,0.1479,0.56,0.1115,-0.0013
simple,v2,1,100,Development,0.0237,-0.0118,0.95,0.0759,0.0078
simple,v2,1,100,Forest,0.6309,0.6315,0.0,0.4324,-0.0842
simple,v2,1,100,Urban,0.4856,0.467,0.02,0.2177,0.0249
simple,v2,1,100,Water,0.9351,0.9358,0.0,0.0792,0.0024
simple,v2,1,100,Agriculture,0.7657,0.7576,0.0,0.246,-0.0136
simple,v2,1,100,Grass/Shrub,0.1977,0.1803,0.0,0.3633,0.0117
simple,v2,1,100,Wetland,0.3394,0.3159,0.0,0.3309,-0.0317
simple,v2,1,100,Beaver,0.0206,-0.0297,0.95,0.2546,0.0665
simple,v2,1,100,Insect/Disease,0.0202,0.0874,0.75,0.1437,0.0175
strat,v2,1,100,Harvest,0.0725,0.1256,0.04,0.3303,-0.0727
strat,v2,1,100,Development,0.0237,0.1768,0.16,0.317,-0.0826
strat,v2,1,100,Forest,0.6309,0.3343,0.0,0.4759,0.1713
strat,v2,1,100,Urban,0.4856,0.4922,0.0,0.3313,0.0442
strat,v2,1,100,Water,0.9351,0.9067,0.0,0.1157,0.0051
strat,v2,1,100,Agriculture,0.7657,0.6233,0.0,0.2815,0.0363
strat,v2,1,100,Grass/Shrub,0.1977,0.2096,0.0,0.3656,-0.0115
strat,v2,1,100,Wetland,0.3394,0.2501,0.0,0.3695,0.0043
strat,v2,1,100,Beaver,0.0206,0.2672,0.0,0.3466,-0.0167
strat,v2,1,100,Insect/Disease,0.0202,0.0915,0.11,0.3316,-0.0777
simple,v2,1,200,Harvest,0.0725,0.093,0.2,0.128,-0.0023
simple,v2,1,200,Development,0.0237,-0.0065,0.89,0.0787,0.0066
simple,v2,1,200,Forest,0.6309,0.6287,0.0,0.4357,-0.087
simple,v2,1,200,Urban,0.4856,0.4877,0.0,0.2116,0.0278
simple,v2,1,200,Water,0.9351,0.9379,0.0,0.0881,-0.0002
simple,v2,1,200,Agriculture,0.7657,0.7665,0.0,0.2351,-0.0147
simple,v2,1,200,Grass/Shrub,0.1977,0.1789,0.0,0.3725,0.0155
simple,v2,1,200,Wetland,0.3394,0.3336,0.0,0.3407,-0.0289
simple,v2,1,200,Beaver,0.0206,0.0766,0.91,0.2572,0.0664
simple,v2,1,200,Insect/Disease,0.0202,0.0175,0.51,0.148,0.0168
strat,v2,1,200,Harvest,0.0725,0.1003,0.01,0.33,-0.0768
