version,W,n,mean_pixels,sd_obs,sd_binom,design_effect,eff_sample_size
v2,1,20,20.0,0.09894,0.105722,0.876,22.8
v2,1,50,50.0,0.06753,0.066865,1.02,49.0
v2,1,100,100.0,0.05062,0.04728,1.146,87.2
v2,1,200,200.0,0.03507,0.033432,1.1,181.8
v2,1,500,500.0,0.02216,0.021144,1.098,455.4
v2,1,1000,1000.0,0.01476,0.014951,0.975,1026.0
v2,1,2000,2000.0,0.01224,0.010572,1.34,1492.6
v2,1,5000,5000.0,0.00614,0.006686,0.844,5924.8
v2,3,20,179.9,0.09621,0.035228,7.458,24.1
v2,3,50,449.9,0.05854,0.022279,6.905,65.2
v2,3,100,899.6,0.04298,0.015755,7.441,120.9
v2,3,200,1799.4,0.02471,0.01114,4.918,365.9
v2,3,500,4498.2,0.01883,0.007046,7.144,629.6
v2,3,1000,8996.5,0.01197,0.004982,5.769,1559.5
v2,3,2000,17993.1,0.0094,0.003523,7.118,2527.8
v2,3,5000,44983.4,0.00537,0.002228,5.811,7740.6
v2,5,20,499.6,0.0833,0.021141,15.527,32.2
v2,5,50,1249.4,0.0535,0.013369,16.018,78.0
v2,5,100,2498.4,0.03239,0.009454,11.736,212.9
v2,5,200,4997.4,0.02484,0.006684,13.808,361.9
v2,5,500,12493.2,0.01691,0.004228,16.005,780.6
v2,5,1000,24986.0,0.01152,0.002989,14.853,1682.2
v2,5,2000,49975.0,0.0081,0.002114,14.668,3407.1
v2,5,5000,124933.4,0.00472,0.001337,12.449,10035.6
v2,7,20,979.5,0.08319,0.015099,30.357,32.3
v2,7,50,2449.0,0.04733,0.009549,24.573,99.7
v2,7,100,4897.1,0.03355,0.006753,24.688,198.4
v2,7,200,9792.6,0.02613,0.004775,29.938,327.1
v2,7,500,24486.3,0.01381,0.00302,20.914,1170.8
v2,7,1000,48964.2,0.01073,0.002136,25.241,1939.9
v2,7,2000,97937.7,0.00756,0.00151,25.057,3908.7
v2,7,5000,244839.5,0.00568,0.000955,35.33,6930.1
v2,9,20,1618.8,0.0737,0.011744,39.378,41.1
v2,9,50,4047.8,0.04571,0.007427,37.883,106.9
v2,9,100,8094.4,0.03041,0.005252,33.532,241.4
v2,9,200,16186.3,0.0246,0.003714,43.868,369.0
v2,9,500,40476.1,0.01421,0.002349,36.621,1105.3
v2,9,1000,80944.3,0.01099,0.001661,43.757,1849.9
v2,9,2000,161887.1,0.00781,0.001174,44.249,3658.6
v2,9,5000,404709.7,0.00438,0.000743,34.816,11624.3
v3,1,20,20.0,0.09895,0.108959,0.825,24.3
v3,1,50,50.0,0.07204,0.068912,1.093,45.7
v3,1,100,100.0,0.04528,0.048728,0.864,115.8
v3,1,200,200.0,0.0331,0.034456,0.923,216.8
v3,1,500,500.0,0.0243,0.021792,1.243,402.3
v3,1,1000,1000.0,0.01451,0.015409,0.887,1127.9
v3,1,2000,2000.0,0.00966,0.010896,0.786,2544.0
v3,1,5000,5000.0,0.00746,0.006891,1.173,4264.2
v3,3,20,179.9,0.09667,0.03632,7.084,25.4
v3,3,50,449.9,0.05975,0.022966,6.769,66.5
v3,3,100,899.8,0.04406,0.01624,7.361,122.2
v3,3,200,1799.2,0.03281,0.011484,8.162,220.5
v3,3,500,4498.1,0.01874,0.007263,6.656,675.8
v3,3,1000,8996.3,0.01329,0.005136,6.692,1344.4
v3,3,2000,17992.5,0.00818,0.003632,5.075,3545.1
v3,3,5000,44983.1,0.0049,0.002297,4.551,9884.5
v3,5,20,499.6,0.10009,0.021792,21.094,23.7
v3,5,50,1249.8,0.05305,0.013779,14.821,84.3
v3,5,100,2498.9,0.04484,0.009745,21.178,118.0
v3,5,200,4997.4,0.02552,0.006891,13.718,364.3
v3,5,500,12493.3,0.0182,0.004358,17.433,716.7
v3,5,1000,24988.0,0.01278,0.003082,17.211,1451.9
v3,5,2000,49973.5,0.00874,0.002179,16.072,3109.4
v3,5,5000,124936.4,0.00632,0.001378,21.015,5945.2
v3,7,20,979.5,0.08309,0.015565,28.497,34.4
v3,7,50,2448.3,0.04944,0.009845,25.223,97.1
v3,7,100,4895.9,0.04155,0.006962,35.627,137.4
v3,7,200,9793.3,0.02635,0.004922,28.657,341.7
v3,7,500,24485.8,0.01569,0.003113,25.39,964.4
v3,7,1000,48968.7,0.01193,0.002201,29.364,1667.6
v3,7,2000,97937.4,0.00869,0.001557,31.139,3145.2
v3,7,5000,244834.8,0.00548,0.000984,30.949,7911.0
v3,9,20,1618.6,0.08353,0.012107,47.603,34.0
v3,9,50,4047.6,0.04714,0.007656,37.908,106.8
v3,9,100,8093.2,0.03541,0.005415,42.766,189.2
v3,9,200,16189.4,0.02389,0.003828,38.95,415.6
v3,9,500,40473.0,0.01429,0.002421,34.811,1162.7
v3,9,1000,80946.3,0.0108,0.001712,39.766,2035.6
v3,9,2000,161889.7,0.00808,0.001211,44.543,3634.4
v3,9,5000,404720.4,0.00474,0.000766,38.246,10581.9
v4,1,20,20.0,0.12125,0.111786,1.177,17.0
v4,1,50,50.0,0.06581,0.070699,0.867,57.7
v4,1,100,100.0,0.0503,0.049992,1.012,98.8
v4,1,200,200.0,0.0386,0.03535,1.192,167.8
v4,1,500,500.0,0.02052,0.022357,0.842,593.8
v4,1,1000,1000.0,0.01658,0.015809,1.1,909.5
v4,1,2000,2000.0,0.01026,0.011179,0.843,2373.8
v4,1,5000,5000.0,0.00692,0.00707,0.958,5220.2
v4,3,20,179.9,0.0879,0.037267,5.563,32.3
v4,3,50,449.7,0.06231,0.023575,6.986,64.4
v4,3,100,899.5,0.04853,0.016668,8.477,106.1
v4,3,200,1799.1,0.03039,0.011786,6.65,270.5
v4,3,500,4498.4,0.02012,0.007454,7.283,617.6
v4,3,1000,8996.6,0.01233,0.005271,5.472,1644.1
v4,3,2000,17992.7,0.01044,0.003727,7.843,2294.2
v4,3,5000,44982.9,0.00501,0.002357,4.521,9948.7
v4,5,20,499.9,0.09581,0.022359,18.361,27.2
v4,5,50,1249.3,0.05485,0.014144,15.041,83.1
v4,5,100,2498.9,0.04565,0.01,20.833,119.9
v4,5,200,4997.2,0.02777,0.007072,15.416,324.2
v4,5,500,12494.2,0.01595,0.004472,12.725,981.9
v4,5,1000,24984.8,0.01432,0.003163,20.509,1218.2
v4,5,2000,49974.4,0.0096,0.002236,18.428,2711.9
v4,5,5000,124938.3,0.00586,0.001414,17.16,7280.9
v4,7,20,979.6,0.08294,0.015972,26.963,36.3
v4,7,50,2448.5,0.05064,0.010103,25.128,97.4
v4,7,100,4897.1,0.03637,0.007144,25.926,188.9
v4,7,200,9794.7,0.02774,0.005051,30.151,324.9
v4,7,500,24483.7,0.01954,0.003195,37.418,654.3
v4,7,1000,48968.1,0.01143,0.002259,25.591,1913.5
v4,7,2000,97933.8,0.00847,0.001597,28.119,3482.9
v4,7,5000,244842.3,0.00518,0.00101,26.304,9308.3
v4,9,20,1618.3,0.07625,0.012427,37.654,43.0
v4,9,50,4047.8,0.04997,0.007857,40.445,100.1
v4,9,100,8094.9,0.03962,0.005556,50.856,159.2
v4,9,200,16189.4,0.02796,0.003929,50.659,319.6
v4,9,500,40472.0,0.01772,0.002485,50.824,796.3
v4,9,1000,80942.7,0.01188,0.001757,45.711,1770.8
v4,9,2000,161891.3,0.00861,0.001242,48.032,3370.5
v4,9,5000,404727.2,0.00463,0.000786,34.721,11656.5
v5,1,20,20.0,0.12172,0.11064,1.21,16.5
v5,1,50,50.0,0.07099,0.069975,1.029,48.6
v5,1,100,100.0,0.04659,0.04948,0.887,112.8
v5,1,200,200.0,0.03714,0.034988,1.127,177.5
v5,1,500,500.0,0.02269,0.022128,1.051,475.7
v5,1,1000,1000.0,0.01356,0.015647,0.751,1331.3
v5,1,2000,2000.0,0.00986,0.011064,0.794,2519.9
v5,1,5000,5000.0,0.00774,0.006998,1.224,4083.8
v5,3,20,180.0,0.0906,0.036877,6.036,29.8
v5,3,50,449.8,0.06455,0.023325,7.658,58.7
v5,3,100,899.8,0.03986,0.016492,5.84,154.1
v5,3,200,1799.4,0.02968,0.011662,6.476,277.9
v5,3,500,4498.5,0.01984,0.007376,7.237,621.6
v5,3,1000,8997.0,0.01219,0.005215,5.46,1647.9
v5,3,2000,17993.2,0.00941,0.003688,6.515,2761.7
v5,3,5000,44981.6,0.00616,0.002333,6.969,6454.2
v5,5,20,499.8,0.08848,0.022129,15.988,31.3
v5,5,50,1249.2,0.0552,0.013997,15.555,80.3
v5,5,100,2498.7,0.03714,0.009896,14.081,177.5
v5,5,200,4997.8,0.02925,0.006998,17.469,286.1
v5,5,500,12494.8,0.01783,0.004426,16.223,770.2
v5,5,1000,24986.2,0.01142,0.00313,13.32,1875.9
v5,5,2000,49974.7,0.00915,0.002213,17.104,2921.8
v5,5,5000,124936.1,0.00599,0.0014,18.337,6813.1
v5,7,20,979.5,0.08257,0.015806,27.29,35.9
v5,7,50,2447.8,0.05652,0.009999,31.952,76.6
v5,7,100,4897.4,0.035,0.007069,24.51,199.8
v5,7,200,9793.3,0.02776,0.004999,30.844,317.5
v5,7,500,24486.5,0.01713,0.003161,29.364,833.9
v5,7,1000,48971.0,0.01151,0.002235,26.488,1848.8
v5,7,2000,97934.9,0.00865,0.001581,29.962,3268.6
v5,7,5000,244844.5,0.00661,0.001,43.733,5598.6
v5,9,20,1619.0,0.07934,0.012294,41.645,38.9
v5,9,50,4047.8,0.04746,0.007775,37.261,108.6
v5,9,100,8094.5,0.03792,0.005498,47.569,170.2
v5,9,200,16191.3,0.02763,0.003888,50.509,320.6
v5,9,500,40473.6,0.01626,0.002459,43.751,925.1
v5,9,1000,80943.8,0.01185,0.001739,46.478,1741.5
v5,9,2000,161891.6,0.00857,0.001229,48.621,3329.6
v5,9,5000,404729.2,0.00514,0.000778,43.711,9259.3
v6,1,20,20.0,0.0845,0.087381,0.935,21.4
v6,1,50,50.0,0.05507,0.055264,0.993,50.4
v6,1,100,100.0,0.03826,0.039078,0.958,104.3
v6,1,200,200.0,0.0243,0.027632,0.773,258.7
v6,1,500,500.0,0.01547,0.017476,0.784,637.7
v6,1,1000,1000.0,0.01128,0.012358,0.834,1199.5
v6,1,2000,2000.0,0.00968,0.008738,1.227,1630.1
v6,1,5000,5000.0,0.0054,0.005526,0.956,5231.2
v6,3,20,179.9,0.03878,0.029164,1.769,101.7
v6,3,50,449.9,0.02731,0.018441,2.193,205.1
v6,3,100,899.6,0.0205,0.013041,2.472,363.9
v6,3,200,1799.2,0.01463,0.009221,2.517,714.9
v6,3,500,4498.3,0.00883,0.005832,2.292,1962.2
v6,3,1000,8996.8,0.00582,0.004124,1.995,4510.2
v6,3,2000,17993.1,0.00435,0.002916,2.221,8100.5
v6,3,5000,44983.0,0.00284,0.001844,2.376,18935.4
v6,5,20,499.9,0.03515,0.017495,4.036,123.9
v6,5,50,1249.5,0.02151,0.011065,3.78,330.5
v6,5,100,2498.5,0.01781,0.007825,5.181,482.2
v6,5,200,4996.6,0.01102,0.005533,3.964,1260.6
v6,5,500,12493.4,0.00729,0.003499,4.336,2881.5
v6,5,1000,24985.5,0.00456,0.002475,3.4,7348.1
v6,5,2000,49972.8,0.00361,0.00175,4.255,11745.0
v6,5,5000,124934.4,0.00229,0.001107,4.277,29214.0
v6,7,20,979.6,0.03446,0.012497,7.605,128.8
v6,7,50,2448.5,0.01918,0.007905,5.885,416.1
v6,7,100,4896.7,0.01535,0.00559,7.538,649.6
v6,7,200,9794.9,0.01033,0.003952,6.836,1432.8
v6,7,500,24481.6,0.00722,0.0025,8.339,2935.7
v6,7,1000,48971.2,0.00502,0.001768,8.069,6069.2
v6,7,2000,97937.2,0.00323,0.00125,6.686,14648.1
v6,7,5000,244847.3,0.00215,0.00079,7.408,33051.1
v6,9,20,1619.3,0.03324,0.00972,11.695,138.5
v6,9,50,4046.0,0.01916,0.006149,9.712,416.6
v6,9,100,8095.7,0.01561,0.004347,12.894,627.9
v6,9,200,16188.7,0.00982,0.003074,10.201,1586.9
v6,9,500,40469.9,0.00643,0.001944,10.925,3704.2
v6,9,1000,80947.3,0.00411,0.001375,8.946,9048.1
v6,9,2000,161888.9,0.00303,0.000972,9.717,16660.0
