design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v2,1,20,A_oa,0.6627,0.647,0.09894,-0.01565,0.45,0.8
simple,v2,1,20,A_kappa,0.5368,0.5095,0.13199,-0.02729,0.2549,0.7377
simple,v2,1,20,A_macrof1,0.3811,0.7613,0.10049,0.3802,0.5739,0.9229
simple,v2,1,20,B_oa,0.6627,0.647,0.09894,-0.01565,0.45,0.8
simple,v2,1,20,C_oa,0.6627,0.647,0.09894,-0.01565,0.45,0.8
simple,v2,1,20,A_oa_wtd,0.6627,0.647,0.09894,-0.01565,0.45,0.8
simple,v2,1,20,A_macrof1_wtd,0.3811,0.7613,0.10049,0.3802,0.5739,0.9229
simple,v2,1,20,C_frac_majority,,1.0,0.0,,,
strat,v2,1,20,A_oa,0.6627,0.4375,0.09984,-0.22515,0.25,0.6262
strat,v2,1,20,A_kappa,0.5368,0.375,0.11094,-0.16177,0.1667,0.5847
strat,v2,1,20,A_macrof1,0.3811,0.6356,0.06485,0.25458,0.4985,0.7469
strat,v2,1,20,B_oa,0.6627,0.6842,0.17193,0.02151,0.3355,0.9034
strat,v2,1,20,C_oa,0.6627,0.6842,0.17193,0.02151,0.3355,0.9034
strat,v2,1,20,A_oa_wtd,0.6627,0.6842,0.17193,0.02151,0.3355,0.9034
strat,v2,1,20,A_macrof1_wtd,0.3811,0.7175,0.09955,0.33639,0.5232,0.9253
strat,v2,1,20,C_frac_majority,,1.0,0.0,,,
simple,v2,1,50,A_oa,0.6627,0.663,0.06753,0.00035,0.5295,0.7905
simple,v2,1,50,A_kappa,0.5368,0.5317,0.08623,-0.00504,0.3877,0.6789
simple,v2,1,50,A_macrof1,0.3811,0.6739,0.08251,0.29284,0.5292,0.839
simple,v2,1,50,B_oa,0.6627,0.663,0.06753,0.00035,0.5295,0.7905
simple,v2,1,50,C_oa,0.6627,0.663,0.06753,0.00035,0.5295,0.7905
simple,v2,1,50,A_oa_wtd,0.6627,0.663,0.06753,0.00035,0.5295,0.7905
simple,v2,1,50,A_macrof1_wtd,0.3811,0.6739,0.08251,0.29284,0.5292,0.839
simple,v2,1,50,C_frac_majority,,1.0,0.0,,,
strat,v2,1,50,A_oa,0.6627,0.4224,0.05938,-0.24025,0.3,0.5305
strat,v2,1,50,A_kappa,0.5368,0.3582,0.06597,-0.17854,0.2222,0.4783
strat,v2,1,50,A_macrof1,0.3811,0.4947,0.05789,0.1136,0.3922,0.6197
strat,v2,1,50,B_oa,0.6627,0.6555,0.10532,-0.00712,0.4735,0.8399
strat,v2,1,50,C_oa,0.6627,0.6555,0.10532,-0.00712,0.4735,0.8399
strat,v2,1,50,A_oa_wtd,0.6627,0.6555,0.10532,-0.00712,0.4735,0.8399
strat,v2,1,50,A_macrof1_wtd,0.3811,0.5204,0.07128,0.13931,0.4127,0.7027
