design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
simple,v2,1,20,Harvest,recall,0.0762,0.0833,0.28233,0.00712,0.76
simple,v2,1,20,Development,recall,0.0914,0.0,0.0,-0.09138,0.97
simple,v2,1,20,Forest,recall,0.7335,0.715,0.13574,-0.01846,0.0
simple,v2,1,20,Urban,recall,0.6797,0.678,0.42133,-0.00171,0.56
simple,v2,1,20,Water,recall,0.9464,0.9323,0.21548,-0.0141,0.2
simple,v2,1,20,Agriculture,recall,0.7667,0.7315,0.28814,-0.03518,0.05
simple,v2,1,20,Grass/Shrub,recall,0.2905,0.2841,0.33339,-0.00641,0.15
simple,v2,1,20,Wetland,recall,0.3386,0.3553,0.35304,0.01673,0.06
simple,v2,1,20,Beaver,recall,0.3293,1.0,,0.67074,0.99
simple,v2,1,20,Insect/Disease,recall,0.0713,0.0,0.0,-0.07134,0.96
simple,v2,1,20,Harvest,precision,0.0888,0.1429,0.36314,0.05402,0.86
simple,v2,1,20,Development,precision,0.0073,0.0,0.0,-0.00727,0.8
simple,v2,1,20,Forest,precision,0.8795,0.8791,0.11582,-0.00039,0.0
simple,v2,1,20,Urban,precision,0.3781,0.3244,0.40136,-0.05368,0.29
simple,v2,1,20,Water,precision,0.9349,0.934,0.21391,-0.00095,0.2
simple,v2,1,20,Agriculture,precision,0.8345,0.8324,0.2707,-0.00202,0.06
simple,v2,1,20,Grass/Shrub,precision,0.2546,0.2808,0.3547,0.02613,0.09
simple,v2,1,20,Wetland,precision,0.4735,0.4755,0.40332,0.00195,0.15
simple,v2,1,20,Beaver,precision,0.0019,0.0127,0.11251,0.01075,0.21
simple,v2,1,20,Insect/Disease,precision,0.0113,0.0,0.0,-0.0113,0.68
simple,v2,1,20,Harvest,f1,0.082,1.0,0.0,0.91796,0.98
simple,v2,1,20,Development,f1,0.0135,,,,1.0
simple,v2,1,20,Forest,f1,0.7999,0.779,0.10207,-0.02093,0.0
simple,v2,1,20,Urban,f1,0.4859,0.7134,0.24188,0.22753,0.66
simple,v2,1,20,Water,f1,0.9406,0.9611,0.09755,0.02047,0.23
simple,v2,1,20,Agriculture,f1,0.7991,0.8026,0.18048,0.00348,0.11
simple,v2,1,20,Grass/Shrub,f1,0.2714,0.5035,0.18237,0.23206,0.56
simple,v2,1,20,Wetland,f1,0.3949,0.5987,0.2111,0.20386,0.43
simple,v2,1,20,Beaver,f1,0.0038,1.0,,0.9962,0.99
simple,v2,1,20,Insect/Disease,f1,0.0195,,,,1.0
strat,v2,1,20,Harvest,recall,0.0762,0.08,0.18423,0.00378,0.0
strat,v2,1,20,Development,recall,0.0914,0.125,0.23969,0.03362,0.0
strat,v2,1,20,Forest,recall,0.7335,0.77,0.28797,0.03649,0.0
strat,v2,1,20,Urban,recall,0.6797,0.665,0.34123,-0.01474,0.0
strat,v2,1,20,Water,recall,0.9464,0.955,0.14381,0.00861,0.0
strat,v2,1,20,Agriculture,recall,0.7667,0.785,0.29521,0.01833,0.0
strat,v2,1,20,Grass/Shrub,recall,0.2905,0.29,0.31925,-0.00052,0.0
strat,v2,1,20,Wetland,recall,0.3386,0.335,0.31826,-0.00362,0.0
strat,v2,1,20,Beaver,recall,0.3293,0.315,0.35287,-0.01426,0.0
strat,v2,1,20,Insect/Disease,recall,0.0713,0.055,0.15723,-0.01634,0.0
strat,v2,1,20,Harvest,precision,0.0888,0.3234,0.43949,0.23452,0.56
strat,v2,1,20,Development,precision,0.0073,0.4884,0.50549,0.48112,0.59
strat,v2,1,20,Forest,precision,0.8795,0.8509,0.19348,-0.02859,0.0
strat,v2,1,20,Urban,precision,0.3781,0.626,0.40028,0.24789,0.01
strat,v2,1,20,Water,precision,0.9349,0.9615,0.11901,0.02658,0.0
strat,v2,1,20,Agriculture,precision,0.8345,0.8211,0.23607,-0.01341,0.0
strat,v2,1,20,Grass/Shrub,precision,0.2546,0.3891,0.41483,0.13451,0.18
strat,v2,1,20,Wetland,precision,0.4735,0.5072,0.4358,0.0337,0.08
strat,v2,1,20,Beaver,precision,0.0019,0.2213,0.40431,0.2194,0.14
strat,v2,1,20,Insect/Disease,precision,0.0113,0.2536,0.43222,0.24231,0.64
strat,v2,1,20,Harvest,f1,0.082,0.6369,0.03592,0.55489,0.84
strat,v2,1,20,Development,f1,0.0135,0.6107,0.25432,0.59726,0.77
strat,v2,1,20,Forest,f1,0.7999,0.8219,0.15917,0.02196,0.04
strat,v2,1,20,Urban,f1,0.4859,0.6612,0.2673,0.17527,0.12
strat,v2,1,20,Water,f1,0.9406,0.9477,0.11782,0.00713,0.0
strat,v2,1,20,Agriculture,f1,0.7991,0.8206,0.1588,0.02142,0.05
strat,v2,1,20,Grass/Shrub,f1,0.2714,0.55,0.21713,0.27858,0.5
strat,v2,1,20,Wetland,f1,0.3949,0.644,0.15604,0.24912,0.42
strat,v2,1,20,Beaver,f1,0.0038,0.3087,0.35892,0.30491,0.5
strat,v2,1,20,Insect/Disease,f1,0.0195,0.5728,0.21361,0.5533,0.89
simple,v2,1,50,Harvest,recall,0.0762,0.1163,0.30545,0.04006,0.57
simple,v2,1,50,Development,recall,0.0914,0.0,0.0,-0.09138,0.97
simple,v2,1,50,Forest,recall,0.7335,0.74,0.08296,0.00645,0.0
simple,v2,1,50,Urban,recall,0.6797,0.7157,0.39178,0.03594,0.15
simple,v2,1,50,Water,recall,0.9464,0.9421,0.13978,-0.00425,0.02
simple,v2,1,50,Agriculture,recall,0.7667,0.7298,0.17168,-0.03684,0.0
simple,v2,1,50,Grass/Shrub,recall,0.2905,0.3188,0.25074,0.02824,0.01
simple,v2,1,50,Wetland,recall,0.3386,0.337,0.25265,-0.00162,0.01
simple,v2,1,50,Beaver,recall,0.3293,0.2,0.44721,-0.12926,0.95
simple,v2,1,50,Insect/Disease,recall,0.0713,0.1875,0.40311,0.11616,0.84
simple,v2,1,50,Harvest,precision,0.0888,0.1051,0.29262,0.01624,0.54
simple,v2,1,50,Development,precision,0.0073,0.0,0.0,-0.00727,0.71
simple,v2,1,50,Forest,precision,0.8795,0.8865,0.06704,0.00694,0.0
simple,v2,1,50,Urban,precision,0.3781,0.3658,0.30499,-0.01228,0.05
simple,v2,1,50,Water,precision,0.9349,0.9511,0.10847,0.0162,0.03
simple,v2,1,50,Agriculture,precision,0.8345,0.8249,0.1384,-0.00961,0.0
simple,v2,1,50,Grass/Shrub,precision,0.2546,0.277,0.21659,0.02238,0.01
simple,v2,1,50,Wetland,precision,0.4735,0.4345,0.29413,-0.03902,0.03
simple,v2,1,50,Beaver,precision,0.0019,0.002,0.02,9e-05,0.0
simple,v2,1,50,Insect/Disease,precision,0.0113,0.0152,0.07584,0.0039,0.32
simple,v2,1,50,Harvest,f1,0.082,0.75,0.20412,0.66796,0.94
