version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v2,1,20,Harvest,0.0,0.03592,
v2,1,20,Development,,0.25432,
v2,1,20,Forest,0.10207,0.15917,1.559
v2,1,20,Urban,0.24188,0.2673,1.105
v2,1,20,Water,0.09755,0.11782,1.208
v2,1,20,Agriculture,0.18048,0.1588,0.88
v2,1,20,Grass/Shrub,0.18237,0.21713,1.191
v2,1,20,Wetland,0.2111,0.15604,0.739
v2,1,20,Beaver,,0.35892,
v2,1,20,Insect/Disease,,0.21361,
v2,1,50,Harvest,0.20412,0.08452,0.414
v2,1,50,Development,,0.17806,
v2,1,50,Forest,0.06149,0.13039,2.12
v2,1,50,Urban,0.21017,0.16518,0.786
v2,1,50,Water,0.08848,0.08764,0.991
v2,1,50,Agriculture,0.13069,0.14054,1.075
v2,1,50,Grass/Shrub,0.13703,0.15124,1.104
v2,1,50,Wetland,0.17145,0.18801,1.097
v2,1,50,Beaver,,0.1085,
v2,1,50,Insect/Disease,0.16667,0.12667,0.76
v2,1,100,Harvest,0.24152,0.10015,0.415
v2,1,100,Development,,0.12292,
v2,1,100,Forest,0.049,0.11884,2.425
v2,1,100,Urban,0.18561,0.15745,0.848
v2,1,100,Water,0.05974,0.07018,1.175
v2,1,100,Agriculture,0.08224,0.09469,1.151
v2,1,100,Grass/Shrub,0.13518,0.13164,0.974
v2,1,100,Wetland,0.12175,0.14061,1.155
v2,1,100,Beaver,,0.07238,
v2,1,100,Insect/Disease,0.2708,0.10052,0.371
v2,1,200,Harvest,0.1187,0.07679,0.647
v2,1,200,Development,,0.07914,
v2,1,200,Forest,0.03508,0.06581,1.876
v2,1,200,Urban,0.15344,0.11025,0.719
v2,1,200,Water,0.04438,0.05063,1.141
v2,1,200,Agriculture,0.06239,0.06137,0.984
v2,1,200,Grass/Shrub,0.10055,0.09607,0.956
v2,1,200,Wetland,0.10583,0.10386,0.981
v2,1,200,Beaver,0.03849,0.00539,0.14
v2,1,200,Insect/Disease,0.2313,0.0593,0.256
v2,1,500,Harvest,0.09183,0.06131,0.668
v2,1,500,Development,0.26937,0.03847,0.143
v2,1,500,Forest,0.01897,0.03997,2.107
v2,1,500,Urban,0.0944,0.06479,0.686
v2,1,500,Water,0.02928,0.03234,1.104
v2,1,500,Agriculture,0.03955,0.03951,0.999
v2,1,500,Grass/Shrub,0.06266,0.06141,0.98
v2,1,500,Wetland,0.07051,0.07303,1.036
v2,1,500,Beaver,0.01256,0.00172,0.137
v2,1,500,Insect/Disease,0.02467,0.02167,0.878
v2,1,1000,Harvest,0.06062,0.03953,0.652
v2,1,1000,Development,0.04654,0.01581,0.34
v2,1,1000,Forest,0.01424,0.02803,1.968
v2,1,1000,Urban,0.06712,0.049,0.73
v2,1,1000,Water,0.01778,0.01825,1.026
v2,1,1000,Agriculture,0.02249,0.03164,1.407
v2,1,1000,Grass/Shrub,0.0407,0.0432,1.061
v2,1,1000,Wetland,0.04595,0.05536,1.205
v2,1,1000,Beaver,0.00319,0.00124,0.39
v2,1,1000,Insect/Disease,0.01581,0.01378,0.871
v2,1,2000,Harvest,0.04853,0.01961,0.404
v2,1,2000,Development,0.02701,0.00657,0.243
v2,1,2000,Forest,0.01088,0.02018,1.854
v2,1,2000,Urban,0.0458,0.03512,0.767
v2,1,2000,Water,0.01365,0.01342,0.983
v2,1,2000,Agriculture,0.0197,0.02083,1.057
v2,1,2000,Grass/Shrub,0.03321,0.02935,0.884
v2,1,2000,Wetland,0.02916,0.03488,1.196
v2,1,2000,Beaver,0.00555,0.00078,0.14
v2,1,2000,Insect/Disease,0.02052,0.00776,0.378
v2,1,5000,Harvest,0.03691,0.01514,0.41
v2,1,5000,Development,0.0126,0.00329,0.261
v2,1,5000,Forest,0.00663,0.01278,1.928
v2,1,5000,Urban,0.02744,0.02214,0.807
v2,1,5000,Water,0.00779,0.00943,1.21
v2,1,5000,Agriculture,0.01148,0.01422,1.239
v2,1,5000,Grass/Shrub,0.0167,0.01799,1.078
v2,1,5000,Wetland,0.0176,0.02247,1.277
v2,1,5000,Beaver,0.00347,0.00041,0.119
v2,1,5000,Insect/Disease,0.01379,0.00549,0.398
v2,3,20,Harvest,0.41239,0.25219,0.612
v2,3,20,Development,,0.27915,
v2,3,20,Forest,0.09519,0.22097,2.321
v2,3,20,Urban,0.24144,0.25648,1.062
v2,3,20,Water,0.11477,0.13471,1.174
v2,3,20,Agriculture,0.16809,0.19509,1.161
v2,3,20,Grass/Shrub,0.20997,0.24269,1.156
v2,3,20,Wetland,0.19242,0.24883,1.293
v2,3,20,Beaver,0.26937,0.26506,0.984
v2,3,20,Insect/Disease,0.37959,0.27976,0.737
v2,3,50,Harvest,0.215,0.15367,0.715
v2,3,50,Development,0.08889,0.17311,1.947
v2,3,50,Forest,0.05796,0.14222,2.454
