version,W,n,cls,stratum_ceiling,target_alloc,mean_realized,mean_shortfall,sampling_fraction,fpc_sd_factor
v2,1,20,Harvest,232769,2,2.0,0.0,1e-05,1.0
v2,1,20,Development,12596,2,2.0,0.0,0.00016,1.0
v2,1,20,Forest,10569560,2,2.0,0.0,0.0,1.0
v2,1,20,Urban,658790,2,2.0,0.0,0.0,1.0
v2,1,20,Water,1725908,2,2.0,0.0,0.0,1.0
v2,1,20,Agriculture,3110297,2,2.0,0.0,0.0,1.0
v2,1,20,Grass/Shrub,1768935,2,2.0,0.0,0.0,1.0
v2,1,20,Wetland,2247007,2,2.0,0.0,0.0,1.0
v2,1,20,Beaver,8021,2,2.0,0.0,0.00025,0.9999
v2,1,20,Insect/Disease,68738,2,2.0,0.0,3e-05,1.0
v2,1,50,Harvest,232769,5,5.0,0.0,2e-05,1.0
v2,1,50,Development,12596,5,5.0,0.0,0.0004,0.9998
v2,1,50,Forest,10569560,5,5.0,0.0,0.0,1.0
v2,1,50,Urban,658790,5,5.0,0.0,1e-05,1.0
v2,1,50,Water,1725908,5,5.0,0.0,0.0,1.0
v2,1,50,Agriculture,3110297,5,5.0,0.0,0.0,1.0
v2,1,50,Grass/Shrub,1768935,5,5.0,0.0,0.0,1.0
v2,1,50,Wetland,2247007,5,5.0,0.0,0.0,1.0
v2,1,50,Beaver,8021,5,5.0,0.0,0.00062,0.9998
v2,1,50,Insect/Disease,68738,5,5.0,0.0,7e-05,1.0
v2,1,100,Harvest,232769,10,10.0,0.0,4e-05,1.0
v2,1,100,Development,12596,10,10.0,0.0,0.00079,0.9996
v2,1,100,Forest,10569560,10,10.0,0.0,0.0,1.0
v2,1,100,Urban,658790,10,10.0,0.0,2e-05,1.0
v2,1,100,Water,1725908,10,10.0,0.0,1e-05,1.0
v2,1,100,Agriculture,3110297,10,10.0,0.0,0.0,1.0
v2,1,100,Grass/Shrub,1768935,10,10.0,0.0,1e-05,1.0
v2,1,100,Wetland,2247007,10,10.0,0.0,0.0,1.0
v2,1,100,Beaver,8021,10,10.0,0.0,0.00125,0.9994
