version,W,approach,oa,kappa,macro_f1
v2,1,A,0.8832,0.0252,0.2101
v2,1,B,0.8832,0.0252,0.2101
v2,1,C,0.8832,0.0252,0.2101
v2,3,A,0.8832,0.0253,0.2102
v2,3,B,0.8907,0.0245,0.2101
v2,3,C,0.8904,0.0249,0.2101
v2,5,A,0.8832,0.0253,0.2102
v2,5,B,0.898,0.0252,0.2106
v2,5,C,0.8977,0.0241,0.2098
v2,7,A,0.8832,0.0253,0.2102
v2,7,B,0.9037,0.025,0.2112
v2,7,C,0.9034,0.0228,0.2091
v2,9,A,0.8832,0.0252,0.2101
v2,9,B,0.9088,0.0251,0.2109
v2,9,C,0.9084,0.023,0.209
v3,1,A,0.8064,0.0097,0.1915
v3,1,B,0.8064,0.0097,0.1915
v3,1,C,0.8064,0.0097,0.1915
v3,3,A,0.8064,0.0097,0.1915
v3,3,B,0.8129,0.008,0.1906
v3,3,C,0.8127,0.0085,0.1908
v3,5,A,0.8064,0.0096,0.1915
v3,5,B,0.8192,0.0074,0.191
v3,5,C,0.8189,0.0072,0.1907
v3,7,A,0.8064,0.0097,0.1915
v3,7,B,0.8244,0.0062,0.1907
v3,7,C,0.8241,0.0055,0.1899
v3,9,A,0.8064,0.0095,0.1914
v3,9,B,0.8296,0.006,0.1905
v3,9,C,0.8293,0.0048,0.1895
v4,1,A,0.9406,0.0589,0.2166
v4,1,B,0.9406,0.0589,0.2166
v4,1,C,0.9406,0.0589,0.2166
v4,3,A,0.9406,0.059,0.2167
v4,3,B,0.9473,0.063,0.2176
v4,3,C,0.9471,0.0634,0.2178
v4,5,A,0.9406,0.0589,0.2166
v4,5,B,0.9523,0.0687,0.2186
v4,5,C,0.9519,0.066,0.2178
v4,7,A,0.9406,0.059,0.2167
v4,7,B,0.9564,0.0755,0.2203
v4,7,C,0.956,0.07,0.2181
v4,9,A,0.9406,0.0588,0.2165
v4,9,B,0.9605,0.0792,0.2187
v4,9,C,0.96,0.0745,0.2185
v5,1,A,0.7669,0.0072,0.1852
v5,1,B,0.7669,0.0072,0.1852
v5,1,C,0.7669,0.0072,0.1852
v5,3,A,0.767,0.0072,0.1852
v5,3,B,0.7745,0.006,0.1846
v5,3,C,0.7743,0.0064,0.1848
v5,5,A,0.767,0.0072,0.1852
v5,5,B,0.7817,0.0055,0.185
v5,5,C,0.7815,0.0057,0.1851
v5,7,A,0.767,0.0072,0.1852
v5,7,B,0.7877,0.0049,0.1854
v5,7,C,0.7875,0.0047,0.1853
v5,9,A,0.767,0.0071,0.1852
v5,9,B,0.7935,0.005,0.1855
v5,9,C,0.7934,0.0048,0.1855
v6,1,A,0.7495,0.0055,0.1781
v6,1,B,0.7495,0.0055,0.1781
v6,1,C,0.7495,0.0055,0.1781
v6,3,A,0.751,0.0056,0.1783
v6,3,B,0.9054,0.0175,0.1966
v6,3,C,0.9051,0.0179,0.1969
v6,5,A,0.7509,0.0055,0.1783
v6,5,B,0.928,0.0249,0.1981
v6,5,C,0.9278,0.0224,0.1979
v6,7,A,0.751,0.0056,0.1783
v6,7,B,0.9393,0.0296,0.2484
v6,7,C,0.9389,0.024,0.3291
v6,9,A,0.7509,0.0055,0.1783
v6,9,B,0.9458,0.0318,0.3308
v6,9,C,0.9455,0.0254,0.3294
