design,version,W,n,cls,frac_absent
simple,v2,1,20,Stable,0.0
simple,v2,1,20,Harvest,0.72
simple,v2,1,20,Development,0.77
simple,v2,1,20,Insect/Disease,0.62
simple,v2,1,20,Beaver,0.22
strat,v2,1,20,Stable,0.0
strat,v2,1,20,Harvest,0.0
strat,v2,1,20,Development,0.0
strat,v2,1,20,Insect/Disease,0.0
strat,v2,1,20,Beaver,0.0
simple,v2,1,50,Stable,0.0
simple,v2,1,50,Harvest,0.34
simple,v2,1,50,Development,0.69
simple,v2,1,50,Insect/Disease,0.29
simple,v2,1,50,Beaver,0.03
strat,v2,1,50,Stable,0.0
strat,v2,1,50,Harvest,0.0
strat,v2,1,50,Development,0.0
strat,v2,1,50,Insect/Disease,0.0
strat,v2,1,50,Beaver,0.0
simple,v2,1,100,Stable,0.0
simple,v2,1,100,Harvest,0.12
simple,v2,1,100,Development,0.36
simple,v2,1,100,Insect/Disease,0.12
simple,v2,1,100,Beaver,0.0
strat,v2,1,100,Stable,0.0
strat,v2,1,100,Harvest,0.0
strat,v2,1,100,Development,0.0
strat,v2,1,100,Insect/Disease,0.0
strat,v2,1,100,Beaver,0.0
simple,v2,1,200,Stable,0.0
simple,v2,1,200,Harvest,0.03
simple,v2,1,200,Development,0.16
simple,v2,1,200,Insect/Disease,0.0
simple,v2,1,200,Beaver,0.0
strat,v2,1,200,Stable,0.0
strat,v2,1,200,Harvest,0.0
strat,v2,1,200,Development,0.0
strat,v2,1,200,Insect/Disease,0.0
strat,v2,1,200,Beaver,0.0
simple,v2,1,500,Stable,0.0
simple,v2,1,500,Harvest,0.0
simple,v2,1,500,Development,0.02
simple,v2,1,500,Insect/Disease,0.0
simple,v2,1,500,Beaver,0.0
strat,v2,1,500,Stable,0.0
strat,v2,1,500,Harvest,0.0
strat,v2,1,500,Development,0.0
strat,v2,1,500,Insect/Disease,0.0
strat,v2,1,500,Beaver,0.0
simple,v2,1,1000,Stable,0.0
simple,v2,1,1000,Harvest,0.0
simple,v2,1,1000,Development,0.0
simple,v2,1,1000,Insect/Disease,0.0
simple,v2,1,1000,Beaver,0.0
strat,v2,1,1000,Stable,0.0
strat,v2,1,1000,Harvest,0.0
strat,v2,1,1000,Development,0.0
strat,v2,1,1000,Insect/Disease,0.0
strat,v2,1,1000,Beaver,0.0
simple,v2,1,2000,Stable,0.0
simple,v2,1,2000,Harvest,0.0
simple,v2,1,2000,Development,0.0
simple,v2,1,2000,Insect/Disease,0.0
simple,v2,1,2000,Beaver,0.0
strat,v2,1,2000,Stable,0.0
strat,v2,1,2000,Harvest,0.0
strat,v2,1,2000,Development,0.0
strat,v2,1,2000,Insect/Disease,0.0
strat,v2,1,2000,Beaver,0.0
simple,v2,1,5000,Stable,0.0
simple,v2,1,5000,Harvest,0.0
simple,v2,1,5000,Development,0.0
simple,v2,1,5000,Insect/Disease,0.0
simple,v2,1,5000,Beaver,0.0
strat,v2,1,5000,Stable,0.0
strat,v2,1,5000,Harvest,0.0
strat,v2,1,5000,Development,0.0
strat,v2,1,5000,Insect/Disease,0.0
strat,v2,1,5000,Beaver,0.0
simple,v2,3,20,Stable,0.0
simple,v2,3,20,Harvest,0.5
simple,v2,3,20,Development,0.69
simple,v2,3,20,Insect/Disease,0.37
simple,v2,3,20,Beaver,0.09
strat,v2,3,20,Stable,0.0
strat,v2,3,20,Harvest,0.0
strat,v2,3,20,Development,0.0
strat,v2,3,20,Insect/Disease,0.0
strat,v2,3,20,Beaver,0.0
simple,v2,3,50,Stable,0.0
simple,v2,3,50,Harvest,0.19
simple,v2,3,50,Development,0.42
simple,v2,3,50,Insect/Disease,0.22
simple,v2,3,50,Beaver,0.0
strat,v2,3,50,Stable,0.0
strat,v2,3,50,Harvest,0.0
strat,v2,3,50,Development,0.0
strat,v2,3,50,Insect/Disease,0.0
strat,v2,3,50,Beaver,0.0
simple,v2,3,100,Stable,0.0
simple,v2,3,100,Harvest,0.05
simple,v2,3,100,Development,0.11
simple,v2,3,100,Insect/Disease,0.03
simple,v2,3,100,Beaver,0.0
strat,v2,3,100,Stable,0.0
strat,v2,3,100,Harvest,0.0
strat,v2,3,100,Development,0.0
strat,v2,3,100,Insect/Disease,0.0
strat,v2,3,100,Beaver,0.0
simple,v2,3,200,Stable,0.0
simple,v2,3,200,Harvest,0.0
simple,v2,3,200,Development,0.02
simple,v2,3,200,Insect/Disease,0.0
simple,v2,3,200,Beaver,0.0
strat,v2,3,200,Stable,0.0
strat,v2,3,200,Harvest,0.0
strat,v2,3,200,Development,0.0
strat,v2,3,200,Insect/Disease,0.0
strat,v2,3,200,Beaver,0.0
simple,v2,3,500,Stable,0.0
simple,v2,3,500,Harvest,0.0
simple,v2,3,500,Development,0.0
simple,v2,3,500,Insect/Disease,0.0
simple,v2,3,500,Beaver,0.0
strat,v2,3,500,Stable,0.0
strat,v2,3,500,Harvest,0.0
strat,v2,3,500,Development,0.0
strat,v2,3,500,Insect/Disease,0.0
strat,v2,3,500,Beaver,0.0
simple,v2,3,1000,Stable,0.0
simple,v2,3,1000,Harvest,0.0
simple,v2,3,1000,Development,0.0
simple,v2,3,1000,Insect/Disease,0.0
simple,v2,3,1000,Beaver,0.0
strat,v2,3,1000,Stable,0.0
strat,v2,3,1000,Harvest,0.0
strat,v2,3,1000,Development,0.0
strat,v2,3,1000,Insect/Disease,0.0
strat,v2,3,1000,Beaver,0.0
simple,v2,3,2000,Stable,0.0
simple,v2,3,2000,Harvest,0.0
simple,v2,3,2000,Development,0.0
simple,v2,3,2000,Insect/Disease,0.0
simple,v2,3,2000,Beaver,0.0
strat,v2,3,2000,Stable,0.0
strat,v2,3,2000,Harvest,0.0
strat,v2,3,2000,Development,0.0
strat,v2,3,2000,Insect/Disease,0.0
strat,v2,3,2000,Beaver,0.0
simple,v2,3,5000,Stable,0.0
simple,v2,3,5000,Harvest,0.0
simple,v2,3,5000,Development,0.0
simple,v2,3,5000,Insect/Disease,0.0
simple,v2,3,5000,Beaver,0.0
strat,v2,3,5000,Stable,0.0
strat,v2,3,5000,Harvest,0.0
strat,v2,3,5000,Development,0.0
strat,v2,3,5000,Insect/Disease,0.0
strat,v2,3,5000,Beaver,0.0
simple,v2,5,20,Stable,0.0
simple,v2,5,20,Harvest,0.44
simple,v2,5,20,Development,0.64
simple,v2,5,20,Insect/Disease,0.3
simple,v2,5,20,Beaver,0.02
strat,v2,5,20,Stable,0.0
strat,v2,5,20,Harvest,0.0
strat,v2,5,20,Development,0.0
strat,v2,5,20,Insect/Disease,0.0
strat,v2,5,20,Beaver,0.0
simple,v2,5,50,Stable,0.0
simple,v2,5,50,Harvest,0.06
simple,v2,5,50,Development,0.24
simple,v2,5,50,Insect/Disease,0.05
simple,v2,5,50,Beaver,0.0
strat,v2,5,50,Stable,0.0
strat,v2,5,50,Harvest,0.0
strat,v2,5,50,Development,0.0
strat,v2,5,50,Insect/Disease,0.0
strat,v2,5,50,Beaver,0.0
simple,v2,5,100,Stable,0.0
simple,v2,5,100,Harvest,0.0
simple,v2,5,100,Development,0.04
simple,v2,5,100,Insect/Disease,0.01
simple,v2,5,100,Beaver,0.0
strat,v2,5,100,Stable,0.0
strat,v2,5,100,Harvest,0.0
strat,v2,5,100,Development,0.0
strat,v2,5,100,Insect/Disease,0.0
strat,v2,5,100,Beaver,0.0
simple,v2,5,200,Stable,0.0
simple,v2,5,200,Harvest,0.0
simple,v2,5,200,Development,0.02
simple,v2,5,200,Insect/Disease,0.0
simple,v2,5,200,Beaver,0.0
strat,v2,5,200,Stable,0.0
strat,v2,5,200,Harvest,0.0
strat,v2,5,200,Development,0.0
strat,v2,5,200,Insect/Disease,0.0
strat,v2,5,200,Beaver,0.0
simple,v2,5,500,Stable,0.0
simple,v2,5,500,Harvest,0.0
simple,v2,5,500,Development,0.0
simple,v2,5,500,Insect/Disease,0.0
simple,v2,5,500,Beaver,0.0
strat,v2,5,500,Stable,0.0
strat,v2,5,500,Harvest,0.0
strat,v2,5,500,Development,0.0
strat,v2,5,500,Insect/Disease,0.0
strat,v2,5,500,Beaver,0.0
simple,v2,5,1000,Stable,0.0
simple,v2,5,1000,Harvest,0.0
simple,v2,5,1000,Development,0.0
simple,v2,5,1000,Insect/Disease,0.0
simple,v2,5,1000,Beaver,0.0
strat,v2,5,1000,Stable,0.0
strat,v2,5,1000,Harvest,0.0
strat,v2,5,1000,Development,0.0
strat,v2,5,1000,Insect/Disease,0.0
strat,v2,5,1000,Beaver,0.0
simple,v2,5,2000,Stable,0.0
simple,v2,5,2000,Harvest,0.0
simple,v2,5,2000,Development,0.0
simple,v2,5,2000,Insect/Disease,0.0
simple,v2,5,2000,Beaver,0.0
strat,v2,5,2000,Stable,0.0
strat,v2,5,2000,Harvest,0.0
strat,v2,5,2000,Development,0.0
strat,v2,5,2000,Insect/Disease,0.0
strat,v2,5,2000,Beaver,0.0
simple,v2,5,5000,Stable,0.0
simple,v2,5,5000,Harvest,0.0
simple,v2,5,5000,Development,0.0
simple,v2,5,5000,Insect/Disease,0.0
simple,v2,5,5000,Beaver,0.0
strat,v2,5,5000,Stable,0.0
strat,v2,5,5000,Harvest,0.0
strat,v2,5,5000,Development,0.0
strat,v2,5,5000,Insect/Disease,0.0
strat,v2,5,5000,Beaver,0.0
simple,v2,7,20,Stable,0.0
simple,v2,7,20,Harvest,0.26
simple,v2,7,20,Development,0.39
simple,v2,7,20,Insect/Disease,0.23
simple,v2,7,20,Beaver,0.02
strat,v2,7,20,Stable,0.0
strat,v2,7,20,Harvest,0.0
strat,v2,7,20,Development,0.0
strat,v2,7,20,Insect/Disease,0.0
strat,v2,7,20,Beaver,0.0
simple,v2,7,50,Stable,0.0
simple,v2,7,50,Harvest,0.03
simple,v2,7,50,Development,0.11
simple,v2,7,50,Insect/Disease,0.02
simple,v2,7,50,Beaver,0.0
strat,v2,7,50,Stable,0.0
strat,v2,7,50,Harvest,0.0
strat,v2,7,50,Development,0.0
strat,v2,7,50,Insect/Disease,0.0
strat,v2,7,50,Beaver,0.0
simple,v2,7,100,Stable,0.0
simple,v2,7,100,Harvest,0.0
simple,v2,7,100,Development,0.01
simple,v2,7,100,Insect/Disease,0.0
simple,v2,7,100,Beaver,0.0
strat,v2,7,100,Stable,0.0
strat,v2,7,100,Harvest,0.0
strat,v2,7,100,Development,0.0
strat,v2,7,100,Insect/Disease,0.0
strat,v2,7,100,Beaver,0.0
simple,v2,7,200,Stable,0.0
simple,v2,7,200,Harvest,0.0
simple,v2,7,200,Development,0.02
simple,v2,7,200,Insect/Disease,0.0
simple,v2,7,200,Beaver,0.0
strat,v2,7,200,Stable,0.0
strat,v2,7,200,Harvest,0.0
strat,v2,7,200,Development,0.0
strat,v2,7,200,Insect/Disease,0.0
strat,v2,7,200,Beaver,0.0
simple,v2,7,500,Stable,0.0
simple,v2,7,500,Harvest,0.0
simple,v2,7,500,Development,0.0
simple,v2,7,500,Insect/Disease,0.0
simple,v2,7,500,Beaver,0.0
strat,v2,7,500,Stable,0.0
strat,v2,7,500,Harvest,0.0
strat,v2,7,500,Development,0.0
strat,v2,7,500,Insect/Disease,0.0
strat,v2,7,500,Beaver,0.0
simple,v2,7,1000,Stable,0.0
simple,v2,7,1000,Harvest,0.0
simple,v2,7,1000,Development,0.0
simple,v2,7,1000,Insect/Disease,0.0
simple,v2,7,1000,Beaver,0.0
strat,v2,7,1000,Stable,0.0
strat,v2,7,1000,Harvest,0.0
strat,v2,7,1000,Development,0.0
strat,v2,7,1000,Insect/Disease,0.0
strat,v2,7,1000,Beaver,0.0
simple,v2,7,2000,Stable,0.0
simple,v2,7,2000,Harvest,0.0
simple,v2,7,2000,Development,0.0
simple,v2,7,2000,Insect/Disease,0.0
simple,v2,7,2000,Beaver,0.0
strat,v2,7,2000,Stable,0.0
strat,v2,7,2000,Harvest,0.0
strat,v2,7,2000,Development,0.0
strat,v2,7,2000,Insect/Disease,0.0
strat,v2,7,2000,Beaver,0.0
simple,v2,7,5000,Stable,0.0
simple,v2,7,5000,Harvest,0.0
simple,v2,7,5000,Development,0.0
simple,v2,7,5000,Insect/Disease,0.0
simple,v2,7,5000,Beaver,0.0
strat,v2,7,5000,Stable,0.0
strat,v2,7,5000,Harvest,0.0
strat,v2,7,5000,Development,0.0
strat,v2,7,5000,Insect/Disease,0.0
strat,v2,7,5000,Beaver,0.0
simple,v2,9,20,Stable,0.0
simple,v2,9,20,Harvest,0.22
simple,v2,9,20,Development,0.32
simple,v2,9,20,Insect/Disease,0.34
simple,v2,9,20,Beaver,0.0
strat,v2,9,20,Stable,0.0
strat,v2,9,20,Harvest,0.0
strat,v2,9,20,Development,0.0
strat,v2,9,20,Insect/Disease,0.0
strat,v2,9,20,Beaver,0.0
simple,v2,9,50,Stable,0.0
simple,v2,9,50,Harvest,0.02
simple,v2,9,50,Development,0.08
simple,v2,9,50,Insect/Disease,0.0
simple,v2,9,50,Beaver,0.0
strat,v2,9,50,Stable,0.0
strat,v2,9,50,Harvest,0.0
strat,v2,9,50,Development,0.0
strat,v2,9,50,Insect/Disease,0.0
strat,v2,9,50,Beaver,0.0
simple,v2,9,100,Stable,0.0
simple,v2,9,100,Harvest,0.0
simple,v2,9,100,Development,0.01
simple,v2,9,100,Insect/Disease,0.0
simple,v2,9,100,Beaver,0.0
strat,v2,9,100,Stable,0.0
strat,v2,9,100,Harvest,0.0
strat,v2,9,100,Development,0.0
strat,v2,9,100,Insect/Disease,0.0
strat,v2,9,100,Beaver,0.0
simple,v2,9,200,Stable,0.0
simple,v2,9,200,Harvest,0.0
simple,v2,9,200,Development,0.0
simple,v2,9,200,Insect/Disease,0.0
simple,v2,9,200,Beaver,0.0
strat,v2,9,200,Stable,0.0
strat,v2,9,200,Harvest,0.0
strat,v2,9,200,Development,0.0
strat,v2,9,200,Insect/Disease,0.0
strat,v2,9,200,Beaver,0.0
simple,v2,9,500,Stable,0.0
simple,v2,9,500,Harvest,0.0
simple,v2,9,500,Development,0.0
simple,v2,9,500,Insect/Disease,0.0
simple,v2,9,500,Beaver,0.0
strat,v2,9,500,Stable,0.0
