version,W,n,oa_sd_10,oa_bias_10,mf1_sd_10,mf1_bias_10,oa_sd_5,oa_bias_5,mf1_sd_5,mf1_bias_5,deff_10,deff_5
v2,1,20,0.11016,0.00182,0.10588,0.40139,0.07094,-0.00166,0.04352,0.72601,1.086,0.976
v2,1,50,0.07107,-0.00088,0.07798,0.29202,0.04699,0.00264,0.04713,0.72278,1.13,1.07
v2,1,100,0.04337,-0.00838,0.05419,0.24795,0.0302,-0.00166,0.08412,0.69941,0.842,0.884
v2,1,200,0.03086,-0.00078,0.03742,0.21857,0.02368,-0.00176,0.13469,0.6627,0.852,1.087
v2,1,500,0.02112,0.00218,0.04804,0.20558,0.01331,0.00206,0.20453,0.53102,0.998,0.858
v2,1,1000,0.01465,0.0005,0.05166,0.17335,0.00961,-0.00076,0.22297,0.43766,0.96,0.895
v2,1,2000,0.00946,0.00139,0.05219,0.13355,0.0075,-0.00066,0.15393,0.23692,0.801,1.09
v2,1,5000,0.00713,-0.00064,0.04386,0.07633,0.00477,-0.00052,0.09662,0.1334,1.136,1.101
v2,3,20,0.08493,-0.00544,0.11097,0.27684,0.06205,-0.00061,0.06206,0.71907,5.811,6.717
v2,3,50,0.05496,-0.00267,0.06555,0.22679,0.04226,0.00814,0.11713,0.69107,6.084,7.789
v2,3,100,0.04036,0.0003,0.05022,0.21809,0.02648,0.00098,0.15809,0.64388,6.563,6.113
v2,3,200,0.02873,0.00288,0.04555,0.20674,0.01813,0.00109,0.21785,0.55315,6.65,5.732
v2,3,500,0.01957,0.00052,0.0501,0.16095,0.01202,0.0011,0.22674,0.35474,7.715,6.299
v2,3,1000,0.01152,-0.00019,0.04952,0.1182,0.0105,0.00064,0.13678,0.21079,5.346,9.622
v2,3,2000,0.00891,0.00087,0.04496,0.07474,0.00613,-7e-05,0.09821,0.1212,6.404,6.548
v2,3,5000,0.00597,-0.00037,0.03274,0.023,0.0042,-0.00042,0.03487,0.03136,7.188,7.707
v2,5,20,0.08172,-0.00124,0.09456,0.23964,0.05756,0.00022,0.04449,0.72485,14.95,16.051
v2,5,50,0.05352,0.00304,0.06518,0.22199,0.03902,-0.00228,0.17168,0.63987,16.029,18.445
v2,5,100,0.03579,-0.0046,0.05224,0.20221,0.02503,0.00504,0.19798,0.56761,14.34,15.174
v2,5,200,0.0295,0.00463,0.05451,0.18703,0.01692,-0.00249,0.23204,0.46643,19.484,13.875
v2,5,500,0.01836,1e-05,0.06135,0.13456,0.01115,-0.00105,0.17061,0.24264,18.858,15.056
v2,5,1000,0.01261,0.00034,0.0538,0.08932,0.0091,0.00022,0.12327,0.13308,17.791,20.053
v2,5,2000,0.00801,0.0004,0.04036,0.0437,0.00655,0.00073,0.06002,0.06734,14.344,20.799
v2,5,5000,0.00437,-0.00049,0.01728,0.00625,0.00375,-0.00013,0.02931,0.01858,10.666,17.075
v2,7,20,0.08571,-0.02284,0.09789,0.20232,0.05106,-0.00599,0.12691,0.67937,32.219,24.756
v2,7,50,0.04711,0.00385,0.06148,0.20363,0.0331,0.00109,0.19262,0.61251,24.335,26.006
