design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,1,20,Stable,0.0539,0.1429,0.76,0.3152,-0.0955
simple,v2,1,20,Harvest,0.0725,0.6589,0.96,0.0616,-0.005
simple,v2,1,20,Development,0.0214,,1.0,0.0514,0.0115
simple,v2,1,20,Insect/Disease,0.0114,-0.0526,0.99,0.0929,0.0185
simple,v2,1,20,Beaver,0.0186,-0.0765,0.99,0.2283,0.0705
strat,v2,1,20,Stable,0.0539,0.1107,0.0,0.8009,0.5955
strat,v2,1,20,Harvest,0.0725,0.0454,0.43,0.4647,-0.1615
strat,v2,1,20,Development,0.0214,0.2275,0.68,0.4437,-0.182
strat,v2,1,20,Insect/Disease,0.0114,0.0801,0.55,0.458,-0.169
strat,v2,1,20,Beaver,0.0186,0.2781,0.09,0.4469,-0.083
simple,v2,1,50,Stable,0.0539,0.0623,0.43,0.325,-0.0856
simple,v2,1,50,Harvest,0.0725,0.1428,0.86,0.1086,-0.0034
simple,v2,1,50,Development,0.0214,0.3397,0.98,0.0474,0.005
simple,v2,1,50,Insect/Disease,0.0114,-0.0254,0.93,0.1261,0.0186
simple,v2,1,50,Beaver,0.0186,0.0884,0.96,0.2452,0.0654
strat,v2,1,50,Stable,0.0539,0.1438,0.0,0.7824,0.5706
strat,v2,1,50,Harvest,0.0725,0.0799,0.05,0.4645,-0.1486
strat,v2,1,50,Development,0.0214,0.2274,0.35,0.4367,-0.178
strat,v2,1,50,Insect/Disease,0.0114,0.0642,0.17,0.4577,-0.1694
strat,v2,1,50,Beaver,0.0186,0.2607,0.0,0.4506,-0.0746
simple,v2,1,100,Stable,0.0539,0.0609,0.12,0.337,-0.09
simple,v2,1,100,Harvest,0.0725,0.124,0.49,0.1269,-0.002
simple,v2,1,100,Development,0.0214,-0.0133,0.94,0.0735,0.0069
simple,v2,1,100,Insect/Disease,0.0114,0.0062,0.74,0.1368,0.0164
simple,v2,1,100,Beaver,0.0186,0.1021,0.94,0.259,0.0687
strat,v2,1,100,Stable,0.0539,0.1339,0.0,0.7878,0.5763
strat,v2,1,100,Harvest,0.0725,0.0623,0.01,0.466,-0.1515
strat,v2,1,100,Development,0.0214,0.2176,0.15,0.4339,-0.1796
strat,v2,1,100,Insect/Disease,0.0114,0.062,0.06,0.4573,-0.1711
strat,v2,1,100,Beaver,0.0186,0.2378,0.0,0.4588,-0.0741
simple,v2,1,200,Stable,0.0539,0.0427,0.05,0.3397,-0.0926
simple,v2,1,200,Harvest,0.0725,0.0498,0.18,0.1378,-0.0003
simple,v2,1,200,Development,0.0214,0.0849,0.89,0.0792,0.0066
simple,v2,1,200,Insect/Disease,0.0114,0.0401,0.59,0.1445,0.0171
simple,v2,1,200,Beaver,0.0186,0.0556,0.88,0.2624,0.0691
strat,v2,1,200,Stable,0.0539,0.1392,0.0,0.7888,0.5811
strat,v2,1,200,Harvest,0.0725,0.0814,0.0,0.4607,-0.1566
strat,v2,1,200,Development,0.0214,0.1987,0.02,0.4352,-0.1789
strat,v2,1,200,Insect/Disease,0.0114,0.0576,0.01,0.4567,-0.1719
strat,v2,1,200,Beaver,0.0186,0.2371,0.0,0.4605,-0.0738
simple,v2,1,500,Stable,0.0539,0.0617,0.0,0.3343,-0.089
simple,v2,1,500,Harvest,0.0725,0.0851,0.0,0.1371,-0.0011
simple,v2,1,500,Development,0.0214,0.042,0.71,0.089,0.0071
simple,v2,1,500,Insect/Disease,0.0114,0.0044,0.32,0.1505,0.0177
simple,v2,1,500,Beaver,0.0186,0.0367,0.73,0.2568,0.0654
strat,v2,1,500,Stable,0.0539,0.137,0.0,0.7891,0.5802
strat,v2,1,500,Harvest,0.0725,0.0769,0.0,0.4626,-0.1552
strat,v2,1,500,Development,0.0214,0.202,0.0,0.4349,-0.1788
strat,v2,1,500,Insect/Disease,0.0114,0.0537,0.0,0.4582,-0.1712
strat,v2,1,500,Beaver,0.0186,0.2362,0.0,0.4607,-0.075
simple,v2,1,1000,Stable,0.0539,0.0538,0.0,0.3389,-0.0921
simple,v2,1,1000,Harvest,0.0725,0.0637,0.0,0.1385,-0.001
simple,v2,1,1000,Development,0.0214,0.061,0.52,0.0895,0.0073
simple,v2,1,1000,Insect/Disease,0.0114,0.001,0.03,0.1548,0.0183
