version,W,n,mean_pixels,sd_obs,sd_binom,design_effect,eff_sample_size
v2,1,20,20.0,0.07094,0.07183,0.976,20.5
v2,1,50,50.0,0.04699,0.045429,1.07,46.7
v2,1,100,100.0,0.0302,0.032123,0.884,113.2
v2,1,200,200.0,0.02368,0.022714,1.087,184.1
v2,1,500,500.0,0.01331,0.014366,0.858,582.9
v2,1,1000,1000.0,0.00961,0.010158,0.895,1117.2
v2,1,2000,2000.0,0.0075,0.007183,1.09,1834.8
v2,1,5000,5000.0,0.00477,0.004543,1.101,4540.3
v2,3,20,180.0,0.06205,0.023943,6.717,26.8
v2,3,50,450.0,0.04226,0.015143,7.789,57.8
v2,3,100,899.9,0.02648,0.010708,6.113,147.2
v2,3,200,1799.9,0.01813,0.007571,5.732,314.0
v2,3,500,4499.6,0.01202,0.004789,6.299,714.4
v2,3,1000,8999.2,0.0105,0.003386,9.622,935.3
v2,3,2000,17998.3,0.00613,0.002394,6.548,2748.6
v2,3,5000,44995.6,0.0042,0.001514,7.707,5838.5
v2,5,20,499.8,0.05756,0.014367,16.051,31.1
v2,5,50,1249.9,0.03902,0.009086,18.445,67.8
v2,5,100,2499.6,0.02503,0.006425,15.174,164.7
v2,5,200,4999.7,0.01692,0.004543,13.875,360.3
v2,5,500,12498.5,0.01115,0.002873,15.056,830.1
v2,5,1000,24997.8,0.0091,0.002032,20.053,1246.6
v2,5,2000,49995.4,0.00655,0.001437,20.799,2403.8
v2,5,5000,124986.4,0.00375,0.000909,17.075,7319.7
v2,7,20,979.8,0.05106,0.010262,24.756,39.6
v2,7,50,2449.7,0.0331,0.00649,26.006,94.2
v2,7,100,4899.5,0.02281,0.004589,24.701,198.4
v2,7,200,9798.6,0.01879,0.003245,33.542,292.1
v2,7,500,24496.3,0.01116,0.002052,29.589,827.9
v2,7,1000,48994.0,0.0072,0.001451,24.58,1993.2
v2,7,2000,97986.6,0.00647,0.001026,39.762,2464.4
v2,7,5000,244969.4,0.00354,0.000649,29.671,8256.3
v2,9,20,1620.0,0.05349,0.00798,44.932,36.1
v2,9,50,4049.8,0.03523,0.005047,48.722,83.1
v2,9,100,8099.0,0.02493,0.003569,48.774,166.1
v2,9,200,16198.5,0.01819,0.002524,51.943,311.9
v2,9,500,40494.8,0.00993,0.001596,38.732,1045.5
v2,9,1000,80989.7,0.00806,0.001129,50.95,1589.6
v2,9,2000,161981.4,0.00552,0.000798,47.904,3381.4
v2,9,5000,404957.4,0.00357,0.000505,49.953,8106.7
v3,1,20,20.0,0.08369,0.088356,0.897,22.3
v3,1,50,50.0,0.0602,0.055881,1.161,43.1
v3,1,100,100.0,0.0393,0.039514,0.989,101.1
v3,1,200,200.0,0.03164,0.02794,1.282,156.0
v3,1,500,500.0,0.01757,0.017671,0.989,505.6
v3,1,1000,1000.0,0.01194,0.012495,0.913,1095.4
v3,1,2000,2000.0,0.0085,0.008836,0.926,2160.6
v3,1,5000,5000.0,0.00568,0.005588,1.032,4847.2
v3,3,20,180.0,0.08314,0.029451,7.969,22.6
v3,3,50,450.0,0.04656,0.018627,6.247,72.0
v3,3,100,899.9,0.03588,0.013172,7.42,121.3
v3,3,200,1799.8,0.02271,0.009314,5.943,302.8
v3,3,500,4499.4,0.01461,0.005891,6.148,731.8
v3,3,1000,8999.3,0.01136,0.004165,7.432,1210.9
v3,3,2000,17998.3,0.00875,0.002945,8.826,2039.3
v3,3,5000,44995.5,0.00556,0.001863,8.901,5055.0
v3,5,20,499.9,0.07422,0.017673,17.637,28.3
v3,5,50,1249.8,0.05102,0.011176,20.837,60.0
v3,5,100,2499.8,0.03389,0.007903,18.392,135.9
v3,5,200,4999.8,0.02578,0.005588,21.286,234.9
v3,5,500,12498.8,0.01556,0.003534,19.394,644.5
v3,5,1000,24997.5,0.01104,0.002499,19.498,1282.1
v3,5,2000,49994.6,0.00651,0.001767,13.59,3678.8
v3,5,5000,124988.1,0.00466,0.001118,17.363,7198.7
v3,7,20,979.9,0.07678,0.012623,36.997,26.5
v3,7,50,2449.8,0.0428,0.007983,28.75,85.2
v3,7,100,4899.5,0.02878,0.005645,25.997,188.5
v3,7,200,9798.6,0.02173,0.003992,29.631,330.7
v3,7,500,24497.7,0.01394,0.002525,30.485,803.6
v3,7,1000,48994.7,0.00948,0.001785,28.204,1737.2
v3,7,2000,97990.2,0.00739,0.001262,34.298,2857.0
