design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v2,1,20,A_oa,0.8718,0.8845,0.07202,0.0127,0.75,1.0
simple,v2,1,20,A_kappa,0.0435,0.0327,0.11984,-0.01073,-0.0526,0.3501
simple,v2,1,20,A_macrof1,0.2182,0.9389,0.0434,0.72075,0.8395,1.0
simple,v2,1,20,B_oa,0.8718,0.8845,0.07202,0.0127,0.75,1.0
simple,v2,1,20,C_oa,0.8718,0.8845,0.07202,0.0127,0.75,1.0
simple,v2,1,20,A_oa_wtd,0.8718,0.8845,0.07202,0.0127,0.75,1.0
simple,v2,1,20,A_macrof1_wtd,0.2182,0.9389,0.0434,0.72075,0.8395,1.0
simple,v2,1,20,C_frac_majority,,1.0,0.0,,,
strat,v2,1,20,A_oa,0.8718,0.317,0.07889,-0.5548,0.2,0.5
strat,v2,1,20,A_kappa,0.0435,0.1462,0.09861,0.10278,0.0,0.375
strat,v2,1,20,A_macrof1,0.2182,0.4238,0.08043,0.20563,0.303,0.5918
strat,v2,1,20,B_oa,0.8718,0.8778,0.1615,0.00599,0.4924,0.9902
strat,v2,1,20,C_oa,0.8718,0.8778,0.1615,0.00599,0.4924,0.9902
strat,v2,1,20,A_oa_wtd,0.8718,0.8778,0.1615,0.00599,0.4924,0.9902
strat,v2,1,20,A_macrof1_wtd,0.2182,0.5427,0.12707,0.32446,0.3605,0.8798
strat,v2,1,20,C_frac_majority,,1.0,0.0,,,
simple,v2,1,50,A_oa,0.8718,0.8676,0.05019,-0.0042,0.7695,0.9705
simple,v2,1,50,A_kappa,0.0435,0.0485,0.10056,0.00503,-0.035,0.3141
simple,v2,1,50,A_macrof1,0.2182,0.9187,0.05614,0.70051,0.7907,0.985
simple,v2,1,50,B_oa,0.8718,0.8676,0.05019,-0.0042,0.7695,0.9705
simple,v2,1,50,C_oa,0.8718,0.8676,0.05019,-0.0042,0.7695,0.9705
simple,v2,1,50,A_oa_wtd,0.8718,0.8676,0.05019,-0.0042,0.7695,0.9705
simple,v2,1,50,A_macrof1_wtd,0.2182,0.9187,0.05614,0.70051,0.7907,0.985
simple,v2,1,50,C_frac_majority,,1.0,0.0,,,
strat,v2,1,50,A_oa,0.8718,0.3202,0.05017,-0.5516,0.24,0.44
strat,v2,1,50,A_kappa,0.0435,0.1502,0.06271,0.10678,0.05,0.3
strat,v2,1,50,A_macrof1,0.2182,0.3276,0.06292,0.10938,0.2303,0.4677
strat,v2,1,50,B_oa,0.8718,0.8573,0.10713,-0.01446,0.5933,0.9881
strat,v2,1,50,C_oa,0.8718,0.8573,0.10713,-0.01446,0.5933,0.9881
strat,v2,1,50,A_oa_wtd,0.8718,0.8573,0.10713,-0.01446,0.5933,0.9881
strat,v2,1,50,A_macrof1_wtd,0.2182,0.3615,0.08707,0.14331,0.2341,0.5265
strat,v2,1,50,C_frac_majority,,1.0,0.0,,,
simple,v2,1,100,A_oa,0.8718,0.8709,0.03655,-0.0009,0.8,0.94
simple,v2,1,100,A_kappa,0.0435,0.0415,0.0695,-0.00196,-0.0247,0.2044
simple,v2,1,100,A_macrof1,0.2182,0.8946,0.09706,0.67637,0.6058,0.9778
simple,v2,1,100,B_oa,0.8718,0.8709,0.03655,-0.0009,0.8,0.94
simple,v2,1,100,C_oa,0.8718,0.8709,0.03655,-0.0009,0.8,0.94
simple,v2,1,100,A_oa_wtd,0.8718,0.8709,0.03655,-0.0009,0.8,0.94
simple,v2,1,100,A_macrof1_wtd,0.2182,0.8946,0.09706,0.67637,0.6058,0.9778
simple,v2,1,100,C_frac_majority,,1.0,0.0,,,
strat,v2,1,100,A_oa,0.8718,0.3218,0.03236,-0.55,0.26,0.38
strat,v2,1,100,A_kappa,0.0435,0.1522,0.04045,0.10878,0.075,0.225
strat,v2,1,100,A_macrof1,0.2182,0.2924,0.04052,0.07418,0.2296,0.3721
strat,v2,1,100,B_oa,0.8718,0.8749,0.068,0.00313,0.7399,0.9864
strat,v2,1,100,C_oa,0.8718,0.8749,0.068,0.00313,0.7399,0.9864
strat,v2,1,100,A_oa_wtd,0.8718,0.8749,0.068,0.00313,0.7399,0.9864
strat,v2,1,100,A_macrof1_wtd,0.2182,0.297,0.04801,0.07885,0.208,0.3813
strat,v2,1,100,C_frac_majority,,1.0,0.0,,,
simple,v2,1,200,A_oa,0.8718,0.8713,0.02465,-0.00055,0.82,0.915
simple,v2,1,200,A_kappa,0.0435,0.0484,0.05354,0.00489,-0.0151,0.1633
simple,v2,1,200,A_macrof1,0.2182,0.8337,0.15324,0.61553,0.5303,0.9569
simple,v2,1,200,B_oa,0.8718,0.8713,0.02465,-0.00055,0.82,0.915
simple,v2,1,200,C_oa,0.8718,0.8713,0.02465,-0.00055,0.82,0.915
simple,v2,1,200,A_oa_wtd,0.8718,0.8713,0.02465,-0.00055,0.82,0.915
simple,v2,1,200,A_macrof1_wtd,0.2182,0.8337,0.15324,0.61553,0.5303,0.9569
simple,v2,1,200,C_frac_majority,,1.0,0.0,,,
strat,v2,1,200,A_oa,0.8718,0.3186,0.02696,-0.5532,0.27,0.3726
strat,v2,1,200,A_kappa,0.0435,0.1482,0.0337,0.10478,0.0875,0.2158
strat,v2,1,200,A_macrof1,0.2182,0.2787,0.03403,0.06048,0.2149,0.3455
strat,v2,1,200,B_oa,0.8718,0.8659,0.05043,-0.00586,0.7758,0.9615
strat,v2,1,200,C_oa,0.8718,0.8659,0.05043,-0.00586,0.7758,0.9615
strat,v2,1,200,A_oa_wtd,0.8718,0.8659,0.05043,-0.00586,0.7758,0.9615
strat,v2,1,200,A_macrof1_wtd,0.2182,0.2571,0.03757,0.03891,0.1942,0.3335
strat,v2,1,200,C_frac_majority,,1.0,0.0,,,
simple,v2,1,500,A_oa,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,A_kappa,0.0435,0.0454,0.03453,0.00197,-0.0134,0.1155
simple,v2,1,500,A_macrof1,0.2182,0.6686,0.20095,0.45036,0.3959,0.9421
simple,v2,1,500,B_oa,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,C_oa,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,A_oa_wtd,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,A_macrof1_wtd,0.2182,0.6686,0.20095,0.45036,0.3959,0.9421
simple,v2,1,500,C_frac_majority,,1.0,0.0,,,
strat,v2,1,500,A_oa,0.8718,0.3161,0.01666,-0.5557,0.286,0.347
strat,v2,1,500,A_kappa,0.0435,0.1451,0.02082,0.10165,0.1075,0.1838
strat,v2,1,500,A_macrof1,0.2182,0.272,0.02005,0.05378,0.2356,0.3123
strat,v2,1,500,B_oa,0.8718,0.8753,0.03623,0.00351,0.8133,0.9422
strat,v2,1,500,C_oa,0.8718,0.8753,0.03623,0.00351,0.8133,0.9422
