design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
simple,v2,1,20,Stable,recall,0.8958,0.9026,0.06115,0.00685,0.0
simple,v2,1,20,Harvest,recall,0.0762,0.0588,0.24254,-0.01739,0.83
simple,v2,1,20,Development,recall,0.0914,,,,1.0
simple,v2,1,20,Insect/Disease,recall,0.0713,0.0,0.0,-0.07134,0.94
simple,v2,1,20,Beaver,recall,0.3293,0.25,0.5,-0.07926,0.96
simple,v2,1,20,Stable,precision,0.9867,0.9883,0.02399,0.0016,0.0
simple,v2,1,20,Harvest,precision,0.0888,0.0333,0.1291,-0.05545,0.85
simple,v2,1,20,Development,precision,0.0072,0.0,0.0,-0.00722,0.91
simple,v2,1,20,Insect/Disease,precision,0.0113,0.0,0.0,-0.01129,0.7
simple,v2,1,20,Beaver,precision,0.0019,0.012,0.10976,0.01014,0.17
simple,v2,1,20,Stable,f1,0.939,0.9423,0.03661,0.00327,0.0
simple,v2,1,20,Harvest,f1,0.082,0.6667,,0.58464,0.99
simple,v2,1,20,Development,f1,0.0134,,,,1.0
simple,v2,1,20,Insect/Disease,f1,0.0195,,,,1.0
simple,v2,1,20,Beaver,f1,0.0038,1.0,,0.9962,0.99
strat,v2,1,20,Stable,recall,0.8958,0.8525,0.178,-0.04325,0.0
strat,v2,1,20,Harvest,recall,0.0762,0.07,0.13333,-0.00622,0.0
strat,v2,1,20,Development,recall,0.0914,0.0625,0.125,-0.02888,0.0
strat,v2,1,20,Insect/Disease,recall,0.0713,0.0825,0.14674,0.01116,0.0
strat,v2,1,20,Beaver,recall,0.3293,0.3125,0.25469,-0.01676,0.0
strat,v2,1,20,Stable,precision,0.9867,0.9855,0.00589,-0.00116,0.0
strat,v2,1,20,Harvest,precision,0.0888,0.393,0.45406,0.30417,0.5
strat,v2,1,20,Development,precision,0.0072,0.5447,0.50123,0.53752,0.63
strat,v2,1,20,Insect/Disease,precision,0.0113,0.3525,0.45547,0.34118,0.43
strat,v2,1,20,Beaver,precision,0.0019,0.1714,0.33655,0.16947,0.05
strat,v2,1,20,Stable,f1,0.939,0.9032,0.12113,-0.0358,0.0
strat,v2,1,20,Harvest,f1,0.082,0.4023,0.15609,0.32023,0.76
strat,v2,1,20,Development,f1,0.0134,0.4088,0.14045,0.39537,0.78
strat,v2,1,20,Insect/Disease,f1,0.0195,0.3705,0.18699,0.35105,0.72
strat,v2,1,20,Beaver,f1,0.0038,0.1721,0.22655,0.16832,0.26
simple,v2,1,50,Stable,recall,0.8958,0.8922,0.03831,-0.00351,0.0
simple,v2,1,50,Harvest,recall,0.0762,0.1098,0.29845,0.03363,0.56
simple,v2,1,50,Development,recall,0.0914,0.25,0.5,0.15862,0.96
simple,v2,1,50,Insect/Disease,recall,0.0713,0.0,0.0,-0.07134,0.85
simple,v2,1,50,Beaver,recall,0.3293,,,,1.0
simple,v2,1,50,Stable,precision,0.9867,0.986,0.01783,-0.00067,0.0
simple,v2,1,50,Harvest,precision,0.0888,0.122,0.31186,0.03316,0.59
simple,v2,1,50,Development,precision,0.0072,0.0333,0.18257,0.02611,0.7
