version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v2,1,20,Stable,0.03661,0.12113,3.309
v2,1,20,Harvest,,0.15609,
v2,1,20,Development,,0.14045,
v2,1,20,Insect/Disease,,0.18699,
v2,1,20,Beaver,,0.22655,
v2,1,50,Stable,0.02146,0.05124,2.388
v2,1,50,Harvest,0.20412,0.11466,0.562
v2,1,50,Development,,0.11471,
v2,1,50,Insect/Disease,,0.11726,
v2,1,50,Beaver,,0.1542,
v2,1,100,Stable,0.01689,0.04109,2.433
v2,1,100,Harvest,0.08305,0.07923,0.954
v2,1,100,Development,0.18257,0.09567,0.524
v2,1,100,Insect/Disease,0.11785,0.07283,0.618
v2,1,100,Beaver,0.06383,0.08267,1.295
v2,1,200,Stable,0.01296,0.03124,2.41
v2,1,200,Harvest,0.22211,0.067,0.302
v2,1,200,Development,0.30062,0.09124,0.303
v2,1,200,Insect/Disease,0.11697,0.07058,0.603
v2,1,200,Beaver,0.07395,0.03142,0.425
v2,1,500,Stable,0.00807,0.02016,2.498
v2,1,500,Harvest,0.07367,0.04861,0.66
v2,1,500,Development,0.07674,0.06999,0.912
v2,1,500,Insect/Disease,0.06688,0.04354,0.651
v2,1,500,Beaver,0.00378,0.01613,4.261
v2,1,1000,Stable,0.00512,0.01271,2.482
v2,1,1000,Harvest,0.06318,0.0296,0.469
v2,1,1000,Development,0.06186,0.05667,0.916
v2,1,1000,Insect/Disease,0.02602,0.01555,0.598
v2,1,1000,Beaver,0.01419,0.00143,0.101
v2,1,2000,Stable,0.00394,0.00816,2.073
v2,1,2000,Harvest,0.05358,0.02531,0.472
v2,1,2000,Development,0.03109,0.01436,0.462
v2,1,2000,Insect/Disease,0.01994,0.00701,0.352
v2,1,2000,Beaver,0.00375,0.00079,0.21
v2,1,5000,Stable,0.00252,0.0051,2.022
v2,1,5000,Harvest,0.03668,0.01453,0.396
v2,1,5000,Development,0.01611,0.0099,0.615
v2,1,5000,Insect/Disease,0.01154,0.00487,0.422
v2,1,5000,Beaver,0.00356,0.00049,0.137
v2,3,20,Stable,0.03319,0.08393,2.528
v2,3,20,Harvest,0.33637,0.17982,0.535
v2,3,20,Development,,0.17417,
v2,3,20,Insect/Disease,,0.1538,
v2,3,20,Beaver,0.14254,0.1926,1.351
v2,3,50,Stable,0.02084,0.04441,2.131
v2,3,50,Harvest,0.0551,0.11218,2.036
v2,3,50,Development,,0.1465,
v2,3,50,Insect/Disease,0.31547,0.11376,0.361
v2,3,50,Beaver,0.02857,0.06754,2.364
v2,3,100,Stable,0.01537,0.03757,2.445
v2,3,100,Harvest,0.21432,0.08288,0.387
v2,3,100,Development,,0.11123,
v2,3,100,Insect/Disease,0.23763,0.09241,0.389
v2,3,100,Beaver,0.0521,0.03353,0.643
v2,3,200,Stable,0.0114,0.02639,2.316
