W,cls,n_windows,proportion
1,Stable,20116831,0.98424
1,Harvest,232769,0.01139
1,Development,12596,0.00062
1,Insect/Disease,68738,0.00336
1,Beaver,8021,0.00039
3,Stable,2221771,0.98419
3,Harvest,25747,0.01141
3,Development,1427,0.00063
3,Insect/Disease,7628,0.00338
3,Beaver,885,0.00039
5,Stable,795096,0.98421
5,Harvest,9243,0.01144
5,Development,475,0.00059
5,Insect/Disease,2699,0.00334
5,Beaver,338,0.00042
7,Stable,408043,0.9841
7,Harvest,4775,0.01152
7,Development,264,0.00064
7,Insect/Disease,1379,0.00333
7,Beaver,175,0.00042
9,Stable,242422,0.98398
9,Harvest,2841,0.01153
9,Development,159,0.00065
9,Insect/Disease,854,0.00347
9,Beaver,94,0.00038
