version,W,n,cls,target_alloc,mean_realized,mean_shortfall
v2,1,20,Stable,4,4.0,0.0
v2,1,20,Harvest,4,4.0,0.0
v2,1,20,Development,4,4.0,0.0
v2,1,20,Insect/Disease,4,4.0,0.0
v2,1,20,Beaver,4,4.0,0.0
v2,1,50,Stable,10,10.0,0.0
v2,1,50,Harvest,10,10.0,0.0
v2,1,50,Development,10,10.0,0.0
v2,1,50,Insect/Disease,10,10.0,0.0
v2,1,50,Beaver,10,10.0,0.0
v2,1,100,Stable,20,20.0,0.0
v2,1,100,Harvest,20,20.0,0.0
v2,1,100,Development,20,20.0,0.0
v2,1,100,Insect/Disease,20,20.0,0.0
v2,1,100,Beaver,20,20.0,0.0
v2,1,200,Stable,40,40.0,0.0
v2,1,200,Harvest,40,40.0,0.0
v2,1,200,Development,40,40.0,0.0
v2,1,200,Insect/Disease,40,40.0,0.0
v2,1,200,Beaver,40,40.0,0.0
v2,1,500,Stable,100,100.0,0.0
v2,1,500,Harvest,100,100.0,0.0
v2,1,500,Development,100,100.0,0.0
v2,1,500,Insect/Disease,100,100.0,0.0
v2,1,500,Beaver,100,100.0,0.0
v2,1,1000,Stable,200,200.0,0.0
v2,1,1000,Harvest,200,200.0,0.0
v2,1,1000,Development,200,200.0,0.0
v2,1,1000,Insect/Disease,200,200.0,0.0
v2,1,1000,Beaver,200,200.0,0.0
v2,1,2000,Stable,400,400.0,0.0
v2,1,2000,Harvest,400,400.0,0.0
v2,1,2000,Development,400,400.0,0.0
v2,1,2000,Insect/Disease,400,400.0,0.0
v2,1,2000,Beaver,400,400.0,0.0
v2,1,5000,Stable,1000,1000.0,0.0
v2,1,5000,Harvest,1000,1000.0,0.0
v2,1,5000,Development,1000,1000.0,0.0
v2,1,5000,Insect/Disease,1000,1000.0,0.0
v2,1,5000,Beaver,1000,1000.0,0.0
v2,3,20,Stable,4,4.0,0.0
v2,3,20,Harvest,4,4.0,0.0
v2,3,20,Development,4,4.0,0.0
v2,3,20,Insect/Disease,4,4.0,0.0
