version,W,ref_code,ref_class,map_code,map_class,count
v2,1,1,Harvest,1,Harvest,14618
v2,1,1,Harvest,2,Development,1031
v2,1,1,Harvest,3,Forest,119646
v2,1,1,Harvest,4,Urban,5701
v2,1,1,Harvest,5,Water,62
v2,1,1,Harvest,6,Agriculture,998
v2,1,1,Harvest,7,Grass/Shrub,15662
v2,1,1,Harvest,8,Wetland,5855
v2,1,1,Harvest,9,Beaver,17725
v2,1,1,Harvest,10,Insect/Disease,9250
v2,1,2,Development,1,Harvest,227
v2,1,2,Development,2,Development,999
v2,1,2,Development,3,Forest,1696
v2,1,2,Development,4,Urban,4230
v2,1,2,Development,5,Water,80
v2,1,2,Development,6,Agriculture,2749
v2,1,2,Development,7,Grass/Shrub,1275
v2,1,2,Development,8,Wetland,1393
v2,1,2,Development,9,Beaver,51
v2,1,2,Development,10,Insect/Disease,50
v2,1,3,Forest,1,Harvest,112953
v2,1,3,Forest,2,Development,14628
v2,1,3,Forest,3,Forest,6563438
v2,1,3,Forest,4,Urban,86351
v2,1,3,Forest,5,Water,17798
v2,1,3,Forest,6,Agriculture,49071
v2,1,3,Forest,7,Grass/Shrub,736768
v2,1,3,Forest,8,Wetland,379079
v2,1,3,Forest,9,Beaver,797629
v2,1,3,Forest,10,Insect/Disease,295018
v2,1,4,Urban,1,Harvest,4145
v2,1,4,Urban,2,Development,12575
v2,1,4,Urban,3,Forest,52216
v2,1,4,Urban,4,Urban,395443
v2,1,4,Urban,5,Water,5799
v2,1,4,Urban,6,Agriculture,48194
v2,1,4,Urban,7,Grass/Shrub,18857
v2,1,4,Urban,8,Wetland,25011
v2,1,4,Urban,9,Beaver,6056
v2,1,4,Urban,10,Insect/Disease,2281
v2,1,5,Water,1,Harvest,72
v2,1,5,Water,2,Development,1363
v2,1,5,Water,3,Forest,24368
v2,1,5,Water,4,Urban,3427
v2,1,5,Water,5,Water,1343047
v2,1,5,Water,6,Agriculture,841
v2,1,5,Water,7,Grass/Shrub,5768
v2,1,5,Water,8,Wetland,42397
v2,1,5,Water,9,Beaver,9076
v2,1,5,Water,10,Insect/Disease,1893
v2,1,6,Agriculture,1,Harvest,10263
v2,1,6,Agriculture,2,Development,56155
v2,1,6,Agriculture,3,Forest,91868
v2,1,6,Agriculture,4,Urban,254486
v2,1,6,Agriculture,5,Water,2282
v2,1,6,Agriculture,6,Agriculture,2056574
v2,1,6,Agriculture,7,Grass/Shrub,181448
v2,1,6,Agriculture,8,Wetland,49500
v2,1,6,Agriculture,9,Beaver,4629
v2,1,6,Agriculture,10,Insect/Disease,1842
v2,1,7,Grass/Shrub,1,Harvest,25630
v2,1,7,Grass/Shrub,2,Development,38816
v2,1,7,Grass/Shrub,3,Forest,231080
v2,1,7,Grass/Shrub,4,Urban,221175
v2,1,7,Grass/Shrub,5,Water,2413
v2,1,7,Grass/Shrub,6,Agriculture,276993
v2,1,7,Grass/Shrub,7,Grass/Shrub,483018
v2,1,7,Grass/Shrub,8,Wetland,250853
v2,1,7,Grass/Shrub,9,Beaver,53758
v2,1,7,Grass/Shrub,10,Insect/Disease,22622
v2,1,8,Wetland,1,Harvest,3950
v2,1,8,Wetland,2,Development,10299
v2,1,8,Wetland,3,Forest,344837
v2,1,8,Wetland,4,Urban,75052
v2,1,8,Wetland,5,Water,72088
v2,1,8,Wetland,6,Agriculture,48327
v2,1,8,Wetland,7,Grass/Shrub,321740
v2,1,8,Wetland,8,Wetland,617143
v2,1,8,Wetland,9,Beaver,266883
v2,1,8,Wetland,10,Insect/Disease,65065
v2,1,9,Beaver,1,Harvest,42
v2,1,9,Beaver,2,Development,85
v2,1,9,Beaver,3,Forest,689
v2,1,9,Beaver,4,Urban,224
v2,1,9,Beaver,5,Water,429
v2,1,9,Beaver,6,Agriculture,402
v2,1,9,Beaver,7,Grass/Shrub,1176
