version,W,overall_accuracy,macro_f1,mean_iou,kappa,n_windows,frac_map_majority,frac_ref_majority,n_bne,frac_bne,windows_per_cell,edge_discarded_px,edge_discarded_frac
v2,1,0.6575,0.3786,0.2975,0.5309,17456724,1.0,1.0,0,0.0,113575.6,0,0.0
v2,3,0.672,0.3854,0.3048,0.5461,1929875,0.9832,0.9723,59634,0.0309,12544.0,104653,0.006
v2,5,0.6807,0.3852,0.3056,0.5545,690843,0.9627,0.9509,32992,0.0478,4489.0,207987,0.0119
v2,7,0.6875,0.3847,0.306,0.5605,354653,0.9444,0.9364,21292,0.06,2304.0,104653,0.006
v2,9,0.6937,0.3862,0.308,0.5661,210764,0.926,0.9268,14478,0.0687,1369.0,413731,0.0237
v3,1,0.6061,0.3712,0.2899,0.4831,17456724,1.0,1.0,0,0.0,113575.6,0,0.0
v3,3,0.6183,0.378,0.2972,0.4951,1929875,0.9842,0.9723,61007,0.0316,12544.0,104653,0.006
v3,5,0.6244,0.3775,0.2973,0.5003,690843,0.9636,0.9509,33882,0.049,4489.0,207987,0.0119
v3,7,0.6292,0.3767,0.2973,0.5038,354653,0.9442,0.9364,21728,0.0613,2304.0,104653,0.006
v3,9,0.6346,0.3781,0.2995,0.5083,210764,0.9242,0.9268,14605,0.0693,1369.0,413731,0.0237
v4,1,0.5078,0.2433,0.1632,0.3191,17456724,1.0,1.0,0,0.0,113575.6,0,0.0
v4,3,0.5268,0.2499,0.1691,0.3355,1929875,0.9641,0.9723,58712,0.0304,12544.0,104653,0.006
v4,5,0.5383,0.253,0.1724,0.346,690843,0.9376,0.9509,31098,0.045,4489.0,207987,0.0119
v4,7,0.5481,0.2554,0.1749,0.3539,354653,0.9158,0.9364,19856,0.056,2304.0,104653,0.006
v4,9,0.5547,0.2561,0.1762,0.3585,210764,0.8964,0.9268,13863,0.0658,1369.0,413731,0.0237
v5,1,0.5642,0.3596,0.2784,0.4415,17456724,1.0,1.0,0,0.0,113575.6,0,0.0
v5,3,0.5762,0.3662,0.2853,0.453,1929875,0.9804,0.9723,62602,0.0324,12544.0,104653,0.006
v5,5,0.5828,0.3655,0.2853,0.4583,690843,0.9563,0.9509,34733,0.0503,4489.0,207987,0.0119
v5,7,0.5877,0.3651,0.2856,0.4618,354653,0.9337,0.9364,22529,0.0635,2304.0,104653,0.006
v5,9,0.593,0.3661,0.2873,0.4658,210764,0.9114,0.9268,15103,0.0717,1369.0,413731,0.0237
v6,1,0.186,0.1032,0.058,0.0585,17456724,1.0,1.0,0,0.0,113575.6,0,0.0
v6,3,0.2362,0.1148,0.0667,0.0821,1929875,0.1892,0.9723,206911,0.1072,12544.0,104653,0.006
v6,5,0.235,0.1169,0.0676,0.0844,690843,0.076,0.9509,93901,0.1359,4489.0,207987,0.0119
v6,7,0.2308,0.1167,0.0672,0.0836,354653,0.0497,0.9364,52551,0.1482,2304.0,104653,0.006
v6,9,0.2268,0.1165,0.0669,0.0833,210764,0.0416,0.9268,32449,0.154,1369.0,413731,0.0237
