system:index,agent,cell_side_m,cell_side_px,n_cells_complete,n_cells_total,n_with_change,.geo
0,harvest,6720,224,166,5428,121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,development,6720,224,166,5428,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,beaver,6720,224,166,5428,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,insect_disease_mort,6720,224,166,5428,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,harvest,3360,112,664,21712,398,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,development,3360,112,664,21712,209,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,beaver,3360,112,664,21712,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,insect_disease_mort,3360,112,664,21712,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,harvest,1680,56,2656,86848,1027,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,development,1680,56,2656,86848,387,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,beaver,1680,56,2656,86848,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,insect_disease_mort,1680,56,2656,86848,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,harvest,840,28,10624,347392,2292,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,development,840,28,10624,347392,614,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,beaver,840,28,10624,347392,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,insect_disease_mort,840,28,10624,347392,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,harvest,420,14,42496,1389568,5170,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,development,420,14,42496,1389568,998,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,beaver,420,14,42496,1389568,146,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,insect_disease_mort,420,14,42496,1389568,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
