class_a,class_b,pixels,pct_of_pair_events
Forest,Wetland,400940,20.951
Agriculture,Grass/Shrub,369635,19.315
Grass/Shrub,Forest,282826,14.779
Grass/Shrub,Wetland,258955,13.532
Agriculture,Wetland,134347,7.02
Urban,Agriculture,91394,4.776
Agriculture,Forest,80767,4.22
Water,Wetland,65406,3.418
Forest,Insect/Disease,39630,2.071
Forest,Water,31219,1.631
Forest,Harvest,24398,1.275
Urban,Wetland,24176,1.263
Urban,Grass/Shrub,20242,1.058
Urban,Other,13861,0.724
Grass/Shrub,Harvest,12295,0.642
Urban,Forest,7489,0.391
Wetland,Harvest,7427,0.388
Agriculture,Harvest,6513,0.34
Grass/Shrub,Other,6182,0.323
Urban,Water,2820,0.147
Grass/Shrub,Water,2749,0.144
Grass/Shrub,Insect/Disease,2726,0.142
Agriculture,Development,2695,0.141
Forest,Beaver,2553,0.133
Wetland,Other,2468,0.129
Forest,Development,2427,0.127
Urban,Development,2190,0.114
Water,Insect/Disease,2025,0.106
Agriculture,Water,1771,0.093
Insect/Disease,Beaver,1549,0.081
Wetland,Beaver,1491,0.078
Wetland,Insect/Disease,1293,0.068
Grass/Shrub,Beaver,1199,0.063
Water,Beaver,1023,0.053
Agriculture,Insect/Disease,823,0.043
Harvest,Insect/Disease,816,0.043
Urban,Harvest,658,0.034
Agriculture,Other,573,0.03
Agriculture,Beaver,521,0.027
Grass/Shrub,Development,430,0.022
Other,Harvest,403,0.021
Water,Other,147,0.008
Other,Development,133,0.007
Harvest,Beaver,109,0.006
Urban,Insect/Disease,104,0.005
Harvest,Development,89,0.005
Forest,Other,77,0.004
Water,Development,42,0.002
Water,Harvest,40,0.002
Wetland,Development,29,0.002
Urban,Beaver,28,0.001
Development,Insect/Disease,15,0.001
