scheme,metric,class,interpreter,numerator,denominator,percentage
ten_class,contested_share_of_adjudicated,Urban,NA,68109,185594,36.698
ten_class,contested_composition,Urban,NA,68109,1850926,3.68
ten_class,contested_share_of_adjudicated,Agriculture,NA,379521,1500321,25.296
ten_class,contested_composition,Agriculture,NA,379521,1850926,20.504
ten_class,contested_share_of_adjudicated,Grass/Shrub,NA,425426,606721,70.119
ten_class,contested_composition,Grass/Shrub,NA,425426,1850926,22.984
ten_class,contested_share_of_adjudicated,Forest,NA,428516,4231435,10.127
ten_class,contested_composition,Forest,NA,428516,1850926,23.151
ten_class,contested_share_of_adjudicated,Water,NA,66858,671137,9.962
ten_class,contested_composition,Water,NA,66858,1850926,3.612
ten_class,contested_share_of_adjudicated,Wetland,NA,397616,803094,49.511
ten_class,contested_composition,Wetland,NA,397616,1850926,21.482
ten_class,contested_share_of_adjudicated,Other,NA,12811,19748,64.872
ten_class,contested_composition,Other,NA,12811,1850926,0.692
ten_class,contested_share_of_adjudicated,Harvest,NA,28853,103101,27.985
ten_class,contested_composition,Harvest,NA,28853,1850926,1.559
ten_class,contested_share_of_adjudicated,Development,NA,3095,4674,66.217
ten_class,contested_composition,Development,NA,3095,1850926,0.167
ten_class,contested_share_of_adjudicated,Insect/Disease,NA,38203,45479,84.001
ten_class,contested_composition,Insect/Disease,NA,38203,1850926,2.064
ten_class,contested_share_of_adjudicated,Beaver,NA,1918,2273,84.382
ten_class,contested_composition,Beaver,NA,1918,1850926,0.104
five_class,contested_share_of_adjudicated,Stable,NA,41756,8018050,0.521
five_class,contested_composition,Stable,NA,41756,113825,36.684
five_class,contested_share_of_adjudicated,Harvest,NA,28853,103101,27.985
five_class,contested_composition,Harvest,NA,28853,113825,25.349
five_class,contested_share_of_adjudicated,Development,NA,3095,4674,66.217
five_class,contested_composition,Development,NA,3095,113825,2.719
five_class,contested_share_of_adjudicated,Insect/Disease,NA,38203,45479,84.001
five_class,contested_composition,Insect/Disease,NA,38203,113825,33.563
five_class,contested_share_of_adjudicated,Beaver,NA,1918,2273,84.382
five_class,contested_composition,Beaver,NA,1918,113825,1.685
