source,scope,cls,metric,estimate,ci_lo,ci_hi,support
v2,overall,,OA,0.87817,0.85476,0.90159,19075790
v2,overall,,baseline_OA,0.98494,,,19075790
v2,overall,,kappa,0.05463,0.03121,0.08403,19075790
v2,class,No-change,precision,0.98892,0.98513,0.99272,18788425
v2,class,No-change,recall,0.88624,0.86235,0.91012,18788425
v2,class,Change,precision,0.04506,0.02635,0.06378,287365
v2,class,Change,recall,0.351,0.25282,0.44918,287365
v2,class,Change,f1,0.07987,0.05207,0.1131,287365
v3,overall,,OA,0.83613,0.80926,0.86301,19075790
v3,overall,,baseline_OA,0.98494,,,19075790
v3,overall,,kappa,0.02925,0.01147,0.05319,19075790
v3,class,No-change,precision,0.98787,0.98377,0.99197,18788425
v3,class,No-change,recall,0.84399,0.81658,0.8714,18788425
v3,class,Change,precision,0.03064,0.01653,0.04474,287365
v3,class,Change,recall,0.32238,0.21483,0.42993,287365
v3,class,Change,f1,0.05596,0.03417,0.08355,287365
v4,overall,,OA,0.90312,0.88749,0.91874,19075790
v4,overall,,baseline_OA,0.98494,,,19075790
v4,overall,,kappa,0.11643,0.07483,0.16691,19075790
v4,class,No-change,precision,0.99201,0.98925,0.99477,18788425
v4,class,No-change,recall,0.90896,0.89289,0.92503,18788425
v4,class,Change,precision,0.08052,0.04826,0.11277,287365
v4,class,Change,recall,0.52125,0.42733,0.61517,287365
v4,class,Change,f1,0.13949,0.09512,0.19367,287365
v5,overall,,OA,0.80195,0.77075,0.83316,19075790
v5,overall,,baseline_OA,0.98494,,,19075790
v5,overall,,kappa,0.01577,0.0023,0.0321,19075790
v5,class,No-change,precision,0.9869,0.98246,0.99134,18788425
v5,class,No-change,recall,0.80967,0.77791,0.84143,18788425
v5,class,Change,precision,0.02333,0.01271,0.03395,287365
v5,class,Change,recall,0.29728,0.1935,0.40106,287365
v5,class,Change,f1,0.04327,0.02635,0.06438,287365
v6,overall,,OA,0.60765,0.58291,0.63238,19075790
v6,overall,,baseline_OA,0.98494,,,19075790
v6,overall,,kappa,0.00746,0.00294,0.01282,19075790
v6,class,No-change,precision,0.98736,0.98314,0.99158,18788425
v6,class,No-change,recall,0.60945,0.58411,0.63478,18788425
v6,class,Change,precision,0.01882,0.01234,0.02531,287365
v6,class,Change,recall,0.48988,0.43451,0.54525,287365
v6,class,Change,f1,0.03625,0.02563,0.04952,287365
spec_all,overall,,OA,0.78608,0.76269,0.80947,18788997
spec_all,overall,,baseline_OA,0.98473,,,18788997
spec_all,overall,,kappa,0.03921,0.02503,0.05481,18788997
spec_all,class,No-change,precision,0.99029,0.98672,0.99385,18502135
spec_all,class,No-change,recall,0.79052,0.76633,0.8147,18502135
spec_all,class,Change,precision,0.03567,0.02366,0.04769,286862
spec_all,class,Change,recall,0.49983,0.41489,0.58476,286862
spec_all,class,Change,f1,0.06659,0.04669,0.08903,286862
