source,bracket,class,f1
v2,2017_2019,Harvest,0.097812
v2,2017_2019,Development,0.215148
v2,2017_2019,Beaver,0.006083
v2,2017_2019,Insect/Disease,0.001099
v2,2018_2020,Harvest,0.221798
v2,2018_2020,Development,0.016858
v2,2018_2020,Beaver,0.008117
v2,2018_2020,Insect/Disease,0.025756
v2,2019_2021,Harvest,0.207055
v2,2019_2021,Development,0.002835
v2,2019_2021,Beaver,0.003000
v2,2019_2021,Insect/Disease,0.000733
v2,2020_2022,Harvest,0.070596
v2,2020_2022,Development,0.011021
v2,2020_2022,Beaver,0.004913
v2,2020_2022,Insect/Disease,0.014433
v2,2021_2023,Harvest,0.060177
v2,2021_2023,Development,0.101572
v2,2021_2023,Beaver,0.006741
v2,2021_2023,Insect/Disease,0.000000
v3,2017_2019,Harvest,0.050484
v3,2017_2019,Development,0.024732
v3,2017_2019,Beaver,0.003032
v3,2017_2019,Insect/Disease,0.000986
v3,2018_2020,Harvest,0.119783
v3,2018_2020,Development,0.000387
v3,2018_2020,Beaver,0.009647
v3,2018_2020,Insect/Disease,0.020997
v3,2019_2021,Harvest,0.102907
v3,2019_2021,Development,0.003643
v3,2019_2021,Beaver,0.002364
v3,2019_2021,Insect/Disease,0.000000
v3,2020_2022,Harvest,0.034497
v3,2020_2022,Development,0.006167
v3,2020_2022,Beaver,0.003745
v3,2020_2022,Insect/Disease,0.016160
v3,2021_2023,Harvest,0.001453
v3,2021_2023,Development,0.003149
v3,2021_2023,Beaver,0.002267
v3,2021_2023,Insect/Disease,0.000000
v4,2017_2019,Harvest,0.108199
v4,2017_2019,Development,0.053470
v4,2017_2019,Beaver,0.024445
v4,2017_2019,Insect/Disease,0.000760
v4,2018_2020,Harvest,0.189088
v4,2018_2020,Development,0.013239
v4,2018_2020,Beaver,0.031566
v4,2018_2020,Insect/Disease,0.022562
v4,2019_2021,Harvest,0.076546
v4,2019_2021,Development,0.001224
v4,2019_2021,Beaver,0.009924
v4,2019_2021,Insect/Disease,0.000266
v4,2020_2022,Harvest,0.193578
v4,2020_2022,Development,0.021045
v4,2020_2022,Beaver,0.008594
v4,2020_2022,Insect/Disease,0.003957
v4,2021_2023,Harvest,0.019373
v4,2021_2023,Development,0.072011
v4,2021_2023,Beaver,0.014913
v4,2021_2023,Insect/Disease,0.000722
v5,2017_2019,Harvest,0.004535
v5,2017_2019,Development,0.015274
v5,2017_2019,Beaver,0.003439
v5,2017_2019,Insect/Disease,0.001095
v5,2018_2020,Harvest,0.083686
v5,2018_2020,Development,0.002899
v5,2018_2020,Beaver,0.006747
v5,2018_2020,Insect/Disease,0.015904
v5,2019_2021,Harvest,0.049412
v5,2019_2021,Development,0.001215
v5,2019_2021,Beaver,0.002061
v5,2019_2021,Insect/Disease,0.000648
v5,2020_2022,Harvest,0.021022
v5,2020_2022,Development,0.004383
v5,2020_2022,Beaver,0.004022
v5,2020_2022,Insect/Disease,0.012748
v5,2021_2023,Harvest,0.000000
v5,2021_2023,Development,0.019129
v5,2021_2023,Beaver,0.001123
v5,2021_2023,Insect/Disease,0.000000
v6,2017_2019,Harvest,0.013182
v6,2017_2019,Development,0.010543
v6,2017_2019,Beaver,0.001053
v6,2017_2019,Insect/Disease,0.003819
v6,2018_2020,Harvest,0.037914
v6,2018_2020,Development,0.002440
v6,2018_2020,Beaver,0.002483
v6,2018_2020,Insect/Disease,0.010106
v6,2019_2021,Harvest,0.011910
v6,2019_2021,Development,0.001796
v6,2019_2021,Beaver,0.000834
v6,2019_2021,Insect/Disease,0.006033
v6,2020_2022,Harvest,0.032529
v6,2020_2022,Development,0.001920
v6,2020_2022,Beaver,0.000981
v6,2020_2022,Insect/Disease,0.010915
v6,2021_2023,Harvest,0.009457
v6,2021_2023,Development,0.008218
v6,2021_2023,Beaver,0.000432
v6,2021_2023,Insect/Disease,0.000573
spec_all,2017_2019,Harvest,0.030392
spec_all,2017_2019,Development,0.015275
spec_all,2017_2019,Beaver,0.003291
spec_all,2017_2019,Insect/Disease,0.014337
spec_all,2018_2020,Harvest,0.231675
spec_all,2018_2020,Development,0.004077
spec_all,2018_2020,Beaver,0.004120
spec_all,2018_2020,Insect/Disease,0.055039
spec_all,2019_2021,Harvest,0.042749
spec_all,2019_2021,Development,0.002023
spec_all,2019_2021,Beaver,0.002774
spec_all,2019_2021,Insect/Disease,0.038595
spec_all,2020_2022,Harvest,0.134941
spec_all,2020_2022,Development,0.007905
spec_all,2020_2022,Beaver,0.017156
spec_all,2020_2022,Insect/Disease,0.003171
spec_all,2021_2023,Harvest,0.040646
spec_all,2021_2023,Development,0.006052
spec_all,2021_2023,Beaver,0.000471
spec_all,2021_2023,Insect/Disease,0.000617
