variant,scope,cls,metric,estimate,ratio_se,ratio_ci_lo,ratio_ci_hi,boot_ci_lo,boot_ci_hi,support
v2,overall,,OA,0.88355,0.0094,0.86513,0.90197,0.86369,0.90101,20437331
v2,overall,,kappa,0.0251,,,,0.01348,0.03807,20437331
v2,overall,,macro_F1,0.21088,,,,0.20102,0.22364,20437331
v2,overall,,mean_IoU,0.18899,,,,0.18221,0.19732,20437331
v2,overall,,baseline_OA,0.98524,,,,0.98041,0.98954,20437331
v2,class,Stable,precision,0.98744,0.00226,0.98301,0.99186,0.98275,0.99135,20135693
v2,class,Stable,recall,0.89553,0.00915,0.87759,0.91348,0.87586,0.91257,20135693
v2,class,Stable,F1,0.93924,,,,0.92817,0.94879,20135693
v2,class,Stable,IoU,0.88545,0.0092,0.86741,0.90348,0.86597,0.90257,20135693
v2,class,Harvest,precision,0.08996,0.03964,0.01226,0.16767,0.03831,0.24647,231930
v2,class,Harvest,recall,0.0775,0.02233,0.03374,0.12126,0.03933,0.12771,231930
v2,class,Harvest,F1,0.08327,,,,0.04207,0.13979,231930
v2,class,Harvest,IoU,0.04344,0.01332,0.01733,0.06955,0.02149,0.07515,231930
v2,class,Development,precision,0.00671,0.00244,0.00192,0.0115,0.0032,0.01285,11749
v2,class,Development,recall,0.09107,0.03133,0.02966,0.15249,0.04206,0.1688,11749
v2,class,Development,F1,0.0125,,,,0.00598,0.02344,11749
v2,class,Development,IoU,0.00629,0.00224,0.00189,0.01068,0.003,0.01186,11749
v2,class,Insect/Disease,precision,0.00908,0.0048,-0.00033,0.01849,0.00134,0.01951,49560
v2,class,Insect/Disease,recall,0.07958,0.04373,-0.00612,0.16528,0.01262,0.18799,49560
v2,class,Insect/Disease,F1,0.0163,,,,0.00245,0.03405,49560
v2,class,Insect/Disease,IoU,0.00822,0.0043,-0.00022,0.01665,0.00122,0.01732,49560
v2,class,Beaver,precision,0.00157,0.00053,0.00052,0.00262,0.00074,0.00277,8399
v2,class,Beaver,recall,0.25825,0.07508,0.11109,0.4054,0.12921,0.43621,8399
v2,class,Beaver,F1,0.00312,,,,0.00147,0.00548,8399
v2,class,Beaver,IoU,0.00156,0.00053,0.00052,0.0026,0.00074,0.00275,8399
v3,overall,,OA,0.80666,0.0144,0.77844,0.83489,0.77683,0.8336,20437331
v3,overall,,kappa,0.00933,,,,0.00291,0.01642,20437331
v3,overall,,macro_F1,0.1927,,,,0.18583,0.19987,20437331
v3,overall,,mean_IoU,0.16879,,,,0.16207,0.17551,20437331
v3,overall,,baseline_OA,0.98524,,,,0.98041,0.98954,20437331
v3,class,Stable,precision,0.98655,0.00239,0.98186,0.99124,0.98167,0.99079,20135693
v3,class,Stable,recall,0.81765,0.01437,0.78949,0.84581,0.78761,0.84402,20135693
v3,class,Stable,F1,0.89419,,,,0.87567,0.91024,20135693
v3,class,Stable,IoU,0.80864,0.01426,0.78068,0.83659,0.77884,0.83527,20135693
v3,class,Harvest,precision,0.04107,0.01416,0.01331,0.06882,0.01896,0.07627,231930
v3,class,Harvest,recall,0.06059,0.01522,0.03076,0.09043,0.03207,0.09272,231930
v3,class,Harvest,F1,0.04895,,,,0.02433,0.0752,231930
v3,class,Harvest,IoU,0.02509,0.00691,0.01154,0.03864,0.01232,0.03907,231930
v3,class,Development,precision,0.00255,0.00084,0.0009,0.00419,0.00098,0.00438,11749
v3,class,Development,recall,0.06171,0.02427,0.01414,0.10928,0.02125,0.12193,11749
v3,class,Development,F1,0.00489,,,,0.00189,0.00837,11749
v3,class,Development,IoU,0.00245,0.0008,0.00088,0.00403,0.00094,0.0042,11749
v3,class,Insect/Disease,precision,0.0073,0.00388,-0.0003,0.0149,0.00118,0.016,49560
v3,class,Insect/Disease,recall,0.10488,0.05552,-0.00395,0.21371,0.01946,0.24036,49560
v3,class,Insect/Disease,F1,0.01365,,,,0.00223,0.02933,49560
v3,class,Insect/Disease,IoU,0.00687,0.00362,-0.00022,0.01397,0.00112,0.01488,49560
v3,class,Beaver,precision,0.0009,0.00029,0.00032,0.00147,0.00042,0.00155,8399
v3,class,Beaver,recall,0.25729,0.06965,0.12077,0.39381,0.1335,0.40926,8399
v3,class,Beaver,F1,0.00179,,,,0.00084,0.00308,8399
v3,class,Beaver,IoU,0.00089,0.00029,0.00032,0.00147,0.00042,0.00154,8399
v4,overall,,OA,0.94128,0.00433,0.93279,0.94978,0.9323,0.94912,20437331
v4,overall,,kappa,0.06266,,,,0.03842,0.08974,20437331
v4,overall,,macro_F1,0.21682,,,,0.20858,0.22595,20437331
v4,overall,,mean_IoU,0.20035,,,,0.19574,0.20585,20437331
v4,overall,,baseline_OA,0.98524,,,,0.98041,0.98954,20437331
v4,class,Stable,precision,0.98842,0.00211,0.98429,0.99255,0.98404,0.99205,20135693
v4,class,Stable,recall,0.95429,0.0036,0.94724,0.96134,0.94702,0.96103,20135693
v4,class,Stable,F1,0.97105,,,,0.96643,0.97508,20135693
v4,class,Stable,IoU,0.94373,0.00421,0.93547,0.95199,0.93504,0.95137,20135693
v4,class,Harvest,precision,0.07137,0.02271,0.02686,0.11588,0.03394,0.12121,231930
v4,class,Harvest,recall,0.07131,0.02029,0.03155,0.11108,0.03617,0.11591,231930
v4,class,Harvest,F1,0.07134,,,,0.03592,0.11371,231930
v4,class,Harvest,IoU,0.03699,0.01078,0.01585,0.05813,0.01829,0.06028,231930
v4,class,Development,precision,0.00418,0.00142,0.00139,0.00696,0.00199,0.00744,11749
v4,class,Development,recall,0.12665,0.03573,0.05661,0.19669,0.06891,0.20876,11749
v4,class,Development,F1,0.00809,,,,0.00389,0.01423,11749
v4,class,Development,IoU,0.00406,0.00137,0.00138,0.00674,0.00195,0.00716,11749
v4,class,Insect/Disease,precision,0.01064,0.00398,0.00283,0.01845,0.00354,0.01896,49560
v4,class,Insect/Disease,recall,0.05176,0.01522,0.02193,0.08158,0.02104,0.08316,49560
v4,class,Insect/Disease,F1,0.01765,,,,0.00621,0.02924,49560
v4,class,Insect/Disease,IoU,0.0089,0.00307,0.00289,0.01492,0.00311,0.01484,49560
v4,class,Beaver,precision,0.00839,0.00327,0.00197,0.01481,0.00324,0.01553,8399
v4,class,Beaver,recall,0.16752,0.05712,0.05556,0.27948,0.07257,0.30424,8399
v4,class,Beaver,F1,0.01599,,,,0.00625,0.02933,8399
v4,class,Beaver,IoU,0.00806,0.00311,0.00196,0.01416,0.00313,0.01488,8399
v5,overall,,OA,0.76718,0.01473,0.7383,0.79606,0.73586,0.79451,20437331
v5,overall,,kappa,0.00704,,,,0.00164,0.01294,20437331
v5,overall,,macro_F1,0.18655,,,,0.17998,0.19317,20437331
v5,overall,,mean_IoU,0.16024,,,,0.1534,0.16654,20437331
v5,overall,,baseline_OA,0.98524,,,,0.98041,0.98954,20437331
v5,class,Stable,precision,0.98633,0.00247,0.98149,0.99118,0.98119,0.99073,20135693
v5,class,Stable,recall,0.77733,0.01467,0.74859,0.80608,0.74632,0.80474,20135693
v5,class,Stable,F1,0.86945,,,,0.84936,0.88658,20135693
v5,class,Stable,IoU,0.76905,0.01462,0.74039,0.7977,0.73816,0.79627,20135693
v5,class,Harvest,precision,0.02805,0.00822,0.01195,0.04416,0.01342,0.04487,231930
v5,class,Harvest,recall,0.08498,0.02158,0.04268,0.12729,0.04694,0.13139,231930
v5,class,Harvest,F1,0.04218,,,,0.02144,0.06397,231930
v5,class,Harvest,IoU,0.02154,0.00587,0.01004,0.03304,0.01084,0.03304,231930
v5,class,Development,precision,0.0027,0.00091,0.00092,0.00447,0.0011,0.00467,11749
v5,class,Development,recall,0.07039,0.02543,0.02055,0.12023,0.0274,0.13301,11749
v5,class,Development,F1,0.0052,,,,0.00214,0.00885,11749
v5,class,Development,IoU,0.0026,0.00087,0.00091,0.0043,0.00107,0.00444,11749
v5,class,Insect/Disease,precision,0.00781,0.00423,-0.00048,0.01609,0.00094,0.01734,49560
