grid,revA,revB,patch_id,pixels,area_ha
01442,mina,robert,1,1,0.01
01442,mina,robert,2,2,0.02
01442,mina,robert,3,10,0.1
01442,mina,robert,4,1,0.01
01442,mina,robert,5,4,0.04
01442,mina,robert,6,15,0.15
01442,mina,robert,7,1,0.01
01442,mina,robert,8,5,0.05
01442,mina,robert,9,1,0.01
01442,mina,robert,10,5,0.05
01442,mina,robert,11,1,0.01
01442,mina,robert,12,1,0.01
01442,mina,robert,13,1,0.01
01442,mina,robert,14,1,0.01
01442,mina,robert,15,7,0.07
01442,mina,robert,16,2,0.02
01442,mina,robert,17,1,0.01
01442,mina,robert,18,2,0.02
01442,mina,robert,19,1,0.01
01442,mina,robert,20,1,0.01
01442,mina,robert,21,13,0.13
01442,mina,robert,22,1,0.01
01442,mina,robert,23,2,0.02
01442,mina,robert,24,6,0.06
01442,mina,robert,25,1,0.01
01442,mina,robert,26,1,0.01
01442,mina,robert,27,2,0.02
01442,mina,robert,28,10,0.1
01442,mina,robert,29,4,0.04
01442,mina,robert,30,1,0.01
01442,mina,robert,31,2,0.02
01442,mina,robert,32,2,0.02
01442,mina,robert,33,11,0.11
01442,mina,robert,34,3,0.03
01442,mina,robert,35,14,0.14
01442,mina,robert,36,1,0.01
01442,mina,robert,37,9,0.09
01442,mina,robert,38,4,0.04
01442,mina,robert,39,3,0.03
01442,mina,robert,40,5,0.05
01442,mina,robert,41,1,0.01
01442,mina,robert,42,4,0.04
01442,mina,robert,43,3,0.03
01442,mina,robert,44,4,0.04
01442,mina,robert,45,1,0.01
01442,mina,robert,46,2,0.02
01442,mina,robert,47,1,0.01
01442,mina,robert,48,5,0.05
01442,mina,robert,49,11,0.11
01442,mina,robert,50,10,0.1
01442,mina,robert,51,1,0.01
01442,mina,robert,52,4,0.04
01442,mina,robert,53,2,0.02
01442,mina,robert,54,1,0.01
01442,mina,robert,55,4,0.04
01442,mina,robert,56,2,0.02
01442,mina,robert,57,2,0.02
01442,mina,robert,58,2,0.02
01442,mina,robert,59,2,0.02
01442,mina,robert,60,3,0.03
01442,mina,robert,61,2,0.02
01442,mina,robert,62,3,0.03
01442,mina,robert,63,1,0.01
01442,mina,robert,64,1,0.01
01442,mina,robert,65,1,0.01
01442,mina,robert,66,1,0.01
01442,mina,robert,67,2,0.02
01442,mina,robert,68,6,0.06
01442,mina,robert,69,4,0.04
01442,mina,robert,70,1,0.01
01442,mina,robert,71,4,0.04
01442,mina,robert,72,7,0.07
01442,mina,robert,73,1,0.01
01442,mina,robert,74,4,0.04
01442,mina,robert,75,5,0.05
01442,mina,robert,76,1,0.01
01442,mina,robert,77,1,0.01
01442,mina,robert,78,1,0.01
01442,mina,robert,79,1,0.01
01442,mina,robert,80,2,0.02
01442,mina,robert,81,1,0.01
01442,mina,robert,82,1,0.01
01442,mina,robert,83,3,0.03
01442,mina,robert,84,3,0.03
01442,mina,robert,85,1,0.01
01442,mina,robert,86,4,0.04
01442,mina,robert,87,7,0.07
01442,mina,robert,88,1,0.01
01442,mina,robert,89,3,0.03
01442,mina,robert,90,2,0.02
01442,mina,robert,91,1,0.01
01442,mina,robert,92,1,0.01
01442,mina,robert,93,10,0.1
01442,mina,robert,94,3,0.03
01442,mina,robert,95,1,0.01
01442,mina,robert,96,1,0.01
01442,mina,robert,97,3,0.03
01442,mina,robert,98,1,0.01
01442,mina,robert,99,6,0.06
01442,mina,robert,100,1,0.01
01442,mina,robert,101,2,0.02
01442,mina,robert,102,1,0.01
01442,mina,robert,103,2,0.02
01442,mina,robert,104,2,0.02
01442,mina,robert,105,1,0.01
01442,mina,robert,106,1,0.01
01442,mina,robert,107,1,0.01
01442,mina,robert,108,1,0.01
03693,bekka,mina,1,9,0.09
03693,bekka,mina,2,2,0.02
03693,bekka,mina,3,1,0.01
03693,bekka,mina,4,1,0.01
03693,bekka,mina,5,3,0.03
03693,bekka,mina,6,1,0.01
04363,bekka,mina,1,7,0.07
04363,bekka,mina,2,9,0.09
04363,bekka,mina,3,2,0.02
04363,bekka,mina,4,3,0.03
04363,bekka,mina,5,1,0.01
04363,bekka,mina,6,1,0.01
04363,bekka,mina,7,1,0.01
04363,bekka,mina,8,29,0.29
04363,bekka,mina,9,2,0.02
04363,bekka,mina,10,1,0.01
04363,bekka,mina,11,1,0.01
04363,bekka,mina,12,1,0.01
04363,bekka,mina,13,1,0.01
04363,bekka,mina,14,1,0.01
04363,bekka,mina,15,5,0.05
04363,bekka,mina,16,1,0.01
04363,bekka,mina,17,4,0.04
04363,bekka,mina,18,4,0.04
04363,bekka,mina,19,1,0.01
04363,bekka,mina,20,2,0.02
04363,bekka,mina,21,2,0.02
04363,bekka,mina,22,13,0.13
04363,bekka,mina,23,1,0.01
04363,bekka,mina,24,2,0.02
04363,bekka,mina,25,6,0.06
04363,bekka,mina,26,7,0.07
07373,mina,peter,1,2,0.02
07373,mina,peter,2,1,0.01
07373,mina,peter,3,1,0.01
07373,mina,peter,4,1,0.01
07373,mina,peter,5,4,0.04
07373,mina,peter,6,1,0.01
07373,mina,peter,7,3,0.03
07373,mina,peter,8,1,0.01
07373,mina,peter,9,1,0.01
07373,mina,peter,10,1,0.01
07373,mina,peter,11,3,0.03
07373,mina,peter,12,1,0.01
07373,mina,peter,13,1,0.01
07373,mina,peter,14,1,0.01
07373,mina,peter,15,1,0.01
07373,mina,peter,16,1,0.01
07373,mina,peter,17,1,0.01
07373,mina,peter,18,1,0.01
07373,mina,peter,19,1,0.01
07373,mina,peter,20,1,0.01
07373,mina,peter,21,3,0.03
07373,mina,peter,22,1,0.01
07373,mina,peter,23,2,0.02
07373,mina,peter,24,1,0.01
07630,mina,peter,1,1,0.01
07630,mina,peter,2,3,0.03
07630,mina,peter,3,2,0.02
07630,mina,peter,4,5,0.05
07630,mina,peter,5,21,0.21
07630,mina,peter,6,2,0.02
07630,mina,peter,7,1,0.01
07630,mina,peter,8,1,0.01
07630,mina,peter,9,2,0.02
07630,mina,peter,10,1,0.01
07630,mina,peter,11,1,0.01
07630,mina,peter,12,2,0.02
07630,mina,peter,13,1,0.01
07630,mina,peter,14,1,0.01
10333,bekka,mina,1,1,0.01
10333,bekka,mina,2,3,0.03
10333,bekka,mina,3,2,0.02
10333,bekka,mina,4,2,0.02
10333,bekka,mina,5,18,0.18
10333,bekka,mina,6,1,0.01
10333,bekka,mina,7,1,0.01
10333,bekka,mina,8,6,0.06
10333,bekka,mina,9,3,0.03
10333,bekka,mina,10,3,0.03
10333,bekka,mina,11,4,0.04
10333,bekka,mina,12,1,0.01
10333,bekka,mina,13,2,0.02
10333,bekka,mina,14,2,0.02
10333,bekka,mina,15,11,0.11
10333,bekka,mina,16,1,0.01
10333,bekka,mina,17,2,0.02
10333,bekka,mina,18,2,0.02
10333,bekka,mina,19,1,0.01
10333,bekka,mina,20,5,0.05
10333,bekka,mina,21,2,0.02
10333,bekka,mina,22,1,0.01
10333,bekka,mina,23,1,0.01
10333,bekka,mina,24,1,0.01
10333,bekka,mina,25,2,0.02
10333,bekka,mina,26,1,0.01
10333,bekka,mina,27,1,0.01
10333,bekka,mina,28,1,0.01
10333,bekka,mina,29,3,0.03
10333,bekka,mina,30,1,0.01
10333,bekka,mina,31,3,0.03
10333,bekka,mina,32,1,0.01
10333,bekka,mina,33,1,0.01
10333,bekka,mina,34,1,0.01
10333,bekka,mina,35,1,0.01
10333,bekka,mina,36,1,0.01
10333,bekka,mina,37,1,0.01
10333,bekka,mina,38,2,0.02
10333,bekka,mina,39,1,0.01
10333,bekka,mina,40,2,0.02
10333,bekka,mina,41,19,0.19
10333,bekka,mina,42,1,0.01
