grid,sample,target,revA,revB,A_class,B_class,class_pair,pixels,area_ha
01442,176,2018,mina,robert,Insect/Disease,Harvest,Insect/Disease->Harvest,337,3.37
03693,163,2020,bekka,mina,Beaver,Harvest,Beaver->Harvest,17,0.17
04363,101,2018,bekka,mina,Insect/Disease,Harvest,Insect/Disease->Harvest,108,1.08
07373,73,2020,mina,peter,Harvest,Insect/Disease,Harvest->Insect/Disease,26,0.26
07373,73,2020,mina,peter,Development,Harvest,Development->Harvest,7,0.07
07373,73,2020,mina,peter,Harvest,Development,Harvest->Development,1,0.01
07373,73,2020,mina,peter,Harvest,Beaver,Harvest->Beaver,1,0.01
07630,238,2020,mina,peter,Development,Harvest,Development->Harvest,44,0.44
10333,41,2018,bekka,mina,Insect/Disease,Beaver,Insect/Disease->Beaver,1548,15.48
10333,41,2018,bekka,mina,Insect/Disease,Harvest,Insect/Disease->Harvest,16,0.16
13691,43,2020,bekka,mina,Beaver,Harvest,Beaver->Harvest,23,0.23
13691,43,2020,bekka,mina,Insect/Disease,Harvest,Insect/Disease->Harvest,2,0.02
13691,43,2020,bekka,mina,Insect/Disease,Beaver,Insect/Disease->Beaver,1,0.01
14542,71,2018,bekka,mina,Development,Harvest,Development->Harvest,3,0.03
14873,89,2021,bekka,robert,Insect/Disease,Harvest,Insect/Disease->Harvest,15,0.15
14873,89,2021,bekka,robert,Development,Harvest,Development->Harvest,5,0.05
20941,281,2018,bekka,mina,Insect/Disease,Harvest,Insect/Disease->Harvest,102,1.02
21050,117,2019,bekka,robert,Insect/Disease,Harvest,Insect/Disease->Harvest,2,0.02
24360,72,2019,bekka,robert,Insect/Disease,Harvest,Insect/Disease->Harvest,132,1.32
24360,72,2019,bekka,robert,Beaver,Harvest,Beaver->Harvest,68,0.68
45833,222,2019,ash,bekka,Harvest,Insect/Disease,Harvest->Insect/Disease,65,0.65
46291,179,2021,bekka,peter,Insect/Disease,Harvest,Insect/Disease->Harvest,9,0.09
48800,162,2019,bekka,peter,Harvest,Development,Harvest->Development,2,0.02
48800,162,2019,bekka,peter,Insect/Disease,Harvest,Insect/Disease->Harvest,2,0.02
51183,224,2021,peter,robert,Insect/Disease,Development,Insect/Disease->Development,15,0.15
