grid,sample,target,revA,revB,A_class,B_class,class_pair,stable_class,change_class,pixels,area_ha
00122,300,2022,bekka,peter,Forest,Harvest,Forest->Harvest,Forest,Harvest,776,7.76
00122,300,2022,bekka,peter,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,599,5.99
00122,300,2022,bekka,peter,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,543,5.43
00122,300,2022,bekka,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,377,3.77
00122,300,2022,bekka,peter,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,81,0.81
00122,300,2022,bekka,peter,Other,Harvest,Other->Harvest,Other,Harvest,3,0.03
00122,300,2022,bekka,peter,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,2,0.02
00180,210,2022,bekka,peter,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,446,4.46
00180,210,2022,bekka,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,244,2.44
00180,210,2022,bekka,peter,Beaver,Forest,Beaver->Forest,Forest,Beaver,91,0.91
00180,210,2022,bekka,peter,Beaver,Urban,Beaver->Urban,Urban,Beaver,23,0.23
00180,210,2022,bekka,peter,Beaver,Water,Beaver->Water,Water,Beaver,20,0.2
00180,210,2022,bekka,peter,Beaver,Grass/Shrub,Beaver->Grass/Shrub,Grass/Shrub,Beaver,18,0.18
00180,210,2022,bekka,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,7,0.07
01082,60,2022,ash,bekka,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,1318,13.18
01082,60,2022,ash,bekka,Forest,Harvest,Forest->Harvest,Forest,Harvest,387,3.87
01082,60,2022,ash,bekka,Grass/Shrub,Development,Grass/Shrub->Development,Grass/Shrub,Development,3,0.03
01290,105,2022,ash,peter,Agriculture,Development,Agriculture->Development,Agriculture,Development,4,0.04
01442,176,2018,mina,robert,Development,Forest,Development->Forest,Forest,Development,2062,20.62
01442,176,2018,mina,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,682,6.82
01442,176,2018,mina,robert,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,331,3.31
01442,176,2018,mina,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,222,2.22
01442,176,2018,mina,robert,Development,Grass/Shrub,Development->Grass/Shrub,Grass/Shrub,Development,114,1.14
01442,176,2018,mina,robert,Development,Agriculture,Development->Agriculture,Agriculture,Development,91,0.91
01442,176,2018,mina,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,75,0.75
01442,176,2018,mina,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,46,0.46
01442,176,2018,mina,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,31,0.31
01442,176,2018,mina,robert,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,19,0.19
01442,176,2018,mina,robert,Insect/Disease,Agriculture,Insect/Disease->Agriculture,Agriculture,Insect/Disease,18,0.18
01442,176,2018,mina,robert,Water,Harvest,Water->Harvest,Water,Harvest,8,0.08
01442,176,2018,mina,robert,Development,Wetland,Development->Wetland,Wetland,Development,7,0.07
01442,176,2018,mina,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,5,0.05
01442,176,2018,mina,robert,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,2,0.02
01442,176,2018,mina,robert,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,2,0.02
01442,176,2018,mina,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,1,0.01
01442,176,2018,mina,robert,Urban,Harvest,Urban->Harvest,Urban,Harvest,1,0.01
01873,146,2018,bekka,mina,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,693,6.93
01873,146,2018,bekka,mina,Beaver,Agriculture,Beaver->Agriculture,Agriculture,Beaver,351,3.51
01873,146,2018,bekka,mina,Beaver,Water,Beaver->Water,Water,Beaver,72,0.72
01873,146,2018,bekka,mina,Beaver,Forest,Beaver->Forest,Forest,Beaver,26,0.26
01941,253,2020,bekka,mina,Development,Other,Development->Other,Other,Development,38,0.38
01941,253,2020,bekka,mina,Development,Agriculture,Development->Agriculture,Agriculture,Development,23,0.23
01993,26,2018,mina,robert,Development,Agriculture,Development->Agriculture,Agriculture,Development,128,1.28
01993,26,2018,mina,robert,Agriculture,Development,Agriculture->Development,Agriculture,Development,36,0.36
01993,26,2018,mina,robert,Development,Urban,Development->Urban,Urban,Development,14,0.14
01993,26,2018,mina,robert,Water,Development,Water->Development,Water,Development,5,0.05
01993,26,2018,mina,robert,Wetland,Development,Wetland->Development,Wetland,Development,1,0.01
01993,26,2018,mina,robert,Development,Wetland,Development->Wetland,Wetland,Development,1,0.01
02210,206,2018,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,767,7.67
02210,206,2018,bekka,mina,Development,Forest,Development->Forest,Forest,Development,311,3.11
02210,206,2018,bekka,mina,Development,Urban,Development->Urban,Urban,Development,264,2.64
02210,206,2018,bekka,mina,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,96,0.96
02210,206,2018,bekka,mina,Development,Wetland,Development->Wetland,Wetland,Development,3,0.03
03003,133,2020,bekka,mina,Beaver,Forest,Beaver->Forest,Forest,Beaver,231,2.31
03003,133,2020,bekka,mina,Beaver,Water,Beaver->Water,Water,Beaver,217,2.17
03003,133,2020,bekka,mina,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,89,0.89
03003,133,2020,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,69,0.69
03003,133,2020,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,64,0.64
03003,133,2020,bekka,mina,Beaver,Grass/Shrub,Beaver->Grass/Shrub,Grass/Shrub,Beaver,7,0.07
03003,133,2020,bekka,mina,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,4,0.04
03693,163,2020,bekka,mina,Beaver,Water,Beaver->Water,Water,Beaver,181,1.81
03693,163,2020,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,43,0.43
03693,163,2020,bekka,mina,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,39,0.39
03693,163,2020,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,32,0.32
03693,163,2020,bekka,mina,Beaver,Grass/Shrub,Beaver->Grass/Shrub,Grass/Shrub,Beaver,10,0.1
03693,163,2020,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,8,0.08
03693,163,2020,bekka,mina,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,7,0.07
03693,163,2020,bekka,mina,Beaver,Forest,Beaver->Forest,Forest,Beaver,6,0.06
03693,163,2020,bekka,mina,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,5,0.05
03693,163,2020,bekka,mina,Harvest,Water,Harvest->Water,Water,Harvest,1,0.01
03693,163,2020,bekka,mina,Wetland,Beaver,Wetland->Beaver,Wetland,Beaver,1,0.01
04363,101,2018,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,903,9.03
04363,101,2018,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,522,5.22
04363,101,2018,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,164,1.64
04363,101,2018,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,110,1.1
04363,101,2018,bekka,mina,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,96,0.96
04363,101,2018,bekka,mina,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,92,0.92
04363,101,2018,bekka,mina,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,63,0.63
04363,101,2018,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,59,0.59
04363,101,2018,bekka,mina,Beaver,Water,Beaver->Water,Water,Beaver,24,0.24
04363,101,2018,bekka,mina,Beaver,Forest,Beaver->Forest,Forest,Beaver,19,0.19
04363,101,2018,bekka,mina,Urban,Harvest,Urban->Harvest,Urban,Harvest,9,0.09
04363,101,2018,bekka,mina,Harvest,Urban,Harvest->Urban,Urban,Harvest,3,0.03
04363,101,2018,bekka,mina,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,2,0.02
04363,101,2018,bekka,mina,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,1,0.01
04803,285,2022,ash,bekka,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,1791,17.91
04803,285,2022,ash,bekka,Forest,Beaver,Forest->Beaver,Forest,Beaver,735,7.35
04803,285,2022,ash,bekka,Water,Beaver,Water->Beaver,Water,Beaver,91,0.91
