grid,sample,target,revA,revB,overall_agreement,kappa,macro_f1,n_valid
10333,41,2018,bekka,mina,0.4761,0.294,0.3606,113906
6063,208,2020,bekka,mina,0.5015,0.3607,0.4732,113569
42180,252,2019,ash,bekka,0.5351,0.3295,0.3368,113569
6143,58,2020,bekka,mina,0.554,0.4341,0.345,113569
1082,60,2022,ash,bekka,0.5585,0.4204,0.3498,113569
4363,101,2018,bekka,mina,0.5621,0.1812,0.3808,113569
7023,191,2018,ash,mina,0.563,0.4506,0.431,113232
11950,116,2018,mina,peter,0.568,0.4342,0.399,113569
4803,285,2022,ash,bekka,0.5779,0.4712,0.3685,113569
1873,146,2018,bekka,mina,0.6031,0.354,0.4097,113569
7630,238,2020,mina,peter,0.6041,0.4398,0.4203,113906
3693,163,2020,bekka,mina,0.6276,0.2698,0.6558,113906
11702,296,2018,bekka,mina,0.6279,0.368,0.2961,113569
7870,131,2018,bekka,mina,0.6415,0.5443,0.5528,113569
1941,253,2020,bekka,mina,0.6745,0.4847,0.3516,113569
43442,12,2019,bekka,peter,0.6806,0.495,0.4684,113569
8321,120,2022,bekka,robert,0.6967,0.5351,0.3715,113569
