class_a,class_b,subset,n_patches,area_median_ha,area_q25_ha,area_q75_ha,shape_index_median,width_px_median,frac_area_under_0p1ha,frac_area_over_0p1ha
Forest,Wetland,all,25122,0.01,0.01,0.03,1.128,0.5,0.1932,0.8068
Wetland,Forest,all,23788,0.01,0.01,0.03,1.128,0.5,0.3414,0.6586
Grass/Shrub,Forest,all,18919,0.02,0.01,0.04,1.197,0.5,0.2709,0.7291
Forest,Grass/Shrub,all,18138,0.01,0.01,0.03,1.128,0.5,0.2938,0.7062
Grass/Shrub,Agriculture,all,15322,0.02,0.01,0.05,1.197,0.667,0.1924,0.8076
Wetland,Grass/Shrub,all,14566,0.02,0.01,0.04,1.197,0.6,0.2505,0.7495
Wetland,Agriculture,all,12887,0.02,0.01,0.04,1.197,0.667,0.2499,0.7501
Agriculture,Grass/Shrub,all,12510,0.02,0.01,0.04,1.197,0.667,0.1805,0.8195
Grass/Shrub,Wetland,all,12038,0.02,0.01,0.04,1.197,0.5,0.1705,0.8295
Forest,Agriculture,all,10837,0.01,0.01,0.03,1.128,0.5,0.4454,0.5546
Urban,Agriculture,all,10211,0.02,0.01,0.04,1.197,0.583,0.3278,0.6722
Agriculture,Forest,all,7908,0.01,0.01,0.03,1.128,0.5,0.4854,0.5146
Agriculture,Wetland,all,6045,0.02,0.01,0.03,1.128,0.5,0.4645,0.5355
Insect/Disease,Forest,all,5406,0.02,0.01,0.04,1.197,0.5,0.3342,0.6658
Water,Forest,all,4871,0.01,0.01,0.03,1.128,0.5,0.3805,0.6195
Agriculture,Urban,all,4444,0.02,0.01,0.03,1.197,0.5,0.509,0.491
Urban,Wetland,all,4019,0.01,0.01,0.03,1.128,0.5,0.4519,0.5481
Wetland,Water,all,3160,0.02,0.01,0.05,1.197,0.6,0.2044,0.7956
Water,Wetland,all,3114,0.01,0.01,0.03,1.128,0.5,0.1721,0.8279
Urban,Grass/Shrub,all,3072,0.01,0.01,0.02,1.128,0.5,0.5611,0.4389
Harvest,Forest,all,2953,0.02,0.01,0.04,1.197,0.5,0.3751,0.6249
Wetland,Urban,all,2944,0.01,0.01,0.02,1.128,0.5,0.7607,0.2393
Grass/Shrub,Urban,all,2899,0.01,0.01,0.03,1.128,0.5,0.6504,0.3496
Forest,Water,all,2611,0.01,0.01,0.02,1.128,0.5,0.8325,0.1675
Forest,Insect/Disease,all,2143,0.01,0.01,0.03,1.128,0.5,0.5803,0.4197
Urban,Forest,all,1857,0.01,0.01,0.02,1.128,0.5,0.8011,0.1989
Harvest,Wetland,all,1047,0.01,0.01,0.03,1.128,0.5,0.4743,0.5257
Harvest,Grass/Shrub,all,1016,0.01,0.01,0.03,1.128,0.5,0.2765,0.7235
Forest,Harvest,all,992,0.01,0.01,0.03,1.128,0.5,0.5115,0.4885
Forest,Urban,all,913,0.01,0.01,0.02,1.128,0.5,0.5034,0.4966
Wetland,Harvest,all,913,0.01,0.01,0.03,1.128,0.5,0.6182,0.3818
Insect/Disease,Grass/Shrub,all,791,0.01,0.01,0.02,1.128,0.5,0.5839,0.4161
Grass/Shrub,Harvest,all,789,0.02,0.01,0.03,1.128,0.5,0.3017,0.6983
Water,Urban,all,698,0.01,0.01,0.02,1.128,0.5,0.8493,0.1507
Forest,Beaver,all,606,0.01,0.01,0.02,1.128,0.5,0.6231,0.3769
Urban,Water,all,570,0.01,0.01,0.02,1.128,0.5,0.823,0.177
Water,Grass/Shrub,all,546,0.01,0.01,0.02,1.128,0.5,0.4073,0.5927
Urban,Other,all,505,0.02,0.01,0.04,1.197,0.667,0.2021,0.7979
Water,Insect/Disease,all,474,0.01,0.01,0.03,1.128,0.5,0.4707,0.5293
Harvest,Agriculture,all,459,0.01,0.01,0.03,1.128,0.5,0.4054,0.5946
Development,Agriculture,all,436,0.01,0.01,0.03,1.128,0.5,0.3949,0.6051
Agriculture,Water,all,416,0.01,0.01,0.02,1.128,0.5,0.738,0.262
Grass/Shrub,Beaver,all,410,0.01,0.01,0.02,1.128,0.5,0.8284,0.1716
Insect/Disease,Wetland,all,408,0.01,0.01,0.02,1.128,0.5,0.5805,0.4195
Other,Urban,all,389,0.02,0.01,0.04,1.197,0.5,0.1456,0.8544
Insect/Disease,Beaver,all,383,0.01,0.01,0.02,1.128,0.5,0.419,0.581
Development,Forest,all,380,0.01,0.01,0.04,1.128,0.5,0.2993,0.7007
Agriculture,Harvest,all,361,0.01,0.01,0.02,1.128,0.5,0.2527,0.7473
Development,Urban,all,357,0.01,0.01,0.02,1.128,0.5,0.5414,0.4586
Other,Grass/Shrub,all,349,0.02,0.01,0.06,1.197,0.667,0.4373,0.5627
Beaver,Forest,all,308,0.01,0.01,0.02,1.128,0.5,0.6554,0.3446
Insect/Disease,Harvest,all,257,0.02,0.01,0.03,1.128,0.5,0.7531,0.2469
Beaver,Wetland,all,256,0.01,0.01,0.03,1.128,0.5,0.3242,0.6758
Grass/Shrub,Water,all,253,0.01,0.01,0.02,1.128,0.5,0.8436,0.1564
Agriculture,Insect/Disease,all,247,0.01,0.01,0.03,1.128,0.5,0.6109,0.3891
Other,Wetland,all,192,0.01,0.01,0.03,1.128,0.5,0.2565,0.7435
Water,Agriculture,all,186,0.01,0.01,0.02,1.128,0.5,0.6059,0.3941
Harvest,Urban,all,168,0.01,0.01,0.02,1.128,0.5,0.7698,0.2302
Development,Grass/Shrub,all,166,0.01,0.01,0.02,1.128,0.5,0.8112,0.1888
Water,Beaver,all,150,0.01,0.01,0.03,1.128,0.5,0.5192,0.4808
Grass/Shrub,Other,all,148,0.02,0.01,0.0525,1.163,0.5,0.0703,0.9297
Grass/Shrub,Insect/Disease,all,147,0.01,0.01,0.02,1.128,0.5,0.5699,0.4301
Beaver,Water,all,145,0.01,0.01,0.03,1.128,0.5,0.4697,0.5303
Wetland,Other,all,122,0.01,0.01,0.02,1.128,0.5,0.171,0.829
Insect/Disease,Water,all,120,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Wetland,Insect/Disease,all,103,0.01,0.01,0.02,1.128,0.5,0.9143,0.0857
Beaver,Grass/Shrub,all,100,0.02,0.01,0.03,1.197,0.5,0.6332,0.3668
Unknown,Wetland,all,99,0.02,0.01,0.055,1.197,0.6,0.1683,0.8317
Urban,Development,all,77,0.02,0.01,0.04,1.128,0.667,0.1548,0.8452
Agriculture,Beaver,all,76,0.01,0.01,0.03,1.128,0.5,0.9294,0.0706
Urban,Harvest,all,75,0.01,0.01,0.02,1.128,0.5,0.6993,0.3007
Harvest,Insect/Disease,all,67,0.01,0.01,0.02,1.128,0.5,1.0,0.0
Agriculture,Unknown,all,64,0.01,0.01,0.02,1.128,0.5,0.3679,0.6321
Grass/Shrub,Unknown,all,63,0.01,0.01,0.02,1.128,0.5,0.6604,0.3396
Other,Agriculture,all,62,0.01,0.01,0.0375,1.128,0.5,0.5942,0.4058
Agriculture,Development,all,53,0.01,0.01,0.04,1.128,0.5,0.4009,0.5991
Insect/Disease,Urban,all,51,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Agriculture,Other,all,49,0.01,0.01,0.02,1.128,0.5,0.396,0.604
Beaver,Agriculture,all,46,0.02,0.01,0.04,1.197,0.5,0.2308,0.7692
Insect/Disease,Agriculture,all,44,0.01,0.01,0.01,1.128,0.5,1.0,0.0
