pair,size_bin,n_patches,total_area_ha,med_shape,aw_med_shape,med_width,aw_med_width,med_extent,aw_med_extent
Forest -> Wetland,all,25308,2519.39,1.128,4.754,0.5,2.209,1.0,0.422
Forest -> Wetland,lt_0.1ha,23154,488.8,1.128,1.303,0.5,0.667,1.0,0.875
Forest -> Wetland,ge_0.1ha,2154,2030.59,2.262,6.144,1.154,2.639,0.417,0.375
Wetland -> Forest,all,25497,1489.61,1.128,2.488,0.5,1.216,1.0,0.408
Wetland -> Forest,lt_0.1ha,23319,492.76,1.128,1.303,0.5,0.667,1.0,0.889
Wetland -> Forest,ge_0.1ha,2178,996.85,2.262,3.558,1.15,1.544,0.417,0.32
Agriculture -> Grass/Shrub,all,12546,1423.22,1.197,3.159,0.667,1.874,1.0,0.418
Agriculture -> Grass/Shrub,lt_0.1ha,10887,255.39,1.128,1.303,0.5,0.714,1.0,0.833
Agriculture -> Grass/Shrub,ge_0.1ha,1659,1167.83,2.211,3.819,1.222,2.126,0.44,0.375
Grass/Shrub -> Agriculture,all,15898,1886.23,1.197,3.059,0.667,1.926,1.0,0.415
Grass/Shrub -> Agriculture,lt_0.1ha,13605,327.86,1.197,1.303,0.5,0.75,1.0,0.833
Grass/Shrub -> Agriculture,ge_0.1ha,2293,1558.37,2.191,3.518,1.25,2.26,0.444,0.382
Grass/Shrub -> Forest,all,19152,1399.17,1.197,2.835,0.5,1.375,1.0,0.387
Grass/Shrub -> Forest,lt_0.1ha,17177,381.28,1.128,1.303,0.5,0.667,1.0,0.833
Grass/Shrub -> Forest,ge_0.1ha,1975,1017.89,2.262,3.654,1.182,1.705,0.417,0.327
Forest -> Grass/Shrub,all,18274,1224.8,1.128,3.141,0.5,1.5,1.0,0.469
Forest -> Grass/Shrub,lt_0.1ha,16976,355.61,1.128,1.303,0.5,0.667,1.0,1.0
Forest -> Grass/Shrub,ge_0.1ha,1298,869.19,2.261,5.138,1.137,2.412,0.418,0.417
Grass/Shrub -> Wetland,all,12044,1401.59,1.197,3.658,0.5,2.556,1.0,0.367
Grass/Shrub -> Wetland,lt_0.1ha,10762,239.07,1.128,1.303,0.5,0.667,1.0,0.875
Grass/Shrub -> Wetland,ge_0.1ha,1282,1162.52,2.165,4.728,1.25,3.02,0.438,0.36
Wetland -> Grass/Shrub,all,14596,1186.93,1.197,2.778,0.6,1.577,1.0,0.429
Wetland -> Grass/Shrub,lt_0.1ha,13030,297.83,1.128,1.303,0.5,0.692,1.0,0.833
Wetland -> Grass/Shrub,ge_0.1ha,1566,889.1,2.211,3.501,1.188,2.084,0.429,0.367
Development -> Urban,all,357,12.32,1.128,1.701,0.5,0.857,1.0,0.5
Development -> Urban,lt_0.1ha,342,6.67,1.128,1.262,0.5,0.667,1.0,1.0
Development -> Urban,ge_0.1ha,15,5.65,2.141,4.964,1.072,1.409,0.5,0.223
Urban -> Development,all,77,8.46,1.128,1.597,0.667,3.435,1.0,0.652
Urban -> Development,lt_0.1ha,66,1.31,1.128,1.197,0.5,0.667,1.0,1.0
Urban -> Development,ge_0.1ha,11,7.15,1.596,1.871,2.067,4.121,0.652,0.652
Beaver <-> any,all,2557,84.73,1.128,1.683,0.5,0.875,1.0,0.518
Beaver <-> any,lt_0.1ha,2422,45.01,1.128,1.262,0.5,0.667,1.0,1.0
Beaver <-> any,ge_0.1ha,135,39.72,2.041,2.534,1.143,1.644,0.454,0.4
ALL disagreement,all,255985,18423.49,1.128,2.767,0.5,1.486,1.0,0.425
ALL disagreement,lt_0.1ha,232804,5028.51,1.128,1.303,0.5,0.667,1.0,1.0
ALL disagreement,ge_0.1ha,23181,13394.98,2.225,3.699,1.167,2.0,0.429,0.365
