,Urban,Agriculture,Grass/Shrub,Forest,Water,Wetland,Unknown,Other,Harvest,Development,Fire,Insect/Disease,Beaver
Urban,117512,67299,10293,4195,1339,17117,4853,15,186,846,0,45,5
Agriculture,17673,1130595,142322,30186,986,26136,202,299,2541,232,0,753,170
Grass/Shrub,8856,188623,182430,139917,563,140159,4027,159,5271,28,0,479,880
Forest,3255,49650,122480,3803362,5880,251939,10,225,5621,1,0,7002,1722
Water,1480,440,2178,24901,604573,34209,28,33,13,28,0,1863,495
Wetland,6821,107431,118693,148961,31197,405478,1123,61,2924,18,0,175,95
Unknown,5488,207,1809,67,119,1345,8707,697,185,20,0,0,0
Other,308,4,846,46,37,1155,672,0,0,0,0,0,0
Harvest,440,2210,6572,18516,27,4502,216,73,74430,3,0,91,1
Development,1232,2264,392,2426,14,11,113,446,59,1586,0,0,0
Fire,0,0,0,0,0,0,0,0,0,0,0,0,0
Insect/Disease,59,70,2247,32628,162,1118,0,0,725,15,0,7276,1549
Beaver,23,351,319,831,528,1396,0,0,108,0,0,0,355
