code,cls,n_pairs,support_px,f1,f1_lo,f1_hi,iou,iou_lo,iou_hi,reliability
4,Water,68,707099,0.919,0.857,0.955,0.85,0.75,0.914,High
3,Forest,67,4462932,0.898,0.878,0.914,0.815,0.782,0.842,High
1,Agriculture,47,1668792,0.776,0.721,0.819,0.634,0.564,0.694,High
20,Harvest,34,97461,0.696,0.596,0.763,0.533,0.424,0.617,Moderate
0,Urban,69,263149,0.604,0.525,0.675,0.433,0.356,0.509,Moderate
5,Wetland,59,1267358,0.467,0.373,0.55,0.305,0.229,0.38,Low
13,Other,16,29888,0.451,0.189,0.597,0.291,0.104,0.426,Low
2,Grass/Shrub,66,1050926,0.296,0.227,0.364,0.173,0.128,0.222,Low
30,Development,26,9606,0.283,0.024,0.464,0.165,0.012,0.302,Low
50,Insect/Disease,18,56082,0.23,0.005,0.487,0.13,0.003,0.322,Low
62,Beaver,14,8816,0.077,0.0,0.215,0.04,0.0,0.12,Low
10,Unknown,12,4874,0.0,0.0,0.0,0.0,0.0,0.0,Low
