grid,sample,target,revA,revB,pair,n_valid,overall_agreement,macro_f1,mean_iou,kappa
00122,300,2022,bekka,peter,bekka-peter,113569,0.7574,0.4149,0.3267,0.616
00180,210,2022,bekka,peter,bekka-peter,113569,0.9406,0.4125,0.3418,0.6831
00422,11,2018,ash,mina,ash-mina,113569,0.7932,0.4736,0.3994,0.6744
01082,60,2022,ash,bekka,ash-bekka,113569,0.5585,0.3498,0.2595,0.4204
01290,105,2022,ash,peter,ash-peter,113569,0.7566,0.5075,0.4217,0.5722
01442,176,2018,mina,robert,mina-robert,113569,0.7459,0.3519,0.2749,0.4799
01873,146,2018,bekka,mina,bekka-mina,113569,0.6031,0.4097,0.2978,0.354
01941,253,2020,bekka,mina,bekka-mina,113569,0.6745,0.3516,0.2701,0.4847
01993,26,2018,mina,robert,mina-robert,113569,0.767,0.4293,0.3462,0.6403
02210,206,2018,bekka,mina,bekka-mina,113569,0.8774,0.6208,0.503,0.7193
02770,161,2018,bekka,mina,bekka-mina,113569,0.842,0.6694,0.5625,0.6166
03003,133,2020,bekka,mina,bekka-mina,113569,0.8511,0.5685,0.4792,0.5082
03693,163,2020,bekka,mina,bekka-mina,113906,0.6276,0.6558,0.5226,0.2698
04363,101,2018,bekka,mina,bekka-mina,113569,0.5621,0.3808,0.2956,0.1812
04803,285,2022,ash,bekka,ash-bekka,113569,0.5779,0.3685,0.2698,0.4712
06063,208,2020,bekka,mina,bekka-mina,113569,0.5015,0.4732,0.348,0.3607
06143,58,2020,bekka,mina,bekka-mina,113569,0.554,0.345,0.2458,0.4341
06600,236,2018,ash,mina,ash-mina,113569,0.7713,0.5033,0.4101,0.591
07023,191,2018,ash,mina,ash-mina,113232,0.563,0.431,0.3369,0.4506
07373,73,2020,mina,peter,mina-peter,113569,0.7897,0.4297,0.3434,0.5947
07630,238,2020,mina,peter,mina-peter,113906,0.6041,0.4203,0.3222,0.4398
07690,148,2020,ash,mina,ash-mina,113569,0.7729,0.5283,0.4349,0.6989
07870,131,2018,bekka,mina,bekka-mina,113569,0.6415,0.5528,0.4445,0.5443
08200,268,2020,ash,mina,ash-mina,113569,0.7132,0.3828,0.3141,0.6011
08321,120,2022,bekka,robert,bekka-robert,113569,0.6967,0.3715,0.2832,0.5351
09520,103,2020,bekka,mina,bekka-mina,113569,0.7471,0.3519,0.2708,0.5547
10333,41,2018,bekka,mina,bekka-mina,113906,0.4761,0.3606,0.2749,0.294
11160,251,2018,bekka,mina,bekka-mina,113569,0.741,0.461,0.3496,0.629
11510,221,2018,mina,robert,mina-robert,113906,0.9025,0.6619,0.6179,0.8303
11702,296,2018,bekka,mina,bekka-mina,113569,0.6279,0.2961,0.2256,0.368
11950,116,2018,mina,peter,mina-peter,113569,0.568,0.399,0.3188,0.4342
12522,86,2018,bekka,mina,bekka-mina,113569,0.787,0.4324,0.3271,0.5187
12763,118,2020,ash,mina,ash-mina,113232,0.8362,0.4439,0.3879,0.7537
12990,266,2018,mina,peter,mina-peter,113569,0.8852,0.5319,0.4167,0.6338
13163,30,2022,peter,robert,peter-robert,113569,0.8999,0.5225,0.4118,0.7096
13541,283,2020,bekka,mina,bekka-mina,113569,0.791,0.5196,0.4401,0.7329
13691,43,2020,bekka,mina,bekka-mina,113569,0.9278,0.4721,0.4251,0.8431
13732,28,2020,ash,mina,ash-mina,113569,0.7934,0.5,0.4047,0.5113
13843,88,2020,mina,peter,mina-peter,113569,0.774,0.3737,0.2761,0.481
13870,150,2022,bekka,robert,bekka-robert,113906,0.8836,0.546,0.4618,0.7511
13921,195,2022,bekka,peter,bekka-peter,113569,0.815,0.6953,0.5854,0.7045
14542,71,2018,bekka,mina,bekka-mina,113906,0.72,0.6003,0.4917,0.5955
14873,89,2021,bekka,robert,bekka-robert,113569,0.8394,0.3359,0.2729,0.7016
15713,270,2022,bekka,robert,bekka-robert,113569,0.8646,0.6056,0.5408,0.6661
17012,223,2020,bekka,mina,bekka-mina,113906,0.8519,0.4597,0.3886,0.5686
17111,13,2020,mina,robert,mina-robert,113569,0.8025,0.7002,0.6354,0.5125
17331,209,2021,ash,bekka,ash-bekka,113569,0.8373,0.3797,0.3323,0.7461
17943,193,2020,mina,robert,mina-robert,113569,1.0,1.0,1.0,1.0
19683,298,2020,bekka,mina,bekka-mina,113569,0.8995,0.7053,0.6204,0.713
20941,281,2018,bekka,mina,bekka-mina,113569,0.7859,0.5714,0.489,0.4824
21050,117,2019,bekka,robert,bekka-robert,113569,0.7368,0.4821,0.3783,0.545
24360,72,2019,bekka,robert,bekka-robert,113232,0.8853,0.4307,0.3551,0.8005
