reviewer,cls,code,claim_self_ha,claim_partner_ha,log2_index,ci_lo,ci_hi,significant,n_pairs
ash,Urban,0,297.6,129.3,1.202,-0.115,2.538,False,18
ash,Agriculture,1,672.2,487.1,0.465,-1.024,2.418,False,18
ash,Grass/Shrub,2,1356.5,1233.2,0.138,-1.039,1.354,False,18
ash,Forest,3,1234.1,926.6,0.413,-0.823,1.67,False,18
ash,Water,4,454.2,67.3,2.755,0.989,4.858,True,18
ash,Wetland,5,737.8,1824.0,-1.306,-2.683,-0.249,True,18
ash,Unknown,10,20.2,1.1,4.15,2.992,11.261,True,18
ash,Other,13,0.3,18.2,-6.076,-12.415,6.304,False,18
ash,Harvest,20,38.9,68.2,-0.809,-2.241,4.313,False,18
ash,Development,30,19.2,2.4,2.992,-6.883,4.36,False,18
ash,Insect/Disease,50,0.0,55.7,-12.443,-13.66,0.0,False,18
ash,Beaver,62,0.0,18.1,-10.826,-12.171,0.0,False,18
bekka,Urban,0,828.2,275.5,1.588,0.699,2.463,True,50
bekka,Agriculture,1,804.6,3858.6,-2.262,-3.108,-1.567,True,50
bekka,Grass/Shrub,2,3281.3,2710.7,0.276,-0.532,1.171,False,50
bekka,Forest,3,3384.7,2866.1,0.24,-0.602,1.011,False,50
bekka,Water,4,59.3,661.1,-3.478,-4.972,-2.265,True,50
bekka,Wetland,5,4003.7,2593.4,0.626,-0.28,1.568,False,50
bekka,Unknown,10,11.6,16.6,-0.517,-6.76,4.206,False,50
bekka,Other,13,44.8,84.2,-0.91,-3.713,1.919,False,50
bekka,Harvest,20,326.5,109.6,1.575,0.754,2.622,True,50
bekka,Development,30,17.2,8.5,1.015,-2.077,6.956,False,50
bekka,Insect/Disease,50,401.9,4.5,6.468,5.035,14.863,True,50
bekka,Beaver,62,53.0,28.1,0.915,-1.37,11.197,False,50
mina,Urban,0,130.8,760.2,-2.538,-3.648,-1.544,True,40
mina,Agriculture,1,3216.6,819.6,1.973,1.094,3.075,True,40
mina,Grass/Shrub,2,2539.8,2773.2,-0.127,-0.955,0.724,False,40
mina,Forest,3,1755.0,3436.4,-0.969,-1.823,-0.116,True,40
mina,Water,4,460.7,136.5,1.754,0.447,3.745,True,40
mina,Wetland,5,3111.6,3118.1,-0.003,-0.907,0.897,False,40
mina,Unknown,10,0.0,22.7,-11.146,-12.181,-8.676,True,40
mina,Other,13,131.9,40.7,1.697,-0.911,5.882,False,40
mina,Harvest,20,58.6,103.2,-0.817,-2.197,0.647,False,40
mina,Development,30,35.6,34.8,0.034,-3.268,3.135,False,40
mina,Insect/Disease,50,12.1,204.9,-4.081,-14.136,-0.583,True,40
mina,Beaver,62,28.4,31.0,-0.123,-7.866,2.532,False,40
peter,Urban,0,125.5,266.3,-1.085,-2.416,0.15,False,19
peter,Agriculture,1,1063.0,927.3,0.197,-1.503,2.673,False,19
peter,Grass/Shrub,2,1546.9,1163.1,0.411,-0.833,1.711,False,19
peter,Forest,3,979.8,738.1,0.409,-0.66,1.394,False,19
peter,Water,4,52.2,65.8,-0.333,-2.238,1.738,False,19
peter,Wetland,5,469.5,840.7,-0.84,-1.876,0.603,False,19
peter,Unknown,10,13.3,8.4,0.663,-9.714,11.358,False,19
peter,Other,13,3.2,67.3,-4.403,-6.532,-0.824,True,19
peter,Harvest,20,21.8,151.5,-2.795,-5.911,-0.59,True,19
peter,Development,30,8.7,9.8,-0.161,-6.257,4.566,False,19
peter,Insect/Disease,50,40.0,82.8,-1.051,-12.148,10.095,False,19
peter,Beaver,62,3.3,6.3,-0.937,-9.226,8.2,False,19
robert,Urban,0,136.2,87.1,0.646,-0.8,2.206,False,17
robert,Agriculture,1,644.0,308.0,1.064,-0.47,2.412,False,17
robert,Grass/Shrub,2,246.7,1091.0,-2.145,-3.263,-1.181,True,17
robert,Forest,3,1150.9,537.5,1.099,-0.194,2.514,False,17
robert,Water,4,38.8,134.5,-1.795,-3.483,0.505,False,17
robert,Wetland,5,643.2,589.7,0.125,-1.685,1.555,False,17
robert,Unknown,10,5.7,2.0,1.482,-7.665,10.201,False,17
robert,Other,13,31.7,1.5,4.392,1.061,12.15,True,17
robert,Harvest,20,57.0,70.3,-0.304,-1.006,1.006,False,17
robert,Development,30,0.8,26.0,-5.062,-10.468,-0.75,True,17
robert,Insect/Disease,50,35.8,141.9,-1.987,-12.535,-0.156,True,17
robert,Beaver,62,0.0,1.2,-6.954,-8.326,0.0,False,17
