run,version,overall_accuracy,macro_f1,mean_iou,kappa
0,v2,0.6582,0.3813,0.2997,0.5327
0,v3,0.608,0.3751,0.293,0.4864
0,v4,0.5073,0.2447,0.1642,0.3203
0,v5,0.5662,0.3639,0.2817,0.4449
0,v6,0.1866,0.104,0.0584,0.0597
1,v2,0.6585,0.3808,0.2994,0.533
1,v3,0.6074,0.3737,0.2921,0.4855
1,v4,0.5084,0.245,0.1645,0.3217
1,v5,0.5653,0.3622,0.2805,0.4437
1,v6,0.1865,0.1038,0.0583,0.0594
2,v2,0.6563,0.3783,0.2973,0.5291
2,v3,0.6059,0.3717,0.2901,0.4826
2,v4,0.508,0.2422,0.1627,0.3198
2,v5,0.564,0.3606,0.2789,0.4412
2,v6,0.1866,0.1033,0.058,0.0593
3,v2,0.6558,0.3788,0.2975,0.5295
3,v3,0.6048,0.3719,0.2903,0.4822
3,v4,0.5058,0.243,0.1629,0.3181
3,v5,0.5634,0.3608,0.2791,0.4413
3,v6,0.1861,0.1037,0.0582,0.059
4,v2,0.6573,0.3776,0.2968,0.5313
4,v3,0.6061,0.3704,0.2893,0.4836
4,v4,0.5074,0.2427,0.1629,0.3202
4,v5,0.5647,0.3592,0.278,0.4426
4,v6,0.1863,0.1032,0.058,0.0592
5,v2,0.6583,0.3789,0.2983,0.5329
5,v3,0.6077,0.3722,0.2912,0.486
5,v4,0.5082,0.2436,0.1637,0.3218
5,v5,0.5661,0.3612,0.28,0.4447
5,v6,0.1865,0.1035,0.0582,0.0596
6,v2,0.6582,0.3812,0.2995,0.5325
6,v3,0.6072,0.3738,0.292,0.4851
6,v4,0.508,0.2449,0.1643,0.321
6,v5,0.5647,0.3619,0.2801,0.4427
6,v6,0.1859,0.1034,0.0581,0.0587
7,v2,0.6572,0.3784,0.2972,0.5307
7,v3,0.6062,0.3715,0.29,0.4835
7,v4,0.5076,0.2434,0.1633,0.3197
7,v5,0.5642,0.36,0.2784,0.4419
7,v6,0.1865,0.1037,0.0582,0.0592
8,v2,0.6604,0.3815,0.3003,0.5347
8,v3,0.6093,0.3747,0.2931,0.4873
8,v4,0.5095,0.2455,0.165,0.3215
8,v5,0.5671,0.3631,0.2815,0.4453
8,v6,0.1866,0.1039,0.0584,0.0592
9,v2,0.6567,0.378,0.2969,0.5291
9,v3,0.6063,0.3718,0.2901,0.4829
9,v4,0.5065,0.2409,0.1617,0.3166
9,v5,0.5645,0.3606,0.2789,0.4415
9,v6,0.1865,0.1033,0.0581,0.059
10,v2,0.6573,0.3792,0.2978,0.5302
10,v3,0.6064,0.3729,0.291,0.4832
10,v4,0.5073,0.2429,0.1631,0.318
10,v5,0.5652,0.362,0.2799,0.4425
10,v6,0.1872,0.104,0.0584,0.0599
11,v2,0.6588,0.3808,0.2993,0.5333
11,v3,0.6082,0.3738,0.2921,0.4864
11,v4,0.5088,0.2451,0.1646,0.3219
11,v5,0.5659,0.3621,0.2804,0.4443
11,v6,0.1857,0.1033,0.058,0.0583
12,v2,0.6578,0.3786,0.2973,0.5314
12,v3,0.6071,0.3718,0.29,0.4845
12,v4,0.5077,0.2422,0.1626,0.3199
12,v5,0.5649,0.3602,0.2784,0.4426
12,v6,0.1857,0.1028,0.0577,0.0584
13,v2,0.6594,0.3807,0.2998,0.5335
13,v3,0.6086,0.3745,0.293,0.4865
13,v4,0.5085,0.2444,0.1641,0.3205
13,v5,0.5665,0.3628,0.2814,0.4446
13,v6,0.1869,0.1038,0.0584,0.0598
14,v2,0.6582,0.3802,0.2982,0.5315
14,v3,0.6068,0.3729,0.2907,0.4838
14,v4,0.5076,0.2434,0.1632,0.3186
14,v5,0.5646,0.3615,0.2792,0.4418
14,v6,0.1868,0.1037,0.0583,0.0595
15,v2,0.6557,0.3783,0.2971,0.5286
15,v3,0.6049,0.3711,0.2896,0.4817
15,v4,0.5061,0.2423,0.1625,0.3176
15,v5,0.5625,0.3592,0.2779,0.4396
15,v6,0.1855,0.1029,0.0578,0.0582
16,v2,0.658,0.3807,0.3,0.5321
16,v3,0.6076,0.3746,0.2932,0.4858
16,v4,0.5074,0.2444,0.1642,0.3196
16,v5,0.5658,0.3635,0.2821,0.4443
16,v6,0.1867,0.1041,0.0585,0.0596
17,v2,0.661,0.3814,0.2998,0.5353
17,v3,0.6093,0.3743,0.2923,0.487
17,v4,0.5117,0.246,0.1652,0.3237
17,v5,0.5672,0.3626,0.2806,0.4451
17,v6,0.1867,0.1036,0.0582,0.059
18,v2,0.6549,0.3768,0.2963,0.5267
18,v3,0.6035,0.3695,0.2887,0.4792
18,v4,0.5072,0.2418,0.1623,0.3175
18,v5,0.5621,0.3585,0.2777,0.4384
18,v6,0.1862,0.1031,0.0579,0.0585
19,v2,0.6599,0.3832,0.3013,0.5339
19,v3,0.6086,0.3764,0.294,0.4863
19,v4,0.5093,0.2457,0.165,0.3208
19,v5,0.5666,0.3646,0.2824,0.4446
19,v6,0.1869,0.1043,0.0586,0.0594
20,v2,0.6555,0.3774,0.2962,0.5277
20,v3,0.6041,0.3698,0.2885,0.4801
20,v4,0.5085,0.2428,0.163,0.3194
20,v5,0.5617,0.3581,0.2769,0.4381
20,v6,0.1853,0.1027,0.0577,0.0574
21,v2,0.6596,0.381,0.2994,0.5335
21,v3,0.6082,0.3737,0.2918,0.4857
21,v4,0.5106,0.2453,0.1648,0.3227
21,v5,0.5663,0.3621,0.2803,0.4441
21,v6,0.1866,0.1037,0.0583,0.0592
22,v2,0.6568,0.3784,0.2971,0.5289
22,v3,0.6056,0.3719,0.2902,0.4817
22,v4,0.5087,0.2426,0.1628,0.3186
22,v5,0.5635,0.3603,0.2785,0.44
22,v6,0.1866,0.1032,0.058,0.0588
23,v2,0.6582,0.38,0.2991,0.5318
23,v3,0.6069,0.373,0.2916,0.4842
23,v4,0.5084,0.244,0.164,0.3201
23,v5,0.5651,0.3617,0.2804,0.4427
23,v6,0.1872,0.1042,0.0586,0.06
24,v2,0.6557,0.3764,0.296,0.5277
24,v3,0.6053,0.3699,0.2891,0.4813
24,v4,0.5064,0.2403,0.1616,0.3165
24,v5,0.5636,0.3587,0.2778,0.4402
24,v6,0.1863,0.1029,0.0578,0.0586
25,v2,0.6591,0.3797,0.2981,0.5327
25,v3,0.6073,0.3719,0.2901,0.4844
25,v4,0.5099,0.2441,0.1639,0.3218
25,v5,0.565,0.3604,0.2785,0.4423
25,v6,0.1863,0.103,0.0579,0.059
26,v2,0.6548,0.3788,0.2971,0.5268
26,v3,0.6041,0.3716,0.2898,0.4801
26,v4,0.5055,0.2422,0.1624,0.3156
26,v5,0.5623,0.3604,0.2785,0.4389
26,v6,0.1864,0.1036,0.0582,0.0589
27,v2,0.6564,0.378,0.2967,0.5284
27,v3,0.6046,0.3705,0.2888,0.4803
27,v4,0.5108,0.2452,0.1646,0.3217
27,v5,0.5622,0.3586,0.2772,0.4381
27,v6,0.1867,0.1035,0.0581,0.0591
28,v2,0.6568,0.3788,0.2975,0.5297
28,v3,0.6067,0.3731,0.291,0.4837
28,v4,0.5052,0.2415,0.1618,0.3155
28,v5,0.565,0.3621,0.28,0.4425
28,v6,0.1871,0.104,0.0584,0.0599
29,v2,0.6566,0.3782,0.2971,0.5293
29,v3,0.6059,0.3714,0.29,0.4826
29,v4,0.5064,0.2421,0.1624,0.3166
29,v5,0.5633,0.3593,0.2781,0.4402
29,v6,0.1859,0.1034,0.0581,0.0583
30,v2,0.6578,0.38,0.2987,0.5313
30,v3,0.6061,0.3725,0.2909,0.4831
30,v4,0.5091,0.2452,0.1646,0.3211
30,v5,0.5642,0.361,0.2795,0.4415
30,v6,0.1864,0.1035,0.0581,0.0591
31,v2,0.658,0.3785,0.2976,0.5317
31,v3,0.607,0.3718,0.2904,0.4844
31,v4,0.5076,0.2422,0.1628,0.3195
31,v5,0.5655,0.3609,0.2794,0.4434
31,v6,0.1874,0.1039,0.0584,0.0603
32,v2,0.6539,0.3791,0.2974,0.527
32,v3,0.6027,0.3714,0.2894,0.4796
32,v4,0.5059,0.2444,0.1639,0.3185
32,v5,0.5608,0.3599,0.2781,0.4381
32,v6,0.1859,0.104,0.0584,0.0589
33,v2,0.658,0.3794,0.298,0.5318
33,v3,0.6079,0.3732,0.2913,0.4856
33,v4,0.5072,0.2423,0.1626,0.3195
33,v5,0.566,0.3618,0.2799,0.444
33,v6,0.1867,0.1033,0.058,0.0597
34,v2,0.6554,0.3769,0.2962,0.5278
34,v3,0.6051,0.3709,0.2895,0.4817
34,v4,0.5052,0.2412,0.162,0.3154
34,v5,0.5634,0.3594,0.2782,0.4405
34,v6,0.1865,0.1037,0.0583,0.0592
35,v2,0.6572,0.3795,0.2983,0.5309
35,v3,0.6069,0.3733,0.2916,0.4846
35,v4,0.5063,0.2423,0.1628,0.318
35,v5,0.5648,0.362,0.2802,0.4429
35,v6,0.1866,0.104,0.0585,0.0594
36,v2,0.6594,0.3802,0.2991,0.5338
36,v3,0.6082,0.3733,0.2917,0.4861
36,v4,0.5073,0.2437,0.1635,0.3193
36,v5,0.5663,0.3617,0.2802,0.4446
36,v6,0.1874,0.1042,0.0586,0.0604
37,v2,0.6556,0.3789,0.2974,0.5292
37,v3,0.6052,0.3721,0.2903,0.4827
37,v4,0.5042,0.2416,0.1621,0.3159
37,v5,0.5638,0.3613,0.2793,0.4418
37,v6,0.1864,0.1039,0.0584,0.0594
38,v2,0.6591,0.3822,0.3005,0.5333
38,v3,0.6076,0.3747,0.2929,0.4855
38,v4,0.5095,0.2462,0.1653,0.3223
38,v5,0.5653,0.3628,0.2811,0.4433
38,v6,0.1863,0.1039,0.0584,0.0591
39,v2,0.6552,0.3755,0.2952,0.5267
39,v3,0.6044,0.3688,0.2882,0.4799
39,v4,0.5063,0.2398,0.1612,0.3159
39,v5,0.5625,0.3574,0.2768,0.4386
39,v6,0.1866,0.1028,0.0578,0.0589
