version,metric,mean,std,min,max,p2_5,p97_5,range
v2,overall_accuracy,0.657,0.0019,0.6517,0.6614,0.6535,0.6606,0.0097
v2,macro_f1,0.3793,0.0018,0.3752,0.3835,0.3758,0.3826,0.0083
v2,mean_iou,0.2979,0.0016,0.2943,0.302,0.2952,0.3011,0.0077
v2,kappa,0.5303,0.0026,0.5232,0.5363,0.5255,0.535,0.0131
v3,overall_accuracy,0.6062,0.0017,0.6017,0.6101,0.6029,0.6093,0.0084
v3,macro_f1,0.3724,0.0018,0.3685,0.3764,0.3693,0.3759,0.0078
v3,mean_iou,0.2907,0.0016,0.2873,0.2944,0.2882,0.2939,0.0071
v3,kappa,0.4833,0.0023,0.4776,0.4885,0.4793,0.4873,0.0109
v4,overall_accuracy,0.5071,0.0018,0.5025,0.5117,0.5033,0.5104,0.0091
v4,macro_f1,0.2431,0.0016,0.2398,0.2468,0.2402,0.2458,0.007
v4,mean_iou,0.1632,0.0011,0.161,0.1658,0.1612,0.1651,0.0048
v4,kappa,0.3186,0.0023,0.3132,0.3237,0.314,0.3225,0.0105
v5,overall_accuracy,0.5643,0.0017,0.5602,0.5683,0.5611,0.5671,0.0081
v5,macro_f1,0.361,0.0017,0.357,0.3648,0.358,0.3643,0.0077
v5,mean_iou,0.2793,0.0015,0.2758,0.283,0.2769,0.2823,0.0072
v5,kappa,0.4418,0.0023,0.4367,0.447,0.4379,0.4454,0.0103
v6,overall_accuracy,0.1864,0.0004,0.1853,0.1874,0.1856,0.1873,0.0021
v6,macro_f1,0.1036,0.0004,0.1027,0.1044,0.1028,0.1043,0.0017
v6,mean_iou,0.0582,0.0002,0.0577,0.0587,0.0578,0.0586,0.001
v6,kappa,0.0591,0.0005,0.0574,0.0604,0.0582,0.06,0.0029
