cell,grid,sample,target,naip_bracket,matches_model
rf_class_reviewer_ash_grid_35012_sample_132_sensor_Sentinel-2_target_2019_opt_2018_2020,35012,132,2019,2018-2020,True
rf_class_reviewer_ash_grid_42180_sample_252_sensor_Sentinel-2_target_2019_opt_2018_2020,42180,252,2019,2018-2020,True
rf_class_reviewer_ash_grid_45833_sample_222_sensor_Sentinel-2_target_2019_opt_2018_2020,45833,222,2019,2018-2020,True
rf_class_reviewer_ash_grid_47523_sample_87_sensor_Sentinel-2_target_2019_opt_2018_2020,47523,87,2019,2018-2020,True
rf_class_reviewer_bekka_grid_16801_sample_477_sensor_Sentinel-2_target_2019_opt_2018_2020,16801,477,2019,2018-2020,True
rf_class_reviewer_bekka_grid_17602_sample_492_sensor_Sentinel-2_target_2019_opt_2018_2020,17602,492,2019,2018-2020,True
rf_class_reviewer_bekka_grid_17613_sample_537_sensor_Sentinel-2_target_2019_opt_2018_2020,17613,537,2019,2018-2020,True
rf_class_reviewer_bekka_grid_18731_sample_447_sensor_Sentinel-2_target_2019_opt_2018_2020,18731,447,2019,2018-2020,True
rf_class_reviewer_bekka_grid_18930_sample_522_sensor_Sentinel-2_target_2019_opt_2018_2020,18930,522,2019,2018-2020,True
rf_class_reviewer_bekka_grid_21050_sample_117_sensor_Sentinel-2_target_2019_opt_2018_2020,21050,117,2019,2018-2020,True
rf_class_reviewer_bekka_grid_21102_sample_312_sensor_Sentinel-2_target_2019_opt_2018_2020,21102,312,2019,2018-2020,True
rf_class_reviewer_bekka_grid_23753_sample_372_sensor_Sentinel-2_target_2019_opt_2018_2020,23753,372,2019,2018-2020,True
rf_class_reviewer_bekka_grid_28522_sample_282_sensor_Sentinel-2_target_2019_opt_2018_2020,28522,282,2019,2018-2020,True
rf_class_reviewer_bekka_grid_29781_sample_432_sensor_Sentinel-2_target_2019_opt_2018_2020,29781,432,2019,2018-2020,True
rf_class_reviewer_bekka_grid_30591_sample_387_sensor_Sentinel-2_target_2019_opt_2018_2020,30591,387,2019,2018-2020,True
rf_class_reviewer_bekka_grid_31320_sample_27_sensor_Sentinel-2_target_2019_opt_2018_2020,31320,27,2019,2018-2020,True
rf_class_reviewer_bekka_grid_32460_sample_357_sensor_Sentinel-2_target_2019_opt_2018_2020,32460,357,2019,2018-2020,True
rf_class_reviewer_bekka_grid_34023_sample_192_sensor_Sentinel-2_target_2019_opt_2018_2020,34023,192,2019,2018-2020,True
rf_class_reviewer_bekka_grid_36361_sample_327_sensor_Sentinel-2_target_2019_opt_2018_2020,36361,327,2019,2018-2020,True
rf_class_reviewer_bekka_grid_36882_sample_267_sensor_Sentinel-2_target_2019_opt_2018_2020,36882,267,2019,2018-2020,True
rf_class_reviewer_bekka_grid_37243_sample_552_sensor_Sentinel-2_target_2019_opt_2018_2020,37243,552,2019,2018-2020,True
rf_class_reviewer_bekka_grid_39193_sample_102_sensor_Sentinel-2_target_2019_opt_2018_2020,39193,102,2019,2018-2020,True
rf_class_reviewer_bekka_grid_43520_sample_42_sensor_Sentinel-2_target_2019_opt_2018_2020,43520,42,2019,2018-2020,True
rf_class_reviewer_bekka_grid_44751_sample_462_sensor_Sentinel-2_target_2019_opt_2018_2020,44751,462,2019,2018-2020,True
rf_class_reviewer_bekka_grid_44811_sample_207_sensor_Sentinel-2_target_2019_opt_2018_2020,44811,207,2019,2018-2020,True
rf_class_reviewer_bekka_grid_47961_sample_402_sensor_Sentinel-2_target_2019_opt_2018_2020,47961,402,2019,2018-2020,True
rf_class_reviewer_bekka_grid_48221_sample_147_sensor_Sentinel-2_target_2019_opt_2018_2020,48221,147,2019,2018-2020,True
rf_class_reviewer_bekka_grid_48671_sample_507_sensor_Sentinel-2_target_2019_opt_2018_2020,48671,507,2019,2018-2020,True
rf_class_reviewer_bekka_grid_49610_sample_417_sensor_Sentinel-2_target_2019_opt_2018_2020,49610,417,2019,2018-2020,True
rf_class_reviewer_bekka_grid_50520_sample_177_sensor_Sentinel-2_target_2019_opt_2018_2020,50520,177,2019,2018-2020,True
rf_class_reviewer_peter_grid_29142_sample_237_sensor_Sentinel-2_target_2019_opt_2018_2020,29142,237,2019,2018-2020,True
rf_class_reviewer_peter_grid_43442_sample_12_sensor_Sentinel-2_target_2019_opt_2018_2020,43442,12,2019,2018-2020,True
rf_class_reviewer_peter_grid_47893_sample_57_sensor_Sentinel-2_target_2019_opt_2018_2020,47893,57,2019,2018-2020,True
rf_class_reviewer_peter_grid_48800_sample_162_sensor_Sentinel-2_target_2019_opt_2018_2020,48800,162,2019,2018-2020,True
rf_class_reviewer_robert_grid_24360_sample_72_sensor_Sentinel-2_target_2019_opt_2018_2020,24360,72,2019,2018-2020,True
rf_class_reviewer_robert_grid_40890_sample_297_sensor_Sentinel-2_target_2019_opt_2018_2020,40890,297,2019,2018-2020,True
