,Harvest,Development,Forest,Urban,Water,Agriculture,Grass/Shrub,Wetland,Beaver,Insect/Disease
Harvest,6938,16147,3886,4399,5199,14168,3842,3785,4790,4090
Development,190,381,29,64,38,516,91,66,117,153
Forest,138818,58174,398599,336769,449711,141319,181077,187677,103928,101799
Urban,10935,10202,7902,9856,8712,9487,12682,11325,9896,11098
Water,25241,13561,28506,26910,29677,17668,25729,24604,19075,26423
Agriculture,98198,168484,32426,52897,43663,268796,79084,70859,77535,84131
Grass/Shrub,26724,27080,17060,22253,18712,25957,31390,27826,24314,27223
Wetland,33616,27276,27956,34871,29868,27536,44919,41129,33671,36534
Beaver,293,319,57,113,56,124,209,194,268,286
Insect/Disease,1371,770,1728,1774,1669,1048,1777,1915,1066,1039
