,Harvest,Development,Forest,Urban,Water,Agriculture,Grass/Shrub,Wetland,Beaver,Insect/Disease
Harvest,0.1032,0.2401,0.0578,0.0654,0.0773,0.2107,0.0571,0.0563,0.0712,0.0608
Development,0.1155,0.2316,0.0176,0.0389,0.0231,0.3137,0.0553,0.0401,0.0711,0.093
Forest,0.0662,0.0277,0.19,0.1605,0.2144,0.0674,0.0863,0.0895,0.0495,0.0485
Urban,0.1071,0.0999,0.0774,0.0965,0.0853,0.0929,0.1242,0.1109,0.0969,0.1087
Water,0.1063,0.0571,0.1201,0.1134,0.125,0.0744,0.1084,0.1036,0.0804,0.1113
Agriculture,0.1006,0.1726,0.0332,0.0542,0.0447,0.2754,0.081,0.0726,0.0794,0.0862
Grass/Shrub,0.1075,0.109,0.0686,0.0895,0.0753,0.1044,0.1263,0.112,0.0978,0.1095
Wetland,0.0996,0.0808,0.0829,0.1034,0.0885,0.0816,0.1331,0.1219,0.0998,0.1083
Beaver,0.1527,0.1662,0.0297,0.0589,0.0292,0.0646,0.1089,0.1011,0.1397,0.149
Insect/Disease,0.0968,0.0544,0.1221,0.1253,0.1179,0.074,0.1255,0.1353,0.0753,0.0734
