scheme,variant,scope,cls,metric,estimate,supportable,ratio_ci_lo,ratio_ci_hi,boot_ci_lo,boot_ci_hi,support,cells_present
10class,v2,overall,,OA,0.7188,True,0.66965,0.76794,0.6685,0.76526,4084313,
10class,v2,overall,,kappa,0.58887,True,,,0.52043,0.65037,4084313,
10class,v2,overall,,macro_F1,0.38518,True,,,0.36072,0.4097,4084313,
10class,v2,overall,,mean_IoU,0.30473,True,,,0.27971,0.32267,4084313,
10class,v2,overall,,baseline_OA,0.51364,True,,,0.43294,0.59304,4084313,
10class,v2,class,Harvest,precision,0.54066,True,0.33057,0.75075,0.28106,0.71066,67244,18.0
10class,v2,class,Harvest,recall,0.15027,True,0.05151,0.24904,0.06485,0.26378,67244,18.0
10class,v2,class,Harvest,F1,0.23518,True,,,0.10917,0.36968,67244,18.0
10class,v2,class,Harvest,IoU,0.13326,True,0.04772,0.2188,0.05774,0.22675,67244,18.0
10class,v2,class,Development,precision,0.00908,True,-0.00056,0.01872,0.00231,0.02381,1645,10.0
10class,v2,class,Development,recall,0.11976,True,0.02216,0.21735,0.05109,0.4348,1645,10.0
10class,v2,class,Development,F1,0.01687,True,,,0.00438,0.03954,1645,10.0
10class,v2,class,Development,IoU,0.00851,True,-1e-05,0.01702,0.0022,0.02017,1645,10.0
10class,v2,class,Forest,precision,0.86251,True,0.8285,0.89652,0.82443,0.89024,2097871,36.0
10class,v2,class,Forest,recall,0.82856,True,0.77456,0.88257,0.77388,0.87918,2097871,36.0
10class,v2,class,Forest,F1,0.8452,True,,,0.81141,0.87518,2097871,36.0
10class,v2,class,Forest,IoU,0.73189,True,0.68291,0.78088,0.68266,0.77807,2097871,36.0
10class,v2,class,Urban,precision,0.3175,True,0.24558,0.38943,0.2534,0.39708,102095,36.0
10class,v2,class,Urban,recall,0.64477,True,0.56916,0.72038,0.55922,0.71339,102095,36.0
10class,v2,class,Urban,F1,0.42549,True,,,0.3572,0.48845,102095,36.0
10class,v2,class,Urban,IoU,0.27023,True,0.21753,0.32294,0.21743,0.32314,102095,36.0
10class,v2,class,Water,precision,0.94451,True,0.89306,0.99597,0.84411,0.97745,237394,29.0
10class,v2,class,Water,recall,0.90756,True,0.82218,0.99294,0.72924,0.96095,237394,29.0
10class,v2,class,Water,F1,0.92567,True,,,0.79481,0.96339,237394,29.0
10class,v2,class,Water,IoU,0.86162,True,0.75425,0.96899,0.65949,0.92937,237394,29.0
10class,v2,class,Agriculture,precision,0.87522,True,0.84057,0.90986,0.8396,0.90913,976073,23.0
10class,v2,class,Agriculture,recall,0.79067,True,0.72353,0.85781,0.71566,0.85253,976073,23.0
10class,v2,class,Agriculture,F1,0.8308,True,,,0.78741,0.86146,976073,23.0
10class,v2,class,Agriculture,IoU,0.71057,True,0.65776,0.76338,0.64936,0.75664,976073,23.0
10class,v2,class,Grass/Shrub,precision,0.27929,True,0.19728,0.36131,0.18913,0.359,248539,30.0
10class,v2,class,Grass/Shrub,recall,0.26525,True,0.13941,0.3911,0.14236,0.39361,248539,30.0
10class,v2,class,Grass/Shrub,F1,0.27209,True,,,0.17174,0.35044,248539,30.0
10class,v2,class,Grass/Shrub,IoU,0.15747,True,0.09704,0.2179,0.09393,0.21245,248539,30.0
