source,change_class,cell_id,bracket,f1,ref_pixels_of_class,pred_pixels_of_class,present_via
v2,harvest,00122,2021_2023,0.0,1937,0,reference
v2,development,00122,2021_2023,0.0,0,2,prediction
v2,beaver,00122,2021_2023,0.0,0,4,prediction
v3,harvest,00122,2021_2023,0.0,1937,0,reference
v3,beaver,00122,2021_2023,0.0,0,2427,prediction
v4,harvest,00122,2021_2023,0.0,1937,0,reference
v4,development,00122,2021_2023,0.0,0,26,prediction
v4,insect_disease,00122,2021_2023,0.0,0,11043,prediction
v5,harvest,00122,2021_2023,0.0,1937,0,reference
v5,development,00122,2021_2023,0.0,0,17,prediction
v5,beaver,00122,2021_2023,0.0,0,2726,prediction
v6,harvest,00122,2021_2023,0.01948,1937,20550,both
v6,development,00122,2021_2023,0.0,0,24648,prediction
v6,insect_disease,00122,2021_2023,0.0,0,18367,prediction
v6,beaver,00122,2021_2023,0.0,0,16376,prediction
spec_all,harvest,00122,2021_2023,0.00286,1937,162,both
spec_all,development,00122,2021_2023,0.0,0,666,prediction
spec_all,insect_disease,00122,2021_2023,0.0,0,644,prediction
spec_all,beaver,00122,2021_2023,0.0,0,144,prediction
v2,beaver,00180,2021_2023,0.0,0,121,prediction
v3,beaver,00180,2021_2023,0.0,0,4779,prediction
v4,harvest,00180,2021_2023,0.0,0,2,prediction
v4,insect_disease,00180,2021_2023,0.0,0,532,prediction
v5,beaver,00180,2021_2023,0.0,0,7960,prediction
v6,harvest,00180,2021_2023,0.0,0,10930,prediction
v6,development,00180,2021_2023,0.0,0,7635,prediction
v6,insect_disease,00180,2021_2023,0.0,0,13928,prediction
v6,beaver,00180,2021_2023,0.0,0,11318,prediction
spec_all,harvest,00180,2021_2023,0.0,0,15538,prediction
spec_all,development,00180,2021_2023,0.0,0,2903,prediction
spec_all,insect_disease,00180,2021_2023,0.0,0,15578,prediction
spec_all,beaver,00180,2021_2023,0.0,0,674,prediction
v2,development,00193,2019_2021,0.0,0,157,prediction
v2,beaver,00193,2019_2021,0.0,0,84,prediction
v3,development,00193,2019_2021,0.0,0,51,prediction
v3,beaver,00193,2019_2021,0.0,0,57,prediction
v4,development,00193,2019_2021,0.0,0,635,prediction
v4,beaver,00193,2019_2021,0.0,0,235,prediction
v5,harvest,00193,2019_2021,0.0,0,37,prediction
v5,development,00193,2019_2021,0.0,0,112,prediction
v5,beaver,00193,2019_2021,0.0,0,46,prediction
v6,harvest,00193,2019_2021,0.0,0,16808,prediction
v6,development,00193,2019_2021,0.0,0,8779,prediction
v6,insect_disease,00193,2019_2021,0.0,0,21160,prediction
v6,beaver,00193,2019_2021,0.0,0,18352,prediction
spec_all,development,00193,2019_2021,0.0,0,16,prediction
spec_all,insect_disease,00193,2019_2021,0.0,0,50,prediction
spec_all,beaver,00193,2019_2021,0.0,0,258,prediction
v2,harvest,00422,2017_2019,0.0,0,6,prediction
v2,development,00422,2017_2019,0.0,0,57,prediction
v2,insect_disease,00422,2017_2019,0.0,0,2,prediction
v3,development,00422,2017_2019,0.0,0,323,prediction
v4,harvest,00422,2017_2019,0.0,0,202,prediction
v4,development,00422,2017_2019,0.0,0,102,prediction
v4,insect_disease,00422,2017_2019,0.0,0,38091,prediction
v4,beaver,00422,2017_2019,0.0,0,1211,prediction
v5,harvest,00422,2017_2019,0.0,0,5,prediction
v5,development,00422,2017_2019,0.0,0,1473,prediction
v6,harvest,00422,2017_2019,0.0,0,15488,prediction
v6,development,00422,2017_2019,0.0,0,16428,prediction
v6,insect_disease,00422,2017_2019,0.0,0,20054,prediction
v6,beaver,00422,2017_2019,0.0,0,15303,prediction
spec_all,harvest,00422,2017_2019,0.0,0,3464,prediction
spec_all,development,00422,2017_2019,0.0,0,12766,prediction
spec_all,insect_disease,00422,2017_2019,0.0,0,72,prediction
spec_all,beaver,00422,2017_2019,0.0,0,989,prediction
v2,development,01072,2021_2023,0.0,143,3,both
v3,harvest,01072,2021_2023,0.0,0,55,prediction
v3,development,01072,2021_2023,0.02166,143,134,both
v3,beaver,01072,2021_2023,0.0,0,8,prediction
v4,development,01072,2021_2023,0.26437,143,31,both
v4,insect_disease,01072,2021_2023,0.0,0,7618,prediction
v4,beaver,01072,2021_2023,0.0,0,35,prediction
v5,harvest,01072,2021_2023,0.0,0,175,prediction
v5,development,01072,2021_2023,0.0,143,372,both
v6,harvest,01072,2021_2023,0.0,0,13012,prediction
v6,development,01072,2021_2023,0.00886,143,7987,both
v6,insect_disease,01072,2021_2023,0.0,0,14792,prediction
v6,beaver,01072,2021_2023,0.0,0,12314,prediction
spec_all,harvest,01072,2021_2023,0.0,0,9926,prediction
spec_all,development,01072,2021_2023,0.01374,143,6263,both
spec_all,insect_disease,01072,2021_2023,0.0,0,31,prediction
spec_all,beaver,01072,2021_2023,0.0,0,110,prediction
v2,development,01082,2021_2023,0.0,0,68,prediction
v3,development,01082,2021_2023,0.0,0,227,prediction
v3,beaver,01082,2021_2023,0.0,0,32,prediction
v4,harvest,01082,2021_2023,0.0,0,848,prediction
v4,development,01082,2021_2023,0.0,0,145,prediction
v4,insect_disease,01082,2021_2023,0.0,0,6828,prediction
