source,cell_id,bracket,macro_f1,n_classes_included,in_common_set,f1_stable,f1_harvest,f1_development,f1_insectdisease,f1_beaver
v2,00122,2021_2023,0.24785,4,True,0.9914,0.0,0.0,,0.0
v3,00122,2021_2023,0.32701,3,True,0.98104,0.0,,,0.0
v4,00122,2021_2023,0.23809,4,True,0.95236,0.0,0.0,0.0,
v5,00122,2021_2023,0.24474,4,True,0.97898,0.0,0.0,,0.0
v6,00122,2021_2023,0.0934,5,True,0.44757,0.01943,0.0,0.0,0.0
spec_all,00122,2021_2023,0.19742,5,True,0.98426,0.00286,0.0,0.0,0.0
v2,00180,2021_2023,0.49973,2,True,0.99947,,,,0.0
v3,00180,2021_2023,0.48925,2,True,0.97851,,,,0.0
v4,00180,2021_2023,0.33255,3,True,0.99764,0.0,,0.0,
v5,00180,2021_2023,0.48184,2,True,0.96368,,,,0.0
v6,00180,2021_2023,0.1522,5,True,0.76102,0.0,0.0,0.0,0.0
spec_all,00180,2021_2023,0.16395,5,True,0.81973,0.0,0.0,0.0,0.0
v2,00193,2019_2021,0.33298,3,True,0.99894,,0.0,,0.0
v3,00193,2019_2021,0.33317,3,True,0.99952,,0.0,,0.0
v4,00193,2019_2021,0.33205,3,True,0.99616,,0.0,,0.0
v5,00193,2019_2021,0.24979,4,True,0.99914,0.0,0.0,,0.0
v6,00193,2019_2021,0.11965,5,True,0.59825,0.0,0.0,0.0,0.0
spec_all,00193,2019_2021,0.24964,4,True,0.99857,,0.0,0.0,0.0
v2,00422,2017_2019,0.24993,4,True,0.99971,0.0,0.0,0.0,
v3,00422,2017_2019,0.49929,2,True,0.99858,,0.0,,
v4,00422,2017_2019,0.15776,5,True,0.7888,0.0,0.0,0.0,0.0
v5,00422,2017_2019,0.33115,3,True,0.99345,0.0,0.0,,
v6,00422,2017_2019,0.11584,5,True,0.57919,0.0,0.0,0.0,0.0
spec_all,00422,2017_2019,0.18352,5,True,0.9176,0.0,0.0,0.0,0.0
v2,01072,2021_2023,0.49968,2,True,0.99936,,0.0,,
v3,01072,2021_2023,0.25505,4,True,0.99853,0.0,0.02166,,0.0
v4,01072,2021_2023,0.30734,4,True,0.96499,,0.26437,0.0,0.0
v5,01072,2021_2023,0.33232,3,True,0.99695,0.0,0.0,,
v6,01072,2021_2023,0.14806,5,True,0.73142,0.0,0.00886,0.0,0.0
spec_all,01072,2021_2023,0.1872,5,True,0.92226,0.0,0.01374,0.0,0.0
v2,01082,2021_2023,0.49985,2,True,0.9997,,0.0,,
v3,01082,2021_2023,0.33295,3,True,0.99886,,0.0,,0.0
v4,01082,2021_2023,0.1927,5,True,0.96352,0.0,0.0,0.0,0.0
v5,01082,2021_2023,0.24873,4,True,0.99492,0.0,0.0,,0.0
v6,01082,2021_2023,0.16481,5,True,0.82406,0.0,0.0,0.0,0.0
spec_all,01082,2021_2023,0.17465,5,True,0.87324,0.0,0.0,0.0,0.0
v2,01290,2021_2023,0.24994,4,True,0.99975,0.0,0.0,0.0,
v3,01290,2021_2023,0.33206,3,True,0.99619,0.0,0.0,,
v4,01290,2021_2023,0.18319,5,True,0.91594,0.0,0.0,0.0,0.0
v5,01290,2021_2023,0.24931,4,True,0.99723,0.0,0.0,0.0,
v6,01290,2021_2023,0.14993,5,True,0.74963,0.0,0.0,0.0,0.0
spec_all,01290,2021_2023,0.18581,5,True,0.92907,0.0,0.0,0.0,0.0
v2,01411,2019_2021,0.33093,3,True,0.99279,0.0,0.0,,
v3,01411,2019_2021,0.33196,3,True,0.99588,0.0,0.0,,
v4,01411,2019_2021,0.19861,5,True,0.99305,0.0,0.0,0.0,0.0
v5,01411,2019_2021,0.33015,3,True,0.99046,0.0,0.0,,
v6,01411,2019_2021,0.12527,5,True,0.62634,0.0,0.0,0.0,0.0
spec_all,01411,2019_2021,0.23165,4,True,0.92662,0.0,0.0,0.0,
v2,01442,2017_2019,0.19689,5,True,0.96734,0.0171,0.0,0.0,0.0
v3,01442,2017_2019,0.25938,3,True,0.77814,0.0,,,0.0
v4,01442,2017_2019,0.28589,5,True,0.9895,0.43993,0.0,0.0,0.0
v5,01442,2017_2019,0.17367,5,True,0.86835,0.0,0.0,0.0,0.0
v6,01442,2017_2019,0.17888,5,True,0.82762,0.0668,0.0,0.0,0.0
spec_all,01442,2017_2019,0.20656,5,True,0.82384,0.20896,0.0,0.0,0.0
