,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.29177,0.01936,0.00469,0.00181,2e-05,0.00037,0.00631,0.00257,0.00878,0.01401
development,0.00209,0.00634,5e-05,0.00378,5e-05,0.00119,4e-05,0.0001,2e-05,0.00039
forest,0.5954,0.31802,0.90224,0.09837,0.01302,0.02103,0.48019,0.20568,0.65758,0.80257
urban,0.00844,0.12224,0.00564,0.36162,0.00495,0.01777,0.00915,0.01554,0.00646,0.00754
water,0.0004,0.0024,0.00194,0.00635,0.92429,0.00046,0.00038,0.02172,0.01456,0.00399
ag,0.00625,0.24196,0.01163,0.226,0.00166,0.8126,0.05376,0.0525,0.00182,0.01116
grass_shrub,0.03648,0.23918,0.02347,0.19915,0.00181,0.11818,0.26712,0.20167,0.05528,0.04205
wetland,0.03725,0.04576,0.04651,0.10203,0.05382,0.02822,0.18031,0.49679,0.2425,0.10993
beaver,0.00024,0.00044,0.00012,0.00012,0.00026,1e-05,0.00036,0.00149,0.00251,0.00045
insect_disease,0.02169,0.00428,0.00372,0.00078,0.00012,0.00017,0.00239,0.00194,0.0105,0.00789
