,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,150263,6588,39645,2258,33,1123,9507,4800,8457,10095
development,1076,2158,416,4710,83,3605,55,191,20,282
forest,306636,108194,7626586,122613,23118,63490,723608,383617,633580,578118
urban,4346,41586,47639,450713,8794,53644,13785,28980,6225,5434
water,208,818,16381,7909,1641214,1392,580,40504,14029,2873
ag,3218,82319,98314,281680,2952,2453088,81005,97928,1751,8042
grass_shrub,18786,81372,198378,248216,3218,356751,402523,376140,53258,30293
wetland,19185,15569,393175,127173,95557,85206,271717,926596,233645,79184
beaver,124,151,1042,146,467,24,536,2787,2417,327
insect_disease,11169,1457,31413,970,210,499,3603,3615,10119,5683
