,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.50127,0.01184,0.25674,0.01302,0.00027,0.00528,0.05468,0.0217,0.04238,0.09283
development,0.04406,0.05732,0.09781,0.45268,0.0081,0.2866,0.00675,0.01651,0.00278,0.02739
forest,0.00928,0.00195,0.77716,0.01199,0.00286,0.00585,0.07927,0.03677,0.02489,0.04998
urban,0.00301,0.03551,0.08739,0.70179,0.0138,0.07533,0.02604,0.04251,0.00433,0.0103
water,1e-05,1e-05,0.01083,0.00437,0.95852,0.00078,0.00047,0.02226,0.00133,0.00142
ag,0.00048,0.01188,0.03542,0.09857,0.0011,0.78947,0.02729,0.03255,0.00026,0.00299
grass_shrub,0.00484,0.02582,0.12857,0.15706,0.00254,0.19511,0.23953,0.21865,0.01109,0.01679
wetland,0.00312,0.00059,0.1986,0.0603,0.05002,0.03657,0.14959,0.42098,0.04977,0.03046
beaver,0.00686,0.00349,0.17392,0.0298,0.06109,0.00274,0.07705,0.36604,0.23551,0.04351
insect_disease,0.0763,0.00428,0.62529,0.01501,0.00322,0.00676,0.05314,0.05825,0.07744,0.0803
