cap,class_code,class_name,precision,recall,f1,iou,support,predicted_pixels,is_change_class,train_ceiling,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
50,1,harvest,0.4868,0.50127,0.49393,0.32796,232769,239688,True,18807,0.69995,0.42631,0.33436,0.58158,180,20404977
50,2,development,0.00547,0.05732,0.00999,0.00502,12596,131906,True,8482,0.69995,0.42631,0.33436,0.58158,180,20404977
50,3,forest,0.8948,0.77716,0.83184,0.7121,10569560,9179911,False,,0.69995,0.42631,0.33436,0.58158,180,20404977
50,4,urban,0.34933,0.70179,0.46647,0.30418,661146,1328205,False,,0.69995,0.42631,0.33436,0.58158,180,20404977
50,5,water,0.91154,0.95852,0.93444,0.87695,1725908,1814851,False,,0.69995,0.42631,0.33436,0.58158,180,20404977
50,6,ag,0.8182,0.78947,0.80358,0.67166,3110297,3001083,False,,0.69995,0.42631,0.33436,0.58158,180,20404977
50,7,grass_shrub,0.24668,0.23953,0.24306,0.13834,1768935,1717662,False,,0.69995,0.42631,0.33436,0.58158,180,20404977
50,8,wetland,0.49753,0.42098,0.45606,0.29539,2247007,1901280,False,,0.69995,0.42631,0.33436,0.58158,180,20404977
50,9,beaver,0.00452,0.23551,0.00888,0.00446,8021,417661,True,502,0.69995,0.42631,0.33436,0.58158,180,20404977
50,10,insect_disease,0.00821,0.0803,0.01489,0.0075,68738,672730,True,662,0.69995,0.42631,0.33436,0.58158,180,20404977
100,1,harvest,0.29177,0.64555,0.40189,0.25148,232769,515011,True,18807,0.66951,0.41422,0.32265,0.55134,180,20404977
100,2,development,0.00634,0.17132,0.01223,0.00615,12596,340212,True,8482,0.66951,0.41422,0.32265,0.55134,180,20404977
100,3,forest,0.90224,0.72156,0.80185,0.66924,10569560,8452989,False,,0.66951,0.41422,0.32265,0.55134,180,20404977
100,4,urban,0.36162,0.68171,0.47256,0.30938,661146,1246388,False,,0.66951,0.41422,0.32265,0.55134,180,20404977
100,5,water,0.92429,0.95093,0.93742,0.88221,1725908,1775646,False,,0.66951,0.41422,0.32265,0.55134,180,20404977
100,6,ag,0.8126,0.7887,0.80047,0.66732,3110297,3018822,False,,0.66951,0.41422,0.32265,0.55134,180,20404977
100,7,grass_shrub,0.26712,0.22755,0.24575,0.14009,1768935,1506919,False,,0.66951,0.41422,0.32265,0.55134,180,20404977
100,8,wetland,0.49679,0.41237,0.45066,0.29087,2247007,1865158,False,,0.66951,0.41422,0.32265,0.55134,180,20404977
100,9,beaver,0.00251,0.30133,0.00498,0.00249,8021,963501,True,502,0.66951,0.41422,0.32265,0.55134,180,20404977
100,10,insect_disease,0.00789,0.08268,0.0144,0.00725,68738,720331,True,662,0.66951,0.41422,0.32265,0.55134,180,20404977
150,1,harvest,0.24943,0.67047,0.3636,0.22219,232769,625679,True,18807,0.64555,0.40565,0.31471,0.52705,180,20404977
150,2,development,0.00461,0.21396,0.00903,0.00453,12596,584544,True,8482,0.64555,0.40565,0.31471,0.52705,180,20404977
150,3,forest,0.9063,0.68812,0.78228,0.64242,10569560,8024983,False,,0.64555,0.40565,0.31471,0.52705,180,20404977
150,4,urban,0.36633,0.66887,0.47339,0.31009,661146,1207171,False,,0.64555,0.40565,0.31471,0.52705,180,20404977
150,5,water,0.92531,0.95076,0.93787,0.883,1725908,1773374,False,,0.64555,0.40565,0.31471,0.52705,180,20404977
150,6,ag,0.81565,0.7755,0.79507,0.65984,3110297,2957182,False,,0.64555,0.40565,0.31471,0.52705,180,20404977
150,7,grass_shrub,0.27574,0.21598,0.24223,0.1378,1768935,1385550,False,,0.64555,0.40565,0.31471,0.52705,180,20404977
150,8,wetland,0.50913,0.38031,0.43539,0.27828,2247007,1678479,False,,0.64555,0.40565,0.31471,0.52705,180,20404977
150,9,beaver,0.00211,0.36155,0.0042,0.00211,8021,1372227,True,502,0.64555,0.40565,0.31471,0.52705,180,20404977
150,10,insect_disease,0.00732,0.08479,0.01348,0.00679,68738,795788,True,662,0.64555,0.40565,0.31471,0.52705,180,20404977
200,1,harvest,0.12256,0.116,0.11919,0.06337,232769,220320,True,18807,0.65944,0.38317,0.30089,0.5356,180,20404977
200,2,development,0.00979,0.1456,0.01834,0.00926,12596,187381,True,8482,0.65944,0.38317,0.30089,0.5356,180,20404977
200,3,forest,0.88344,0.72008,0.79344,0.6576,10569560,8615062,False,,0.65944,0.38317,0.30089,0.5356,180,20404977
200,4,urban,0.35201,0.68713,0.46554,0.30339,661146,1290556,False,,0.65944,0.38317,0.30089,0.5356,180,20404977
200,5,water,0.92384,0.9536,0.93849,0.8841,1725908,1781499,False,,0.65944,0.38317,0.30089,0.5356,180,20404977
200,6,ag,0.81636,0.78372,0.79971,0.66626,3110297,2985923,False,,0.65944,0.38317,0.30089,0.5356,180,20404977
200,7,grass_shrub,0.26956,0.22706,0.24649,0.14057,1768935,1490031,False,,0.65944,0.38317,0.30089,0.5356,180,20404977
200,8,wetland,0.48682,0.38595,0.43056,0.27434,2247007,1781419,False,,0.65944,0.38317,0.30089,0.5356,180,20404977
200,9,beaver,0.00223,0.3512,0.00443,0.00222,8021,1264957,True,502,0.65944,0.38317,0.30089,0.5356,180,20404977
200,10,insect_disease,0.00847,0.09704,0.01557,0.00785,68738,787829,True,662,0.65944,0.38317,0.30089,0.5356,180,20404977
