cap,class_code,class_name,precision,recall,f1,iou,support,predicted_pixels,is_change_class,OA,baseline_OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
50,1,Stable,0.99205,0.93579,0.9631,0.92882,20116831,18975935,False,0.92715,0.98424,0.29812,0.25472,0.15242,180,20438955
50,2,Harvest,0.48652,0.50127,0.49378,0.32783,232769,239828,True,0.92715,0.98424,0.29812,0.25472,0.15242,180,20438955
50,3,Development,0.00547,0.05732,0.00999,0.00502,12596,131924,True,0.92715,0.98424,0.29812,0.25472,0.15242,180,20438955
50,4,Insect/Disease,0.0082,0.0803,0.01488,0.00749,68738,673415,True,0.92715,0.98424,0.29812,0.25472,0.15242,180,20438955
50,5,Beaver,0.00452,0.23551,0.00887,0.00446,8021,417853,True,0.92715,0.98424,0.29812,0.25472,0.15242,180,20438955
100,1,Stable,0.99376,0.88417,0.93577,0.87929,20116831,17898451,False,0.87809,0.98424,0.27383,0.22932,0.11444,180,20438955
100,2,Harvest,0.29167,0.64555,0.4018,0.2514,232769,515188,True,0.87809,0.98424,0.27383,0.22932,0.11444,180,20438955
100,3,Development,0.00634,0.17132,0.01223,0.00615,12596,340415,True,0.87809,0.98424,0.27383,0.22932,0.11444,180,20438955
100,4,Insect/Disease,0.00788,0.08268,0.01439,0.00725,68738,720990,True,0.87809,0.98424,0.27383,0.22932,0.11444,180,20438955
100,5,Beaver,0.00251,0.30133,0.00497,0.00249,8021,963911,True,0.87809,0.98424,0.27383,0.22932,0.11444,180,20438955
150,1,Stable,0.99416,0.84305,0.91239,0.83889,20116831,17059123,False,0.83796,0.98424,0.26052,0.21489,0.08961,180,20438955
150,2,Harvest,0.24936,0.67047,0.36352,0.22213,232769,625866,True,0.83796,0.98424,0.26052,0.21489,0.08961,180,20438955
150,3,Development,0.00461,0.21396,0.00902,0.00453,12596,584804,True,0.83796,0.98424,0.26052,0.21489,0.08961,180,20438955
150,4,Insect/Disease,0.00732,0.08479,0.01347,0.00678,68738,796385,True,0.83796,0.98424,0.26052,0.21489,0.08961,180,20438955
150,5,Beaver,0.00211,0.36155,0.0042,0.0021,8021,1372777,True,0.83796,0.98424,0.26052,0.21489,0.08961,180,20438955
200,1,Stable,0.98905,0.88385,0.9335,0.87529,20116831,17977109,False,0.8718,0.98424,0.2182,0.19159,0.04347,180,20438955
200,2,Harvest,0.12253,0.116,0.11918,0.06336,232769,220375,True,0.8718,0.98424,0.2182,0.19159,0.04347,180,20438955
200,3,Development,0.00978,0.1456,0.01832,0.00925,12596,187606,True,0.8718,0.98424,0.2182,0.19159,0.04347,180,20438955
200,4,Insect/Disease,0.00846,0.09704,0.01556,0.00784,68738,788438,True,0.8718,0.98424,0.2182,0.19159,0.04347,180,20438955
200,5,Beaver,0.00223,0.3512,0.00442,0.00222,8021,1265427,True,0.8718,0.98424,0.2182,0.19159,0.04347,180,20438955
