source,code,cls,n_patches,mean_patch_px,median_patch_px
interpreted,1,Harvest,7255,28.02,2.0
interpreted,2,Development,1270,8.8,2.0
interpreted,3,Forest,26765,339.51,3.0
interpreted,4,Urban,25583,22.02,2.0
interpreted,5,Water,6393,219.92,2.0
interpreted,6,Agriculture,25465,105.75,2.0
interpreted,7,Grass/Shrub,58019,26.73,2.0
interpreted,8,Wetland,61507,30.68,2.0
interpreted,9,Beaver,1926,6.07,2.0
interpreted,10,Insect/Disease,6653,6.31,2.0
v2,1,Harvest,4422,40.56,2.0
v2,2,Development,7434,18.45,3.0
v2,3,Forest,22473,331.64,3.0
v2,4,Urban,12838,83.19,3.0
v2,5,Water,1871,773.85,15.0
v2,6,Agriculture,5155,482.18,5.0
v2,7,Grass/Shrub,34351,51.52,3.0
v2,8,Wetland,26951,51.16,3.0
v2,9,Beaver,32319,36.17,2.0
v2,10,Insect/Disease,6492,61.65,2.0
v3,1,Harvest,11332,25.58,2.0
v3,2,Development,9732,22.91,3.0
v3,3,Forest,25439,251.45,4.0
v3,4,Urban,10805,88.41,4.0
v3,5,Water,2270,647.93,12.0
v3,6,Agriculture,5069,512.72,5.0
v3,7,Grass/Shrub,27514,55.04,3.0
v3,8,Wetland,25266,52.31,3.0
v3,9,Beaver,23729,87.93,3.0
v3,10,Insect/Disease,6469,97.61,2.0
v4,1,Harvest,10320,20.08,2.0
v4,2,Development,15922,19.91,2.0
v4,3,Forest,67674,117.75,1.0
v4,4,Urban,110700,28.06,2.0
v4,5,Water,67770,25.69,2.0
v4,6,Agriculture,36901,44.58,2.0
v4,7,Grass/Shrub,43416,36.4,2.0
v4,8,Wetland,38800,14.62,2.0
v4,9,Beaver,11187,11.91,2.0
v4,10,Insect/Disease,10900,20.42,2.0
v5,1,Harvest,21512,27.9,2.0
v5,2,Development,12809,19.43,3.0
v5,3,Forest,31910,182.03,3.0
v5,4,Urban,11797,82.61,3.0
v5,5,Water,2439,592.46,8.0
v5,6,Agriculture,5147,485.9,6.0
v5,7,Grass/Shrub,33338,45.1,3.0
v5,8,Wetland,27143,48.37,3.0
v5,9,Beaver,28700,92.37,2.0
v5,10,Insect/Disease,6170,71.73,2.0
v6,1,Harvest,772004,1.7,1.0
v6,2,Development,379763,2.54,1.0
v6,3,Forest,788539,3.56,1.0
v6,4,Urban,1036953,2.45,1.0
v6,5,Water,675400,4.76,1.0
v6,6,Agriculture,802248,2.01,1.0
v6,7,Grass/Shrub,805742,1.85,1.0
v6,8,Wetland,827414,1.81,1.0
v6,9,Beaver,604332,1.66,1.0
v6,10,Insect/Disease,507738,2.05,1.0
