source,code,cls,n_patches,mean_patch_px,median_patch_px
interpreted,1,Harvest,8299,28.05,2.0
interpreted,2,Development,1602,7.86,2.0
interpreted,3,Forest,31939,330.93,2.0
interpreted,4,Urban,29445,22.45,2.0
interpreted,5,Water,6746,255.84,2.0
interpreted,6,Agriculture,27953,111.27,2.0
interpreted,7,Grass/Shrub,67218,26.32,2.0
interpreted,8,Wetland,74475,30.17,2.0
interpreted,9,Beaver,1195,6.71,2.0
interpreted,10,Insect/Disease,9205,7.47,2.0
v2,1,Harvest,10089,21.85,2.0
v2,2,Development,10026,18.77,2.0
v2,3,Forest,29685,290.22,3.0
v2,4,Urban,18146,72.54,3.0
v2,5,Water,2408,741.46,13.0
v2,6,Agriculture,7314,408.5,3.0
v2,7,Grass/Shrub,38284,38.96,2.0
v2,8,Wetland,33124,53.86,2.0
v2,9,Beaver,27278,46.39,2.0
v2,10,Insect/Disease,10150,77.68,2.0
v3,1,Harvest,9100,26.22,2.0
v3,2,Development,10251,23.62,2.0
v3,3,Forest,26979,295.35,4.0
v3,4,Urban,12729,88.0,4.0
v3,5,Water,3028,592.0,8.0
v3,6,Agriculture,6131,500.45,5.0
v3,7,Grass/Shrub,33005,51.03,3.0
v3,8,Wetland,29881,49.51,3.0
v3,9,Beaver,28620,74.39,3.0
v3,10,Insect/Disease,7907,91.09,2.0
v4,1,Harvest,14700,14.56,2.0
v4,2,Development,30316,25.35,2.0
v4,3,Forest,98549,36.08,2.0
v4,4,Urban,113018,82.56,1.0
v4,5,Water,30952,16.33,1.0
v4,6,Agriculture,111910,28.34,2.0
v4,7,Grass/Shrub,59216,22.7,2.0
v4,8,Wetland,37750,12.84,2.0
v4,9,Beaver,20279,12.66,2.0
v4,10,Insect/Disease,37055,21.9,2.0
v5,1,Harvest,18910,31.75,2.0
v5,2,Development,15692,24.43,2.0
v5,3,Forest,34269,210.18,3.0
v5,4,Urban,15203,76.44,3.0
v5,5,Water,3477,518.98,7.0
v5,6,Agriculture,6665,444.13,4.0
v5,7,Grass/Shrub,40871,44.82,3.0
v5,8,Wetland,30196,47.74,3.0
v5,9,Beaver,30688,68.47,2.0
v5,10,Insect/Disease,9138,104.6,2.0
v6,1,Harvest,1101382,1.92,1.0
v6,2,Development,749944,2.42,1.0
v6,3,Forest,676409,2.58,1.0
v6,4,Urban,1093844,1.88,1.0
v6,5,Water,644080,3.01,1.0
v6,6,Agriculture,979048,2.04,1.0
v6,7,Grass/Shrub,1148693,2.13,1.0
v6,8,Wetland,1126434,1.89,1.0
v6,9,Beaver,1045008,1.86,1.0
v6,10,Insect/Disease,937784,2.41,1.0
spec_all,1,Harvest,37294,11.6,2.0
spec_all,2,Development,40944,30.23,2.0
spec_all,3,Forest,32860,217.41,3.0
spec_all,4,Urban,27430,32.96,3.0
spec_all,5,Water,2826,530.49,5.0
spec_all,6,Agriculture,32490,63.74,3.0
spec_all,7,Grass/Shrub,45842,36.78,3.0
spec_all,8,Wetland,56839,25.83,3.0
spec_all,9,Beaver,30325,16.47,2.0
spec_all,10,Insect/Disease,30958,59.78,3.0
