,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,1476,11080,4719,112,0,204,432,3927,4988,1715
development,16,2337,69,1639,14,669,154,149,10,6
forest,38448,45650,1114605,1580,5005,3263,44606,78407,45643,485968
urban,1063,13897,5662,107491,1139,12665,2926,8525,476,1635
water,6,1750,787,1664,355006,22,184,9579,1131,5448
ag,15315,125958,17463,37599,80,249325,152162,53112,477,140
grass_shrub,5883,64592,56001,15611,66,62348,116508,96229,12294,14294
wetland,6184,35555,116071,20183,15946,13411,75913,177901,23618,58255
beaver,0,24,104,5,178,0,3,75,155,881
insect_disease,88,72,8663,2,3,0,505,966,3949,4237
