,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,32476,39332,72017,275,23,9796,10808,10422,20235,6146
development,232,4587,497,4304,18,2187,199,225,113,59
forest,281020,223407,6404929,3699,14992,18084,355895,343112,302728,1543565
urban,6789,62886,37370,340909,6136,78351,31937,52365,3135,8787
water,465,15374,6573,3815,1404021,139,555,20514,18572,20459
ag,52935,436287,53736,400694,523,1597527,419551,123893,958,774
grass_shrub,32140,249109,158339,71231,1181,304171,558869,251282,19774,39355
wetland,25792,202144,383891,49989,70222,59726,305797,662002,119643,207079
beaver,16,232,1397,112,1057,0,199,1148,1108,2653
insect_disease,559,1638,25152,6,116,94,1292,2137,12216,21779
