variant,scope,cls,metric,estimate,ratio_se,ratio_ci_lo,ratio_ci_hi,boot_ci_lo,boot_ci_hi,support
spec_all,overall,,OA,0.78164,0.01221,0.75771,0.80557,0.75645,0.80614,
spec_all,overall,,kappa,0.03069,,,,0.01943,0.04342,
spec_all,overall,,macro_F1,0.20322,,,,0.19215,0.21483,
spec_all,overall,,mean_IoU,0.17116,,,,0.16368,0.17925,
spec_all,overall,,baseline_OA,0.98473,,,,0.97948,0.98916,
spec_all,class,Stable,precision,0.99029,0.00182,0.98672,0.99385,0.98648,0.99365,18502135
spec_all,class,Stable,recall,0.79052,0.01234,0.76633,0.8147,0.76475,0.81451,18502135
spec_all,class,Stable,F1,0.8792,,,,0.86327,0.89413,18502135
spec_all,class,Stable,IoU,0.78444,0.0121,0.76073,0.80814,0.75943,0.80854,18502135
spec_all,class,Harvest,precision,0.07509,0.02197,0.03203,0.11816,0.03667,0.12392,201530
spec_all,class,Harvest,recall,0.16115,0.03033,0.10171,0.22059,0.10015,0.21961,201530
spec_all,class,Harvest,F1,0.10245,,,,0.05579,0.15406,201530
spec_all,class,Harvest,IoU,0.05399,0.01392,0.02671,0.08127,0.02869,0.08346,201530
spec_all,class,Development,precision,0.00371,0.00112,0.00151,0.00591,0.00171,0.00615,12421
spec_all,class,Development,recall,0.36929,0.05216,0.26706,0.47153,0.25715,0.49341,12421
spec_all,class,Development,F1,0.00735,,,,0.0034,0.01208,12421
spec_all,class,Development,IoU,0.00369,0.00111,0.00151,0.00586,0.0017,0.00608,12421
spec_all,class,Insect/Disease,precision,0.01177,0.00518,0.00162,0.02192,0.00367,0.02329,64989
spec_all,class,Insect/Disease,recall,0.33512,0.10758,0.12426,0.54597,0.14675,0.55385,64989
spec_all,class,Insect/Disease,F1,0.02274,,,,0.00721,0.04415,64989
spec_all,class,Insect/Disease,IoU,0.0115,0.00504,0.00163,0.02137,0.00362,0.02258,64989
spec_all,class,Beaver,precision,0.00222,0.00094,0.00038,0.00406,0.0008,0.00461,7922
spec_all,class,Beaver,recall,0.13986,0.04716,0.04742,0.2323,0.0622,0.25143,7922
spec_all,class,Beaver,F1,0.00437,,,,0.00159,0.00903,7922
spec_all,class,Beaver,IoU,0.00219,0.00092,0.00038,0.004,0.0008,0.00454,7922
